kernel,status,source_sha256,toolchain_id,device,clock_period_ns,baseline_latency_ms,baseline_area_score,bram_util_percent,dsp_util_percent,ff_util_percent,lut_util_percent,report_path,error
machsuite-gemm-blocked,success,a00219d97e897c840b192795724003819fddc0d8a3b77bcdb458e937da410677,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,32.52369,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-gemm-ncubed,success,480917a0c7f26a08ea39f66186334e6a6c809364923e230d0810503320d1be01,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,31.54049,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-md-knn,success,f5e0b2159535f83952db36356a597f643cac243cffa23198138cdd2500025b49,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,3.44833,1.25,0,2,0,1,Data/ApplicationBaselineInformation.csv,
machsuite-sort-radix,success,6efda738a9d765256992fbd08c76e86ffe56785e086571a3f3f8a5c256f8d0d6,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,4.05601,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-spmv-ellpack,success,96a3232d916540bd64162438f0da4328137ec9123662ab3c5a2e0211927bb1b9,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.65703,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-stencil2d,success,c09d67c7fe745f8eb14ee3c81a0c6f2e6787e1a77053d29d7c346188cc89c4fa,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,2.03365,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-stencil3d,success,b47ff32c02f1d495c003229164e66d35d9ba58b48572dbc78b54355dbbb8dea6,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.81945,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
machsuite-viterbi,success,0093917d907c00c67159143b7306e6b8d16bb03a419ccea5ad66e618d02285bb,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,7.46474,2,5,0,0,0,Data/ApplicationBaselineInformation.csv,
rodinia_cfd_flux_0_baseline_0,success,0682f85c70c0bdd50d7ceb258101b36cead13ea1b1dc7c2600e6142f36f18219,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,1.47458,2,0,3,1,3,Data/ApplicationBaselineInformation.csv,
rodinia_cfd_step_factor_0_baseline_0,success,b9765ec187515b0e69c7a9bbdfe46127bc7a28c53a7ee150bf89f0d109f5fe93,Vitis HLS 2021.1; imported from Data/ApplicationBaselineInformation.csv,xczu7ev-ffvc1156-2-e,10,0.71681,1,0,0,0,0,Data/ApplicationBaselineInformation.csv,
