app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,10,51.201,0,0,0,0,2.710.760.188.102.720
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,5,424.965,0,0,0,0,2.770.133.137.702.940
rodinia_cfd_step_factor_0_baseline_0,xcu200-fsgd2104-2-e,3.33,34.099.533.000.000.000,0,0,0,0,27.534.351.587.295.500
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,10,71.681,0,0,0,0,28.493.467.092.514.000
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,5,640.005,0,0,0,0,28.288.212.537.765.500
rodinia_cfd_step_factor_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,68.539.725,0,0,0,0,27.193.570.613.861.000
machsuite-stencil3d,xcu200-fsgd2104-2-e,10,81.945,0,0,0,0,24.057.796.478.271.400
machsuite-stencil3d,xcu200-fsgd2104-2-e,5,472.725,0,0,0,0,24.885.717.153.549.100
machsuite-stencil3d,xcu200-fsgd2104-2-e,3.33,40.505.121,0,0,0,0,24.814.656.734.466.500
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,10,81.945,0,0,0,0,24.959.283.351.898.100
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,5,472.725,0,0,0,0,25.015.278.816.223.100
machsuite-stencil3d,xczu7ev-ffvc1156-2-e,3.33,40.505.121,0,0,0,0,2.423.244.595.527.640
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,10,554.632.513,0,0,0,0,3.308.509.802.818.290
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,5,4.117.637.445,0,0,0,0,3.302.994.251.251.220
rodinia-hotspot-0-baseline,xcu200-fsgd2104-2-e,3.33,402.949.756.557,0,0,0,0,3.280.374.455.451.960
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,10,789.939.905,0,2,0,2,31.358.916.997.909.500
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,5,6.890.633.925,0,2,1,2,314.123.637.676.239
rodinia-hotspot-0-baseline,xczu7ev-ffvc1156-2-e,3.33,610.000.567.821,0,0,2,4,3.691.554.284.095.760
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,10,86.623.546,0,0,0,0,3.261.407.923.698.420
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,5,74.631.777,0,0,0,0,3.247.342.896.461.480
rodinia_lavaMD_1_tiling_1,xcu200-fsgd2104-2-e,3.33,6.553.672.101.000.000,0,0,0,0,32.393.951.654.434.200
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,10,131.983.546,1,1,0,1,31.856.178.760.528.500
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,5,113.511.885,1,1,0,1,3.189.285.445.213.310
rodinia_lavaMD_1_tiling_1,xczu7ev-ffvc1156-2-e,3.33,10.366.575.381,1,1,1,2,32.553.348.541.259.700
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,10,29.368.326,0,0,0,0,26.025.291.681.289.600
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,5,20.975.619,0,0,0,0,26.496.641.874.313.300
rodinia-knn-1-tiling,xcu200-fsgd2104-2-e,3.33,17.810.696.142,0,0,0,0,26.497.380.018.234.200
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,10,35.659.782,0,0,0,0,2.708.498.740.196.220
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,5,28.315.651,0,0,0,0,27.333.203.077.316.200
rodinia-knn-1-tiling,xczu7ev-ffvc1156-2-e,3.33,25.492.563.918.000.000,0,0,0,0,26.150.389.194.488.500
machsuite-sort-radix,xcu200-fsgd2104-2-e,10,405.601,0,0,0,0,27.698.240.756.988.500
machsuite-sort-radix,xcu200-fsgd2104-2-e,5,2.028.005,0,0,0,0,2.774.742.293.357.840
machsuite-sort-radix,xcu200-fsgd2104-2-e,3.33,200.530.269,0,0,0,0,3.133.933.424.949.640
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,10,405.601,0,0,0,0,27.913.517.236.709.500
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,5,2.355.685,0,0,0,0,27.729.217.529.296.800
machsuite-sort-radix,xczu7ev-ffvc1156-2-e,3.33,222.353.757,0,0,0,0,27.770.688.772.201.500
rodinia_dilate_0_baseline_0,xcu200-fsgd2104-2-e,10,24.233.025,0,0,0,0,3.523.921.728.134.150
rodinia_dilate_0_baseline_0,xcu200-fsgd2104-2-e,5,155.981.125,0,0,0,0,3.528.868.055.343.620
rodinia_dilate_0_baseline_0,xcu200-fsgd2104-2-e,3.33,10.388.342.925,0,0,0,0,35.101.444.721.221.900
rodinia_dilate_0_baseline_0,xczu7ev-ffvc1156-2-e,10,31.196.225,0,0,0,0,3.674.716.782.569.880
rodinia_dilate_0_baseline_0,xczu7ev-ffvc1156-2-e,5,155.981.125,0,0,0,0,3.667.770.314.216.610
rodinia_dilate_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,15.025.834.125,0,0,0,0,3.655.975.389.480.590
machsuite-md-knn,xcu200-fsgd2104-2-e,10,234.241,0,0,0,0,25.608.237.504.959.100
machsuite-md-knn,xcu200-fsgd2104-2-e,5,1.744.645,0,0,0,0,28.615.957.736.968.900
machsuite-md-knn,xcu200-fsgd2104-2-e,3.33,17.893.588.500.000.000,0,0,0,0,28.666.822.910.308.800
machsuite-md-knn,xczu7ev-ffvc1156-2-e,10,344.833,0,2,0,1,268.642.635.345.459
machsuite-md-knn,xczu7ev-ffvc1156-2-e,5,3.628.805,0,2,1,1,29.620.509.147.644.000
machsuite-md-knn,xczu7ev-ffvc1156-2-e,3.33,279.869.517,0,0,2,4,30.213.284.254.074.000
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,10,2.105.473,0,0,0,0,25.818.180.799.484.200
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,5,15.770.245,0,0,0,0,25.783.129.453.659.000
machsuite-gemm-ncubed,xcu200-fsgd2104-2-e,3.33,1.574.062.029,0,0,0,0,25.556.312.561.035.100
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,10,3.154.049,0,0,0,0,26.906.346.797.943.100
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,5,27.566.725,0,0,0,0,26.905.131.340.026.800
machsuite-gemm-ncubed,xczu7ev-ffvc1156-2-e,3.33,2.272.413.645,0,0,0,1,25.779.786.586.761.400
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,10,716.800.582,0,0,0,0,3.596.755.838.394.160
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,5,568.320.291,0,0,0,0,35.997.594.594.955.400
rodinia-kmeans-2-pipeline,xcu200-fsgd2104-2-e,3.33,49.907.614.161.599.900,0,0,0,0,359.426.326.751.709
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,10,927.744.582,41,0,0,0,3.713.138.246.536.250
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,5,812.032.291,41,0,0,0,37.066.176.891.326.900
rodinia-kmeans-2-pipeline,xczu7ev-ffvc1156-2-e,3.33,755.502.125.616,41,0,0,0,36.054.648.876.190.100
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,10,32.382.349,0,0,0,0,3.744.100.069.999.690
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,5,161.911.745,0,0,0,0,37.424.257.040.023.800
rodinia_dilate_1_tiling_0,xcu200-fsgd2104-2-e,3.33,15.617.906.793,0,0,0,0,3.600.246.477.127.070
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,10,32.382.349,10,0,0,0,3.706.592.679.023.740
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,5,196.727.745,10,0,0,0,37.053.722.620.010.300
rodinia_dilate_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,20.255.397.993,10,0,0,0,37.866.100.788.116.400
machsuite-viterbi,xcu200-fsgd2104-2-e,10,5.756.847,0,0,0,0,27.646.904.230.117.700
machsuite-viterbi,xcu200-fsgd2104-2-e,5,43.062.195,0,0,0,0,27.001.967.906.951.900
machsuite-viterbi,xcu200-fsgd2104-2-e,3.33,4.206.971.484,0,0,0,0,26.815.816.640.853.800
machsuite-viterbi,xczu7ev-ffvc1156-2-e,10,746.474,5,0,0,0,2.761.602.807.044.980
machsuite-viterbi,xczu7ev-ffvc1156-2-e,5,6.316.913,5,0,0,1,28.094.459.533.691.400
machsuite-viterbi,xczu7ev-ffvc1156-2-e,3.33,6.117.897.645,5,0,0,1,2.800.218.152.999.870
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,10,8.650.869,0,0,0,0,30.157.492.876.052.800
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,5,74.574.349,0,0,0,0,30.771.835.565.567.000
rodinia_lavaMD_0_baseline,xcu200-fsgd2104-2-e,3.33,65.490.748.362,0,0,0,0,30.755.191.802.978.500
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,10,13.186.869,0,1,0,1,3.038.701.105.117.790
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,5,113.454.457,0,1,0,1,30.311.396.837.234.400
rodinia_lavaMD_0_baseline,xczu7ev-ffvc1156-2-e,3.33,103.612.588.362,0,1,1,2,30.243.081.092.834.400
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,10,86.579.546,0,0,0,0,3.234.842.109.680.170
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,5,74.609.777,0,0,0,0,3.231.376.814.842.220
rodinia_lavaMD_2_pipeline_0,xcu200-fsgd2104-2-e,3.33,6.551.434.341,0,0,0,0,3.257.932.472.229.000
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,10,131.939.546,2,1,0,1,3.052.078.080.177.300
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,5,113.489.885,2,1,0,1,3.211.413.097.381.590
rodinia_lavaMD_2_pipeline_0,xczu7ev-ffvc1156-2-e,3.33,10.365.110.181,2,1,1,2,32.120.022.773.742.600
machsuite-stencil2d,xcu200-fsgd2104-2-e,10,203.365,0,0,0,0,2.393.835.186.958.310
machsuite-stencil2d,xcu200-fsgd2104-2-e,5,1.719.905,0,0,0,0,23.906.058.073.043.800
machsuite-stencil2d,xcu200-fsgd2104-2-e,3.33,137.958.237,0,0,0,0,23.708.927.631.378.100
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,10,203.365,0,0,0,0,2.400.527.596.473.690
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,5,1.719.905,0,0,0,0,2.395.406.150.817.870
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,3.33,137.958.237,0,0,0,0,23.856.915.712.356.500
