Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_4_1,Area,Weight,is_pareto
bbgemm_0.c,xczu7ev-ffvc1156-2-e,10.0,12.87261,56,1,1,4,6,unroll_2,unroll_4,unroll_2,pipeline,pipeline,3.0,0.5586975459366788,False
bbgemm_3.c,xczu7ev-ffvc1156-2-e,10.0,10.90629,1639,1,1,69,98,unroll_2,unroll,unroll_16,pipeline_1,pipeline_1,42.25,0.10000000000000005,False
bbgemm_22.c,xczu7ev-ffvc1156-2-e,10.0,3.19552,372,1,1,42,49,unroll_32,unroll,unroll_2,pipeline_1,pipeline_1,23.25,0.43893251186578963,False
bbgemm_40.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,150,1,1,20,24,unroll_16,unroll_4,unroll_2,pipeline,pipeline_1,11.5,0.6685661806023799,False
bbgemm_42.c,xczu7ev-ffvc1156-2-e,10.0,1.94073,2060,1,14,87,77,unroll_4,pipeline,pipeline,unroll_4,unroll_4,44.75,0.10863899659513751,False
bbgemm_62.c,xczu7ev-ffvc1156-2-e,10.0,14.48539,80,1,1,8,13,unroll_4,unroll_4,unroll_2,pipeline,pipeline,5.75,0.4479772807860689,False
bbgemm_63.c,xczu7ev-ffvc1156-2-e,10.0,3.19576,129,1,1,20,24,unroll_32,unroll_4,unroll_2,pipeline,pipeline_1,11.5,0.6685661806023799,False
bbgemm_65.c,xczu7ev-ffvc1156-2-e,10.0,14.48515,378,1,1,33,50,unroll_4,unroll,unroll_4,pipeline,unroll_4,21.25,0.1738005806328446,False
bbgemm_67.c,xczu7ev-ffvc1156-2-e,10.0,12.87237,81,1,1,8,12,unroll_2,unroll_16,unroll_2,pipeline,pipeline_1,5.5,0.5065260626728909,False
bbgemm_80.c,xczu7ev-ffvc1156-2-e,10.0,10.90653,151,1,1,17,24,unroll_2,unroll_4,unroll_8,pipeline_1,unroll_4,10.75,0.443871898834753,False
