Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
gemm_0.c,xczu7ev-ffvc1156-2-e,10.0,8.31841,39,1,1,2,3,unroll_2,unroll_16,pipeline_1,1.75,1.0,True
gemm_1.c,xczu7ev-ffvc1156-2-e,10.0,10.94737,31,1,1,1,1,unroll_4,unroll_4,pipeline,1.0,0.5109520829949789,False
gemm_2.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,55,1,1,12,9,unroll_4,pipeline_1,pipeline,5.75,0.9288019279281817,False
gemm_3.c,xczu7ev-ffvc1156-2-e,10.0,17.73601,142,1,1,3,13,unroll_2,unroll,unroll_4,4.5,0.1870675093815211,False
gemm_4.c,xczu7ev-ffvc1156-2-e,10.0,1.52073,145,1,1,46,35,unroll_16,pipeline_1,pipeline_1,20.75,0.4335225361214804,False
gemm_7.c,xczu7ev-ffvc1156-2-e,10.0,1.52081,96,1,1,23,18,unroll_8,pipeline,unroll_32,10.75,0.8077827224418789,False
gemm_9.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,56,1,1,12,9,unroll_4,pipeline_1,unroll_32,5.75,0.9288019279281817,False
gemm_11.c,xczu7ev-ffvc1156-2-e,10.0,1.52129,38,1,1,6,5,unroll_2,pipeline,unroll_2,3.25,1.0,True
gemm_12.c,xczu7ev-ffvc1156-2-e,10.0,10.93841,131,1,1,7,11,unroll_4,unroll_32,pipeline,5.0,0.4949915641914908,False
gemm_16.c,xczu7ev-ffvc1156-2-e,10.0,1.52097,55,1,1,12,9,unroll_4,pipeline_1,pipeline_1,5.75,0.9288019279281817,False
gemm_17.c,xczu7ev-ffvc1156-2-e,10.0,17.73577,1583,1,1,12,36,unroll_8,unroll,unroll_4,12.5,0.15627298705390985,False
gemm_19.c,xczu7ev-ffvc1156-2-e,10.0,14.29537,1006,1,1,4,25,unroll_2,unroll,unroll_16,7.75,0.29905308095379673,False
gemm_23.c,xczu7ev-ffvc1156-2-e,10.0,10.93961,121,1,1,8,12,unroll_8,unroll_16,pipeline,5.5,0.4888981962897906,False
gemm_25.c,xczu7ev-ffvc1156-2-e,10.0,10.93649,353,1,1,15,25,unroll_4,unroll,pipeline,10.5,0.40524070191017814,False
gemm_26.c,xczu7ev-ffvc1156-2-e,10.0,10.95761,26,1,1,1,1,unroll_4,unroll_2,pipeline,1.0,0.5102889531236737,False
gemm_29.c,xczu7ev-ffvc1156-2-e,10.0,22.32657,49,1,1,1,4,unroll_4,unroll_16,unroll_2,1.75,0.10424106837900672,False
gemm_30.c,xczu7ev-ffvc1156-2-e,10.0,8.31811,1199,1,1,38,57,unroll_32,unroll_16,pipeline_1,24.25,0.23042226277915406,False
