Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
md_kernel_0.c,xczu7ev-ffvc1156-2-e,10.0,0.61569,35,1,6,2,4,unroll_2,unroll_8,3.25,0.7180419270307392,False
md_kernel_1.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,35,1,15,9,10,pipeline_1,pipeline_1,8.75,1.0,True
md_kernel_2.c,xczu7ev-ffvc1156-2-e,10.0,0.35137,35,1,2,2,3,unroll_4,pipeline_1,2.0,1.0,True
md_kernel_3.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,38,1,15,9,10,pipeline_1,pipeline,8.75,1.0,True
md_kernel_4.c,xczu7ev-ffvc1156-2-e,10.0,1.01921,49,1,4,2,5,unroll_8,unroll_4,3.0,0.4038993139630195,False
md_kernel_5.c,xczu7ev-ffvc1156-2-e,10.0,1.82913,27,1,4,1,3,unroll_2,unroll_2,2.25,0.10534179990187557,False
md_kernel_6.c,xczu7ev-ffvc1156-2-e,10.0,0.38689,36,1,2,4,5,unroll_8,pipeline,3.0,0.9270098861978465,False
md_kernel_7.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,36,1,15,9,10,pipeline,unroll_8,8.75,1.0,True
md_kernel_8.c,xczu7ev-ffvc1156-2-e,10.0,1.82801,52,1,4,2,5,unroll_16,unroll_2,3.0,0.10533378266236904,False
md_kernel_9.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,36,1,15,9,10,pipeline_1,unroll_2,8.75,1.0,True
md_kernel_10.c,xczu7ev-ffvc1156-2-e,10.0,0.20353,45,1,11,4,7,unroll_2,unroll,5.75,1.0,True
md_kernel_11.c,xczu7ev-ffvc1156-2-e,10.0,0.35081,74,1,2,15,13,unroll_32,pipeline_1,7.75,0.714864917821651,False
md_kernel_12.c,xczu7ev-ffvc1156-2-e,10.0,1.01953,36,1,4,1,4,unroll_4,unroll_4,2.5,0.40483987690207557,False
md_kernel_13.c,xczu7ev-ffvc1156-2-e,10.0,0.35105,36,1,2,4,4,unroll_8,pipeline_1,2.75,1.0,True
md_kernel_14.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,38,1,15,9,10,pipeline_1,unroll_4,8.75,1.0,True
md_kernel_15.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,38,1,15,9,10,pipeline,pipeline_1,8.75,1.0,True
md_kernel_16.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,38,1,15,9,10,pipeline,unroll_4,8.75,1.0,True
md_kernel_17.c,xczu7ev-ffvc1156-2-e,10.0,0.03489,187,1,21,19,30,unroll_16,unroll,17.75,0.3341139095122818,False
md_kernel_18.c,xczu7ev-ffvc1156-2-e,10.0,1.01905,78,1,5,3,6,unroll_16,unroll_4,3.75,0.40152673883811596,False
md_kernel_19.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,38,1,15,9,10,pipeline,unroll,8.75,1.0,True
md_kernel_20.c,xczu7ev-ffvc1156-2-e,10.0,0.38665,76,1,2,14,16,unroll_32,pipeline,8.25,0.6801018548055004,False
md_kernel_21.c,xczu7ev-ffvc1156-2-e,10.0,1.01893,306,1,5,8,13,unroll_64,unroll_4,6.75,0.37795529062782973,False
md_kernel_22.c,xczu7ev-ffvc1156-2-e,10.0,0.38785,26,1,2,1,2,unroll_2,pipeline,1.5,0.9601599807593143,False
md_kernel_23.c,xczu7ev-ffvc1156-2-e,10.0,0.02833,404,1,24,21,46,unroll_32,unroll,23.0,0.18988949012560952,False
md_kernel_24.c,xczu7ev-ffvc1156-2-e,10.0,0.61445,622,1,7,10,19,unroll_64,unroll_8,9.25,0.551222989504145,False
md_kernel_25.c,xczu7ev-ffvc1156-2-e,10.0,0.61473,64,1,7,3,6,unroll_8,unroll_8,4.25,0.706134215716309,False
md_kernel_26.c,xczu7ev-ffvc1156-2-e,10.0,0.38721,29,1,2,2,3,unroll_4,pipeline,2.0,0.9544270070789166,False
md_kernel_27.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,36,1,15,9,10,pipeline,pipeline,8.75,1.0,True
md_kernel_28.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,36,1,15,9,10,pipeline_1,unroll_8,8.75,1.0,True
md_kernel_29.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,35,1,15,9,10,pipeline,unroll_2,8.75,1.0,True
md_kernel_30.c,xczu7ev-ffvc1156-2-e,10.0,0.05281,107,1,17,12,16,unroll_8,unroll,11.5,0.5899317900303608,False
md_kernel_31.c,xczu7ev-ffvc1156-2-e,10.0,1.01897,134,1,5,5,8,unroll_32,unroll_4,4.75,0.39665378647479366,False
md_kernel_32.c,xczu7ev-ffvc1156-2-e,10.0,1.02017,30,1,4,1,3,unroll_2,unroll_4,2.25,0.40484315247075664,False
md_kernel_33.c,xczu7ev-ffvc1156-2-e,10.0,1.82849,27,1,4,1,4,unroll_4,unroll_2,2.5,0.1053657873104718,False
md_kernel_34.c,xczu7ev-ffvc1156-2-e,10.0,1.82789,198,1,4,8,10,unroll_64,unroll_2,5.75,0.10442942151148155,False
md_kernel_35.c,xczu7ev-ffvc1156-2-e,10.0,0.38661,143,1,2,29,31,unroll_64,pipeline,15.75,0.38095915334029506,False
md_kernel_36.c,xczu7ev-ffvc1156-2-e,10.0,0.02465,37,1,15,9,10,pipeline_1,unroll,8.75,1.0,True
md_kernel_37.c,xczu7ev-ffvc1156-2-e,10.0,0.61449,236,1,7,6,12,unroll_32,unroll_8,6.5,0.6515159129332964,False
md_kernel_38.c,xczu7ev-ffvc1156-2-e,10.0,0.61505,48,1,6,2,5,unroll_4,unroll_8,3.5,0.7158470032525164,False
md_kernel_39.c,xczu7ev-ffvc1156-2-e,10.0,0.35201,27,1,2,1,2,unroll_2,pipeline_1,1.5,1.0,True
md_kernel_40.c,xczu7ev-ffvc1156-2-e,10.0,0.35089,53,1,2,7,7,unroll_16,pipeline_1,4.25,1.0,True
md_kernel_41.c,xczu7ev-ffvc1156-2-e,10.0,0.38673,50,1,2,7,8,unroll_16,pipeline,4.5,0.8792123857749843,False
md_kernel_42.c,xczu7ev-ffvc1156-2-e,10.0,1.82817,40,1,4,2,4,unroll_8,unroll_2,2.75,0.10535903930595576,False
md_kernel_43.c,xczu7ev-ffvc1156-2-e,10.0,0.10305,60,1,12,6,9,unroll_4,unroll,7.0,1.0,True
md_kernel_44.c,xczu7ev-ffvc1156-2-e,10.0,0.61457,126,1,7,4,8,unroll_16,unroll_8,5.0,0.6924865750858288,False
md_kernel_45.c,xczu7ev-ffvc1156-2-e,10.0,0.35077,135,1,2,30,25,unroll_64,pipeline_1,14.5,0.4320071026362132,False
md_kernel_46.c,xczu7ev-ffvc1156-2-e,10.0,1.82793,86,1,4,4,6,unroll_32,unroll_2,3.75,0.10518951041667149,False
md_kernel_47.c,xczu7ev-ffvc1156-2-e,10.0,0.02505,919,1,27,29,69,unroll_64,unroll,31.5,0.10000000000000003,False
md_kernel_48.c,xczu7ev-ffvc1156-2-e,5.0,0.374085,34,1,1,2,2,unroll_4,pipeline_1,1.5,1.0,True
