Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,Area,Weight,is_pareto
ss_sort_0.c,xczu7ev-ffvc1156-2-e,10.0,2.56341,34,1,1,1,3,pipeline,pipeline,unroll_32,pipeline,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,unroll,1.5,0.6960616439460011,False
ss_sort_1.c,xczu7ev-ffvc1156-2-e,10.0,2.69201,58,1,1,1,7,pipeline_1,pipeline,unroll_64,pipeline,unroll_16,unroll_8,unroll_4,unroll_4,unroll_2,unroll,2.5,0.540513578036017,False
ss_sort_2.c,xczu7ev-ffvc1156-2-e,10.0,2.62409,70,1,1,2,8,unroll_64,pipeline_1,pipeline,unroll_2,unroll_2,unroll_2,pipeline,pipeline_1,unroll_2,pipeline_1,3.0,0.5727253020958889,False
ss_sort_3.c,xczu7ev-ffvc1156-2-e,10.0,3.51985,82,1,1,1,11,unroll_2,unroll_2,unroll_8,unroll_64,unroll_64,unroll_4,unroll_2,unroll_2,unroll_2,unroll_2,3.5,0.10233687389240145,False
ss_sort_4.c,xczu7ev-ffvc1156-2-e,10.0,2.48191,111,1,1,5,24,unroll_64,unroll_32,unroll_2,unroll_4,unroll_4,unroll_16,unroll_8,pipeline,pipeline,pipeline,7.75,0.3761734405397469,False
ss_sort_5.c,xczu7ev-ffvc1156-2-e,10.0,3.07753,31,1,1,1,1,unroll_2,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline,1.0,0.25601044510061965,False
ss_sort_6.c,xczu7ev-ffvc1156-2-e,10.0,2.69825,91,1,1,2,15,unroll_2,unroll_64,unroll_32,unroll_32,unroll_64,unroll_8,pipeline,unroll_2,pipeline,unroll,4.75,0.432994375422432,False
ss_sort_7.c,xczu7ev-ffvc1156-2-e,10.0,2.89033,70,1,1,3,16,pipeline,unroll_64,unroll_2,unroll_2,unroll_64,unroll_2,unroll,unroll_2,unroll_2,pipeline_1,5.25,0.30237933183611454,False
ss_sort_8.c,xczu7ev-ffvc1156-2-e,10.0,2.60431,37,1,1,1,5,unroll_8,pipeline_1,pipeline,unroll_16,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,unroll,2.0,0.6378576622881144,False
ss_sort_9.c,xczu7ev-ffvc1156-2-e,10.0,2.58529,76,1,1,3,17,unroll_16,unroll_64,pipeline_1,unroll_64,unroll_2,unroll_8,unroll,unroll,unroll_2,unroll,5.5,0.44534680329094256,False
ss_sort_10.c,xczu7ev-ffvc1156-2-e,10.0,2.23393,42,1,1,1,5,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_16,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll,2.0,0.8757344160701862,False
ss_sort_11.c,xczu7ev-ffvc1156-2-e,10.0,2.82065,119,1,1,3,17,unroll_16,pipeline,unroll_2,unroll_64,unroll_64,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll,5.5,0.3308863194059311,False
ss_sort_12.c,xczu7ev-ffvc1156-2-e,10.0,2.48111,34,1,1,1,2,unroll_8,unroll_4,pipeline_1,pipeline,pipeline_1,unroll_16,unroll_2,unroll_4,unroll,unroll_2,1.25,0.7632487344931348,False
ss_sort_13.c,xczu7ev-ffvc1156-2-e,10.0,2.47233,312,1,1,18,45,unroll_64,pipeline,unroll_64,unroll_64,unroll_2,unroll_8,unroll,unroll,unroll_2,pipeline_1,16.25,0.10137328844495505,False
ss_sort_14.c,xczu7ev-ffvc1156-2-e,10.0,2.70025,92,1,1,3,16,unroll_2,unroll_8,unroll_64,pipeline,unroll_64,unroll_2,pipeline_1,unroll_4,unroll,pipeline,5.25,0.4063543900275063,False
ss_sort_15.c,xczu7ev-ffvc1156-2-e,10.0,2.80505,106,1,1,5,21,unroll_64,unroll_16,unroll_16,unroll_32,unroll_32,unroll_2,unroll_4,unroll,unroll_2,unroll_2,7.0,0.27768242988065334,False
ss_sort_21.c,xczu7ev-ffvc1156-2-e,10.0,2.56553,43,1,1,1,8,unroll_2,pipeline,pipeline,unroll_32,unroll_4,unroll_2,unroll_4,pipeline,unroll,pipeline,2.75,0.6261454514832299,False
ss_sort_22.c,xczu7ev-ffvc1156-2-e,10.0,2.82145,47,1,1,1,7,unroll_4,unroll_2,unroll_8,unroll_32,pipeline_1,unroll_8,unroll_2,pipeline,pipeline_1,unroll,2.5,0.42974755080902494,False
ss_sort_24.c,xczu7ev-ffvc1156-2-e,10.0,2.16031,66,1,1,1,9,pipeline_1,pipeline,pipeline,unroll_16,unroll_64,unroll,unroll_2,unroll_2,unroll,unroll,3.0,0.8774326948591873,False
ss_sort_25.c,xczu7ev-ffvc1156-2-e,10.0,2.63441,35,1,1,1,3,unroll_4,unroll_4,unroll_4,pipeline,unroll_16,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll,1.5,0.6256524810891824,False
ss_sort_26.c,xczu7ev-ffvc1156-2-e,10.0,2.39491,34,1,1,1,4,pipeline,unroll_32,pipeline,pipeline,unroll_16,unroll_8,pipeline_1,unroll_4,unroll,unroll_2,1.75,0.7908788255840324,False
ss_sort_29.c,xczu7ev-ffvc1156-2-e,10.0,2.36025,77,1,1,2,15,unroll_16,pipeline,unroll_16,unroll_64,unroll_4,unroll_2,pipeline,pipeline,unroll,unroll,4.75,0.6192140246002478,False
ss_sort_30.c,xczu7ev-ffvc1156-2-e,10.0,2.62479,33,1,1,1,4,pipeline,pipeline,unroll_2,unroll_8,unroll_4,unroll,unroll_8,unroll_8,unroll,pipeline_1,1.75,0.6285627812337584,False
ss_sort_31.c,xczu7ev-ffvc1156-2-e,10.0,2.76785,86,1,1,2,9,unroll_8,unroll_4,unroll_64,pipeline,pipeline,unroll_4,unroll_8,unroll_8,pipeline,pipeline,3.25,0.45170214183734714,False
ss_sort_32.c,xczu7ev-ffvc1156-2-e,10.0,2.78911,82,1,1,2,13,unroll_32,pipeline_1,unroll_32,unroll_4,unroll_32,unroll_16,pipeline_1,unroll_4,pipeline_1,pipeline_1,4.25,0.39921727206926094,False
ss_sort_33.c,xczu7ev-ffvc1156-2-e,10.0,2.65679,54,1,1,1,8,unroll_16,unroll_32,unroll_32,pipeline,unroll_4,unroll,unroll_4,pipeline,unroll,unroll_2,2.75,0.5600187287613986,False
ss_sort_35.c,xczu7ev-ffvc1156-2-e,10.0,2.75903,97,1,1,6,21,unroll_32,unroll_32,unroll_32,unroll_8,unroll_2,unroll,unroll,pipeline,unroll_2,unroll_2,7.25,0.285006791780437,False
