Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
stencil_0.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,25,1,3,1,1,unroll_2,pipeline,unroll,pipeline_1,1.5,1.0,True
stencil_1.c,xczu7ev-ffvc1156-2-e,10.0,0.82216,25,1,1,1,1,unroll_2,unroll_2,pipeline_1,pipeline,1.0,1.0,True
stencil_2.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,28,1,12,1,2,unroll_8,pipeline,pipeline_1,pipeline,4.0,0.7936551771332817,False
stencil_3.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,28,1,12,1,2,unroll_8,pipeline,pipeline,pipeline_1,4.0,0.7936551771332817,False
stencil_4.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,42,1,3,1,2,pipeline,unroll_16,unroll,unroll,1.75,1.0,True
stencil_5.c,xczu7ev-ffvc1156-2-e,10.0,0.79407,42,1,11,1,7,unroll_8,unroll_4,pipeline,unroll,5.0,0.5816609463856656,False
stencil_6.c,xczu7ev-ffvc1156-2-e,10.0,0.74299,42,1,11,1,6,unroll_4,unroll_8,pipeline,pipeline_1,4.75,0.6088901273967235,False
stencil_7.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,pipeline_1,pipeline,unroll,1.75,1.0,True
stencil_8.c,xczu7ev-ffvc1156-2-e,10.0,0.78184,27,1,2,1,1,unroll_2,unroll_4,pipeline,pipeline_1,1.25,1.0,True
stencil_9.c,xczu7ev-ffvc1156-2-e,10.0,0.30305,52,1,50,2,11,unroll_32,pipeline_1,pipeline,pipeline,16.0,0.5297803427484685,False
stencil_10.c,xczu7ev-ffvc1156-2-e,10.0,0.37817,34,1,12,1,2,unroll_8,pipeline_1,unroll,unroll,4.0,0.7936551771332817,False
stencil_11.c,xczu7ev-ffvc1156-2-e,10.0,0.82216,23,1,1,1,1,unroll_2,unroll_2,pipeline,unroll,1.0,1.0,True
stencil_12.c,xczu7ev-ffvc1156-2-e,10.0,0.39069,29,1,6,1,1,unroll_4,pipeline_1,unroll,pipeline_1,2.25,0.8375852518132246,False
stencil_13.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,49,1,3,1,2,pipeline,unroll_2,pipeline,unroll,1.75,1.0,True
stencil_14.c,xczu7ev-ffvc1156-2-e,10.0,1.3816,74,1,16,1,8,unroll_2,unroll_16,unroll,pipeline_1,6.5,0.2528399500443841,False
stencil_15.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,43,1,3,1,2,pipeline,pipeline_1,pipeline,pipeline,1.75,1.0,True
stencil_16.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,50,1,3,1,2,pipeline,unroll_16,unroll,pipeline,1.75,1.0,True
stencil_17.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,43,1,3,1,2,pipeline,unroll_8,unroll,unroll,1.75,1.0,True
stencil_18.c,xczu7ev-ffvc1156-2-e,10.0,0.30305,53,1,50,2,11,unroll_32,pipeline,pipeline_1,pipeline,16.0,0.5297803427484685,False
stencil_19.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,49,1,3,1,2,pipeline,unroll_4,pipeline,pipeline_1,1.75,1.0,True
stencil_20.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,42,1,3,1,2,pipeline_1,pipeline,pipeline,pipeline,1.75,1.0,True
stencil_21.c,xczu7ev-ffvc1156-2-e,10.0,0.30305,59,1,50,2,11,unroll_32,pipeline_1,unroll,pipeline_1,16.0,0.5297803427484685,False
stencil_22.c,xczu7ev-ffvc1156-2-e,10.0,0.79515,134,1,44,4,28,unroll_32,unroll_4,pipeline,pipeline,19.25,0.26518437046934573,False
stencil_24.c,xczu7ev-ffvc1156-2-e,10.0,0.83521,150,1,44,3,24,unroll_64,unroll_2,pipeline,unroll,18.0,0.2691696252750951,False
stencil_25.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline,unroll_2,pipeline_1,pipeline,1.75,1.0,True
stencil_26.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,48,1,3,1,2,pipeline_1,unroll,unroll,unroll,1.75,1.0,True
stencil_27.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,52,1,3,1,2,pipeline,unroll,unroll,pipeline,1.75,1.0,True
stencil_28.c,xczu7ev-ffvc1156-2-e,10.0,1.70787,185,1,33,2,16,unroll_32,unroll_2,unroll,pipeline_1,13.0,0.1220343022134815,False
stencil_29.c,xczu7ev-ffvc1156-2-e,10.0,0.39696,24,1,3,1,1,unroll_2,pipeline,pipeline_1,pipeline_1,1.5,1.0,True
stencil_30.c,xczu7ev-ffvc1156-2-e,10.0,0.79407,44,1,11,1,7,unroll_8,unroll_4,pipeline_1,unroll,5.0,0.5816609463856656,False
stencil_31.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,44,1,3,1,2,pipeline,pipeline_1,unroll,pipeline,1.75,1.0,True
stencil_32.c,xczu7ev-ffvc1156-2-e,10.0,0.12105,45,1,3,1,2,pipeline_1,unroll_2,unroll,pipeline,1.75,1.0,True
stencil_34.c,xczu7ev-ffvc1156-2-e,10.0,0.74431,138,1,44,3,27,unroll_16,unroll_8,pipeline,unroll,18.75,0.2914351858353142,False
