Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Area,Weight,is_pareto
stencil3d_0.c,xczu7ev-ffvc1156-2-e,10.0,0.59121,59,1,1,1,8,unroll_4,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_8,unroll_4,2.75,0.15313775779898792,False
stencil3d_1.c,xczu7ev-ffvc1156-2-e,10.0,0.5673,69,1,11,2,10,unroll,unroll_2,unroll_4,unroll_8,pipeline_1,pipeline,pipeline,unroll_4,pipeline,6.0,0.18258416872079045,False
stencil3d_2.c,xczu7ev-ffvc1156-2-e,10.0,0.31925,96,1,25,2,21,unroll_4,pipeline,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll,12.25,0.5817040432947086,False
stencil3d_3.c,xczu7ev-ffvc1156-2-e,10.0,0.58983,117,1,1,3,12,unroll_2,pipeline,pipeline_1,unroll_8,unroll_2,unroll_2,pipeline,unroll_8,unroll_4,4.25,0.15400786328097643,False
stencil3d_4.c,xczu7ev-ffvc1156-2-e,10.0,0.35066,136,1,52,5,35,unroll_4,pipeline,pipeline,unroll,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,23.25,0.32111812685435837,False
stencil3d_5.c,xczu7ev-ffvc1156-2-e,10.0,0.5678,80,1,20,2,16,pipeline,unroll_4,unroll_4,unroll_2,unroll_4,unroll_2,unroll,unroll,pipeline,9.75,0.16107056890785343,False
stencil3d_6.c,xczu7ev-ffvc1156-2-e,10.0,0.54757,46,1,1,1,5,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline,pipeline,unroll_4,unroll_8,unroll_4,2.0,0.23132111086545415,False
stencil3d_7.c,xczu7ev-ffvc1156-2-e,10.0,0.35248,151,1,52,5,35,pipeline,unroll_4,unroll_4,unroll,unroll_4,unroll_4,pipeline,pipeline,unroll_4,23.25,0.3165694014386162,False
stencil3d_8.c,xczu7ev-ffvc1156-2-e,10.0,0.53401,172,1,41,5,34,unroll_2,unroll_2,pipeline_1,unroll,pipeline_1,pipeline,unroll,unroll_4,pipeline,20.25,0.12032072987270767,False
stencil3d_9.c,xczu7ev-ffvc1156-2-e,10.0,0.28748,57,1,13,1,11,pipeline_1,unroll_2,pipeline,unroll_8,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline,6.5,0.7654681709993134,False
stencil3d_10.c,xczu7ev-ffvc1156-2-e,10.0,0.23278,254,1,20,1,22,unroll_4,unroll_8,pipeline_1,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline_1,unroll,11.0,0.9455227440205553,False
stencil3d_11.c,xczu7ev-ffvc1156-2-e,10.0,0.57366,129,1,1,2,11,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_4,pipeline_1,unroll,unroll_2,3.75,0.1794397191491397,False
stencil3d_12.c,xczu7ev-ffvc1156-2-e,10.0,0.23273,301,1,44,3,34,unroll,unroll_4,pipeline,pipeline,unroll_8,unroll_2,pipeline,unroll_8,unroll_2,20.5,0.7079017506245449,False
stencil3d_13.c,xczu7ev-ffvc1156-2-e,10.0,0.2245,317,1,46,3,32,unroll,unroll_4,pipeline,pipeline,pipeline,unroll,unroll,unroll_8,pipeline_1,20.5,0.7293409477941476,False
stencil3d_14.c,xczu7ev-ffvc1156-2-e,10.0,0.31652,66,1,12,1,12,unroll,unroll_8,pipeline_1,unroll_4,pipeline,unroll_8,unroll_2,unroll_2,unroll,6.5,0.6541346536114206,False
stencil3d_15.c,xczu7ev-ffvc1156-2-e,10.0,0.35722,39,1,3,1,4,unroll_16,unroll_2,pipeline,unroll_2,unroll_4,pipeline,unroll_8,pipeline,pipeline,2.25,0.5793576124338166,False
stencil3d_16.c,xczu7ev-ffvc1156-2-e,10.0,0.22947,300,1,34,2,27,pipeline,unroll_2,unroll_2,pipeline_1,pipeline,pipeline_1,unroll_8,unroll,unroll_2,16.0,0.8307974671154179,False
stencil3d_17.c,xczu7ev-ffvc1156-2-e,10.0,0.22784,255,1,22,1,22,pipeline_1,unroll_2,unroll_8,pipeline,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll,11.5,0.9561137618723516,False
stencil3d_18.c,xczu7ev-ffvc1156-2-e,10.0,0.2974,88,1,10,1,11,pipeline_1,unroll,unroll_2,unroll_2,unroll_8,unroll_8,unroll_4,unroll_2,unroll,5.75,0.7193862585552736,False
stencil3d_19.c,xczu7ev-ffvc1156-2-e,10.0,0.22991,263,1,43,2,30,unroll_4,pipeline,pipeline_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_2,19.0,0.7524196169401123,False
stencil3d_20.c,xczu7ev-ffvc1156-2-e,10.0,0.22858,296,1,68,4,42,unroll,unroll_4,unroll_8,pipeline_1,unroll_2,unroll,unroll_8,unroll,pipeline_1,28.75,0.53358012279272,False
stencil3d_21.c,xczu7ev-ffvc1156-2-e,10.0,0.28447,72,1,13,2,17,unroll,unroll_8,unroll_8,unroll_8,pipeline,unroll,unroll_8,pipeline_1,pipeline_1,8.25,0.7792748384612775,False
stencil3d_22.c,xczu7ev-ffvc1156-2-e,10.0,0.35171,37,1,3,1,4,unroll_8,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline,unroll_2,2.25,0.5897655153290433,False
stencil3d_23.c,xczu7ev-ffvc1156-2-e,10.0,0.23811,329,1,61,3,38,unroll_8,pipeline,unroll,pipeline,unroll_8,unroll_2,pipeline_1,unroll,unroll_4,25.75,0.5750041087968439,False
stencil3d_24.c,xczu7ev-ffvc1156-2-e,10.0,0.5896,33,1,1,1,3,unroll_8,unroll_8,unroll_2,unroll_4,unroll_4,unroll_8,unroll_2,unroll_2,unroll_2,1.5,0.1545824051220707,False
stencil3d_25.c,xczu7ev-ffvc1156-2-e,10.0,0.5832,113,1,1,2,12,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_4,pipeline,pipeline_1,unroll_8,unroll_4,4.0,0.16393034437125079,False
stencil3d_26.c,xczu7ev-ffvc1156-2-e,10.0,0.54074,34,1,1,1,3,pipeline_1,pipeline,unroll_2,unroll_2,unroll_2,pipeline,unroll_2,unroll_4,unroll_4,1.5,0.24629185671300524,False
stencil3d_27.c,xczu7ev-ffvc1156-2-e,10.0,0.59559,37,1,2,1,4,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll,pipeline,unroll_2,unroll_2,pipeline_1,2.0,0.14685579024204873,False
stencil3d_28.c,xczu7ev-ffvc1156-2-e,10.0,0.53715,158,1,41,5,28,unroll_16,unroll_2,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll,pipeline_1,18.75,0.12759809363836777,False
stencil3d_29.c,xczu7ev-ffvc1156-2-e,10.0,0.23146,298,1,53,3,31,unroll_4,pipeline,unroll_4,pipeline_1,pipeline,unroll_2,unroll_2,unroll_4,pipeline_1,22.0,0.6754812080719966,False
stencil3d_30.c,xczu7ev-ffvc1156-2-e,10.0,0.45495,436,1,83,10,67,pipeline,pipeline_1,pipeline_1,unroll,unroll_2,unroll_2,unroll_4,unroll_8,pipeline,40.25,0.10000000000000005,False
stencil3d_31.c,xczu7ev-ffvc1156-2-e,10.0,0.23573,328,1,61,4,38,unroll,unroll_2,unroll_2,pipeline,unroll_4,unroll_8,unroll_2,unroll,pipeline_1,26.0,0.5752596011192938,False
stencil3d_32.c,xczu7ev-ffvc1156-2-e,10.0,0.58125,384,1,1,5,23,pipeline_1,unroll_8,unroll_2,unroll,pipeline,unroll_8,unroll,unroll_4,unroll_4,7.5,0.15608147662669525,False
stencil3d_33.c,xczu7ev-ffvc1156-2-e,10.0,0.54872,187,1,41,6,37,unroll_16,unroll_2,unroll,unroll,unroll_4,unroll_2,pipeline_1,unroll_4,pipeline,21.25,0.10927025457857645,False
stencil3d_34.c,xczu7ev-ffvc1156-2-e,10.0,0.32463,90,1,25,2,20,unroll_8,pipeline,unroll_2,unroll_2,unroll_2,pipeline,pipeline,unroll_8,unroll,12.0,0.5678523347635309,False
stencil3d_35.c,xczu7ev-ffvc1156-2-e,10.0,0.24112,273,1,46,3,31,unroll_2,unroll_4,unroll,pipeline,pipeline_1,pipeline_1,pipeline,unroll_8,unroll_4,20.25,0.6906123554253674,False
stencil3d_36.c,xczu7ev-ffvc1156-2-e,10.0,0.22626,306,1,43,3,33,unroll,pipeline,unroll_4,pipeline,unroll_2,pipeline,unroll,unroll_2,unroll_2,20.0,0.7372164654197815,False
stencil3d_37.c,xczu7ev-ffvc1156-2-e,10.0,0.22792,363,1,40,2,33,unroll_8,unroll,pipeline,pipeline,unroll_8,unroll,unroll_2,unroll,unroll,19.0,0.7578324120946731,False
stencil3d_38.c,xczu7ev-ffvc1156-2-e,10.0,0.22222,339,1,40,2,30,pipeline,pipeline,unroll_4,pipeline,pipeline,unroll_8,unroll,unroll,unroll,18.25,0.7920665490347645,False
stencil3d_39.c,xczu7ev-ffvc1156-2-e,10.0,0.29589,442,1,18,3,32,pipeline_1,unroll,unroll_2,unroll,unroll,unroll_2,pipeline,unroll_2,unroll,13.5,0.6302204670133686,False
