Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Area,Weight,is_pareto
viterbi_2.c,xczu7ev-ffvc1156-2-e,10.0,8.18761,457,8,1,7,25,cyclic_8_1,unroll_32,unroll_16,pipeline_1,pipeline,unroll_4,unroll_16,pipeline_1,10.25,0.7937377505685733,False
viterbi_7.c,xczu7ev-ffvc1156-2-e,10.0,3.33003,160,7,1,6,22,cyclic_4_2,unroll_4,unroll_2,unroll,unroll_16,pipeline,unroll_4,unroll,9.0,0.8566748809892265,False
viterbi_12.c,xczu7ev-ffvc1156-2-e,10.0,7.82291,120,8,1,4,14,cyclic_8_2,pipeline_1,unroll_4,pipeline,unroll_2,unroll_16,pipeline_1,pipeline_1,6.75,0.8757862728439721,False
viterbi_14.c,xczu7ev-ffvc1156-2-e,10.0,8.09928,184,5,1,7,18,cyclic_2_1,pipeline,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,pipeline,7.75,0.842069427586712,False
viterbi_15.c,xczu7ev-ffvc1156-2-e,10.0,8.19032,167,9,1,6,18,cyclic_8_1,unroll_8,unroll_16,unroll_8,unroll_2,unroll_4,pipeline_1,pipeline,8.5,0.8267664881610662,False
viterbi_17.c,xczu7ev-ffvc1156-2-e,10.0,3.12317,804,5,1,13,63,cyclic_2_2,unroll_32,unroll_2,unroll,unroll_32,pipeline,unroll_16,pipeline_1,20.5,0.5043493765119232,False
viterbi_21.c,xczu7ev-ffvc1156-2-e,10.0,7.31442,1664,7,9,28,90,block_4_1,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline,pipeline_1,unroll_2,33.5,0.21902641379830468,False
viterbi_22.c,xczu7ev-ffvc1156-2-e,10.0,76.7154,355,5,1,13,39,block_2_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,14.5,0.11963116939292237,False
viterbi_23.c,xczu7ev-ffvc1156-2-e,10.0,81.84195,402,5,1,9,34,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline,unroll_4,unroll_16,unroll_2,12.25,0.10963182959814012,False
viterbi_27.c,xczu7ev-ffvc1156-2-e,10.0,3.1114,469,10,1,12,46,cyclic_16_2,unroll_8,unroll_8,unroll_16,pipeline_1,pipeline,unroll_2,unroll_4,17.25,0.6017820616816179,False
viterbi_30.c,xczu7ev-ffvc1156-2-e,10.0,74.58058,143,10,1,4,16,cyclic_32_2,unroll_16,unroll_2,unroll,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.13836963966555654,False
viterbi_31.c,xczu7ev-ffvc1156-2-e,10.0,22.93823,284,7,1,7,36,cyclic_4_2,unroll_32,unroll_8,unroll_4,unroll_16,unroll_4,unroll_8,unroll_8,12.75,0.5795299072223224,False
viterbi_32.c,xczu7ev-ffvc1156-2-e,10.0,3.64605,172,8,1,6,23,cyclic_8_2,unroll,unroll_4,pipeline,unroll_4,pipeline,unroll_2,unroll_4,9.5,0.8453029899090432,False
viterbi_38.c,xczu7ev-ffvc1156-2-e,10.0,3.79335,524,10,1,13,49,block_32_2,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline,unroll_4,pipeline,18.25,0.5712743670105412,False
viterbi_41.c,xczu7ev-ffvc1156-2-e,10.0,8.0487,348,10,1,9,31,cyclic_16_2,unroll_32,unroll_16,pipeline,unroll_2,unroll_8,pipeline,pipeline,12.75,0.736528659555294,False
viterbi_42.c,xczu7ev-ffvc1156-2-e,10.0,11.40034,386,5,1,11,31,block_128_1,unroll_4,unroll_64,unroll_4,unroll_32,unroll_2,unroll_2,pipeline,12.0,0.7263894085642455,False
viterbi_47.c,xczu7ev-ffvc1156-2-e,10.0,75.10902,80,8,1,2,10,cyclic_8_2,unroll,unroll_4,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,5.25,0.13794339178432136,False
viterbi_48.c,xczu7ev-ffvc1156-2-e,10.0,76.7154,355,5,1,13,39,block_2_1,pipeline,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,14.5,0.11963116939292237,False
viterbi_50.c,xczu7ev-ffvc1156-2-e,10.0,3.2636,459,7,1,12,53,cyclic_4_2,unroll_32,unroll_8,unroll_4,unroll_16,pipeline,unroll_8,pipeline_1,18.25,0.5708602407765158,False
viterbi_51.c,xczu7ev-ffvc1156-2-e,10.0,7.76228,1709,10,3,13,52,block_16_1,unroll_4,unroll_2,unroll,unroll_16,pipeline,unroll_8,unroll,19.5,0.5310017048725618,False
viterbi_56.c,xczu7ev-ffvc1156-2-e,10.0,3.11196,529,10,1,12,48,cyclic_32_2,unroll_8,unroll_8,unroll_16,pipeline_1,pipeline,unroll_2,unroll_4,17.75,0.5861217436465952,False
viterbi_57.c,xczu7ev-ffvc1156-2-e,10.0,7.05732,682,8,1,12,42,block_2_1,unroll_4,unroll_4,unroll,unroll_64,pipeline_1,pipeline_1,pipeline,15.75,0.6471077978028892,False
viterbi_64.c,xczu7ev-ffvc1156-2-e,10.0,8.23944,1580,10,1,10,38,cyclic_32_1,pipeline,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,pipeline,14.75,0.6743380920382014,False
viterbi_65.c,xczu7ev-ffvc1156-2-e,10.0,22.25122,740,5,1,11,58,cyclic_2_2,unroll_32,unroll_2,unroll,unroll_32,unroll_4,unroll_16,unroll_8,18.75,0.4714475747034673,False
viterbi_68.c,xczu7ev-ffvc1156-2-e,10.0,8.06042,75,5,1,2,7,cyclic_2_1,pipeline,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline,3.75,0.9710263286370071,False
viterbi_72.c,xczu7ev-ffvc1156-2-e,10.0,74.47305,1656,6,1,20,68,cyclic_2_1,unroll_8,unroll_2,pipeline,unroll_2,unroll_32,unroll,unroll_8,23.75,0.106567773081185,False
viterbi_73.c,xczu7ev-ffvc1156-2-e,10.0,38.65274,132,5,1,3,18,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_4,unroll,unroll_4,6.75,0.4551747354473127,False
viterbi_74.c,xczu7ev-ffvc1156-2-e,10.0,8.23782,532,9,1,11,38,cyclic_8_1,unroll_8,unroll_16,unroll_8,unroll_64,unroll_4,pipeline_1,pipeline,14.75,0.6743458018684652,False
viterbi_80.c,xczu7ev-ffvc1156-2-e,10.0,39.74957,313,7,1,8,35,cyclic_4_2,unroll_8,unroll_16,unroll,pipeline_1,unroll_4,unroll_2,unroll_4,12.75,0.38790794656874006,False
viterbi_81.c,xczu7ev-ffvc1156-2-e,10.0,3.11132,450,10,1,12,46,cyclic_32_2,unroll_8,unroll_8,pipeline,pipeline_1,pipeline,pipeline_1,unroll_4,17.25,0.6017819657848446,False
viterbi_82.c,xczu7ev-ffvc1156-2-e,10.0,75.79505,717,10,1,6,26,block_32_2,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,unroll,unroll_8,10.75,0.12938668062429626,False
viterbi_83.c,xczu7ev-ffvc1156-2-e,10.0,3.12323,741,5,1,13,63,cyclic_2_2,unroll_16,unroll_2,unroll,unroll_32,pipeline,unroll_16,pipeline_1,20.5,0.5043494296835334,False
viterbi_84.c,xczu7ev-ffvc1156-2-e,10.0,3.12789,346,10,1,11,43,block_32_2,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline,pipeline_1,pipeline,16.25,0.6338490699151758,False
viterbi_85.c,xczu7ev-ffvc1156-2-e,10.0,8.0487,343,10,1,9,31,cyclic_16_2,unroll_32,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline,pipeline,12.75,0.736528659555294,False
viterbi_86.c,xczu7ev-ffvc1156-2-e,10.0,8.1929,154,5,1,5,19,cyclic_2_1,pipeline,unroll_8,unroll_4,unroll_16,unroll_4,unroll_8,pipeline,7.5,0.846002868253004,False
viterbi_87.c,xczu7ev-ffvc1156-2-e,10.0,7.82544,126,8,1,5,15,cyclic_8_2,pipeline_1,unroll_4,pipeline,unroll_8,unroll_16,pipeline_1,pipeline_1,7.25,0.8563999033814212,False
viterbi_90.c,xczu7ev-ffvc1156-2-e,10.0,22.17614,102,5,1,2,13,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,5.25,0.7119389239979717,False
viterbi_93.c,xczu7ev-ffvc1156-2-e,10.0,3.06014,386,20,1,9,26,cyclic_16_1,unroll_4,unroll_2,unroll,unroll_8,pipeline,pipeline_1,unroll,14.0,0.7093231910183941,False
viterbi_94.c,xczu7ev-ffvc1156-2-e,10.0,7.31416,1668,7,9,28,91,block_4_1,unroll_32,unroll_16,unroll_4,unroll_16,pipeline,pipeline_1,pipeline_1,33.75,0.21519874499991098,False
viterbi_98.c,xczu7ev-ffvc1156-2-e,10.0,3.03845,162,8,1,6,22,cyclic_8_2,unroll,unroll_4,pipeline,unroll_4,pipeline,pipeline_1,unroll,9.25,0.8539746405672279,False
viterbi_100.c,xczu7ev-ffvc1156-2-e,10.0,74.57776,147,10,1,4,17,cyclic_32_2,unroll_32,unroll_2,unroll,pipeline_1,unroll_2,unroll_2,unroll_8,8.0,0.13810482821705128,False
viterbi_103.c,xczu7ev-ffvc1156-2-e,10.0,75.3005,439,10,1,13,49,cyclic_16_2,unroll_16,unroll_4,pipeline,unroll_32,unroll_8,unroll_2,unroll_8,18.25,0.11574374763218759,False
viterbi_104.c,xczu7ev-ffvc1156-2-e,10.0,11.32314,333,5,1,10,28,block_128_1,unroll_8,unroll_64,unroll_16,unroll_16,unroll_2,unroll_2,pipeline,11.0,0.7479132338251517,False
viterbi_105.c,xczu7ev-ffvc1156-2-e,10.0,75.12945,120,8,1,3,16,cyclic_8_2,unroll,unroll_2,unroll,unroll_16,unroll_4,unroll_2,unroll_2,7.0,0.13673160603347528,False
viterbi_107.c,xczu7ev-ffvc1156-2-e,10.0,22.80575,184,7,1,5,25,cyclic_4_2,unroll_32,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,9.5,0.6396799538547062,False
viterbi_108.c,xczu7ev-ffvc1156-2-e,10.0,8.23806,561,9,1,11,38,cyclic_8_1,unroll_8,unroll_16,unroll_4,unroll_64,unroll_4,pipeline_1,pipeline,14.75,0.6743446598284383,False
viterbi_109.c,xczu7ev-ffvc1156-2-e,10.0,76.71296,312,5,1,12,36,block_2_1,pipeline,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_4,13.5,0.12149376237970953,False
viterbi_110.c,xczu7ev-ffvc1156-2-e,10.0,3.2638,460,7,1,12,52,cyclic_4_2,unroll_4,unroll_8,pipeline_1,unroll_16,pipeline,unroll_8,unroll_4,18.0,0.5785428965556746,False
viterbi_112.c,xczu7ev-ffvc1156-2-e,10.0,8.18805,466,8,1,7,25,cyclic_8_1,unroll_32,unroll_16,unroll_4,pipeline,unroll_4,unroll_16,pipeline_1,10.25,0.7937335593973014,False
viterbi_113.c,xczu7ev-ffvc1156-2-e,10.0,81.84195,363,5,1,9,34,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline,unroll_4,unroll,unroll_2,12.25,0.10963182959814012,False
viterbi_116.c,xczu7ev-ffvc1156-2-e,10.0,8.90792,880,9,1,11,44,cyclic_8_1,unroll_8,unroll_16,unroll_8,unroll_32,unroll_4,unroll_4,pipeline,16.25,0.6249624302978178,False
viterbi_118.c,xczu7ev-ffvc1156-2-e,10.0,76.61841,315,8,1,11,37,cyclic_8_2,unroll_8,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,14.25,0.12039707749905486,False
viterbi_119.c,xczu7ev-ffvc1156-2-e,10.0,71.62409,98,5,1,2,11,block_128_1,unroll_8,unroll_4,pipeline,pipeline,unroll_4,unroll,unroll_2,4.75,0.15484268228517512,False
viterbi_120.c,xczu7ev-ffvc1156-2-e,10.0,3.32939,173,7,1,6,23,cyclic_4_2,unroll_32,unroll_2,unroll,unroll_16,pipeline,unroll_4,unroll,9.25,0.8520694848511357,False
viterbi_121.c,xczu7ev-ffvc1156-2-e,10.0,82.5373,221,10,1,6,26,cyclic_32_2,unroll_16,unroll_8,unroll,pipeline_1,unroll_2,unroll_2,unroll_4,10.75,0.10950834609993904,False
viterbi_122.c,xczu7ev-ffvc1156-2-e,10.0,22.80816,249,7,1,7,31,cyclic_4_2,unroll_32,unroll_8,unroll,unroll_16,unroll_4,pipeline_1,unroll_8,11.5,0.5993102328468136,False
viterbi_123.c,xczu7ev-ffvc1156-2-e,10.0,22.7934,487,7,1,11,51,cyclic_4_2,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_8,17.5,0.49300995142101767,False
