Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,340.79504,37,2,1,1,3,unroll_2,unroll_4,1.75,0.40195279896705194,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,10.49344,37,2,1,1,3,unroll_2,pipeline_1,1.75,1.0,True
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,115.35016,37,2,1,1,5,unroll_4,pipeline_1,2.25,0.7597754587768577,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,327.68784,40,2,2,2,5,unroll_2,unroll_8,2.75,0.3983226192804604,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,321.7896,51,2,2,2,6,unroll_2,unroll_16,3.0,0.4007113940350483,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,10.49289,51,2,1,4,9,unroll,pipeline_1,4.0,1.0,True
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,10.49289,58,2,1,4,9,unroll,pipeline,4.0,1.0,True
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,340.79495,61,2,1,2,7,unroll,unroll_2,3.0,0.3760925434233342,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,340.795,39,2,1,1,3,unroll_4,unroll_2,1.75,0.4019528520944684,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,10.49344,31,2,1,1,3,unroll_2,pipeline,1.75,1.0,True
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,320.97036,148,2,2,7,17,unroll_4,unroll_32,7.0,0.31395884955970815,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,308.80524,441,2,2,14,32,unroll_4,unroll_64,12.5,0.2118571427038769,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,334.85575,1612,2,2,26,61,unroll,unroll_32,22.75,0.10000000000000002,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,340.79504,33,2,1,1,2,unroll_2,unroll_2,1.5,1.0,True
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,152.05096,33,2,1,1,4,unroll_4,pipeline,2.0,0.6973254884936375,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,342.10572,45,2,2,2,5,unroll_4,unroll_4,2.75,0.3795757300451771,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,336.20748,55,2,2,2,7,unroll_4,unroll_8,3.25,0.3766740997560245,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,328.99852,80,2,2,4,10,unroll_4,unroll_16,4.5,0.3589751236088644,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,306.38864,80,2,2,4,10,unroll_2,unroll_32,4.5,0.38725231220628153,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,343.08871,94,2,2,4,11,unroll,unroll_4,4.75,0.33685688877241005,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,342.59719,158,2,2,7,18,unroll,unroll_8,7.25,0.2861076884113839,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,300.32656,167,2,2,7,17,unroll_2,unroll_64,7.0,0.3368084067794387,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,334.40519,417,2,2,14,33,unroll,unroll_16,12.75,0.1902102202633274,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,5.0,5.24796,35,2,2,1,3,unroll_2,pipeline_1,2.0,1.0,True
workload_41.cpp,xczu7ev-ffvc1156-2-e,5.0,228.07064,39,2,1,1,3,unroll_2,unroll_4,1.75,1.0,True
