Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,60,47,4,10,19,block_64_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,pipeline,20.0,0.5450855119349644,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,108,31,1,7,22,block_2_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,15.25,0.6465390436870396,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,587.25764,1574,33,1,8,77,cyclic_32_1,cyclic_64_1,complete_1,unroll,unroll_4,pipeline_1,29.75,0.1723909129692728,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,306.38233,50,24,1,1,6,cyclic_4_1,cyclic_2_1,complete_1,unroll_4,unroll_2,pipeline_1,8.0,0.9724659025178286,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,411.54735,66,26,1,2,10,cyclic_8_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,unroll_16,9.75,0.7381569950320388,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,45.56589,364,29,1,12,44,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,pipeline_1,21.5,0.5886297575103482,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,409.05135,222,26,2,4,29,cyclic_8_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,unroll_64,15.25,0.6147207839484526,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,307.0377,55,26,1,1,7,cyclic_32_1,cyclic_2_1,complete_1,unroll_4,unroll_2,pipeline_1,8.75,0.9466672468642122,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,534.50702,69,25,1,33,56,block_2_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_8,pipeline,28.75,0.20824543280092428,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,108,32,1,7,26,block_4_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,16.5,0.6054757268842471,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,307.03764,117,26,1,4,20,cyclic_32_1,cyclic_2_1,complete_1,unroll,unroll_2,pipeline_1,12.75,0.8057209642424298,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,414.21998,77,41,1,1,15,cyclic_4_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,14.5,0.6307910062651533,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,117,31,2,9,23,block_2_1,block_64_1,block_4_1,unroll_2,unroll_2,unroll_8,16.25,0.6136011355956172,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,601.30255,103,26,1,3,17,cyclic_8_1,cyclic_16_1,block_2_1,unroll_2,unroll_4,unroll_16,11.75,0.41453688380240794,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,389.58255,85,47,8,3,10,block_64_1,block_32_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,17.0,0.5796560804755346,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,903.4345,474,26,1,13,60,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_32,pipeline_1,25.0,0.10515748154729992,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,285.20798,944,25,1,53,77,block_2_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_64,39.0,0.2044611648577167,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,52,47,4,10,19,block_64_1,block_4_1,cyclic_2_1,unroll_2,unroll_2,pipeline,20.0,0.5450855119349644,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,688.43998,64,26,1,33,56,block_2_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_8,pipeline,29.0,0.14268960734270225,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,579.52691,1727,26,1,9,39,cyclic_4_1,cyclic_32_1,complete_1,unroll,unroll_4,unroll_2,18.75,0.3490786365200653,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,449.29679,54,25,1,1,6,cyclic_8_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,pipeline_1,8.25,0.6865106197623204,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,298.88415,74,47,8,3,9,block_64_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,16.75,0.6604158101828181,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,382.27118,74,31,1,5,14,block_2_1,block_64_1,block_4_1,unroll_2,unroll_2,unroll_4,12.75,0.7236849295945911,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,700.93551,101,42,15,38,65,block_32_1,block_16_1,cyclic_4_1,unroll_2,unroll_8,pipeline,40.0,0.10000000000000003,False
