Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,141.56858,68,60,11,6,12,cyclic_128_1,cyclic_8_2,block_4_2,cyclic_2_1,block_2_1,complete_1,unroll_2,unroll,pipeline,unroll_4,22.25,0.8507047400046768,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,148.78224,71,58,10,4,7,cyclic_2_1,block_4_1,block_8_2,block_4_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,pipeline_1,pipeline,19.75,0.9138051467076224,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,176.79248,109,60,1,12,22,cyclic_2_1,block_4_2,cyclic_16_1,complete_1,cyclic_2_1,cyclic_4_1,unroll_8,pipeline,unroll_4,pipeline,23.75,0.7428014827813975,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,144.1903,186,62,10,24,30,cyclic_32_1,complete_2,block_2_2,cyclic_4_1,block_2_1,complete_1,unroll_32,pipeline,pipeline,unroll,31.5,0.6789328398508665,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,149.43571,342,62,10,10,21,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline,unroll_2,25.75,0.770942664458529,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,439.42912,562,64,1,8,17,block_16_1,complete_2,block_32_1,block_8_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_16,unroll_2,22.5,0.1378785794748599,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,166.71742,111,60,2,11,25,block_4_1,cyclic_64_1,block_2_1,cyclic_8_1,block_4_1,block_4_1,unroll_4,unroll_2,unroll_8,pipeline_1,24.5,0.7558320155378229,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,220.20862,1673,64,6,14,53,cyclic_64_1,cyclic_16_1,cyclic_16_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,unroll_32,unroll_4,unroll_16,unroll_4,34.25,0.4757250756029203,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,384.37655,111,58,1,4,12,cyclic_4_1,block_2_2,cyclic_8_2,complete_1,block_8_1,block_8_1,unroll_8,pipeline_1,unroll_2,unroll_4,18.75,0.22055151469545595,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,150.74548,95,62,12,13,23,cyclic_128_1,block_8_2,complete_2,block_8_1,complete_1,complete_1,unroll_4,pipeline_1,pipeline_1,pipeline,27.5,0.7365673966911248,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,154.6737,492,60,13,11,23,block_16_1,cyclic_8_2,block_2_2,block_8_1,cyclic_4_1,cyclic_2_1,unroll_8,pipeline_1,unroll_8,unroll,26.75,0.7421336179297646,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,133.70732,55,60,10,6,9,cyclic_64_1,block_2_2,block_4_2,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,unroll_4,21.25,0.879990678848319,False
