Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,5750.21761,96,1,1,3,6,unroll_4,unroll_4,unroll_2,2.75,0.5204113095931029,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,10071.74337,2844,1,1,28,39,unroll_2,unroll_8,unroll_64,17.25,0.10000000000000002,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,98,1,2,15,21,unroll_16,unroll_16,pipeline,9.75,0.5008204400385976,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,47,1,2,3,5,unroll_2,unroll_4,pipeline,2.75,0.9999999990403571,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,54,1,2,5,7,unroll_4,unroll_2,pipeline,3.75,0.9164938755365353,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,76,1,2,8,12,unroll_8,unroll_16,pipeline_1,5.75,0.7616764067162123,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,5750.21761,54,1,1,3,6,unroll_4,unroll_8,unroll_2,2.75,0.5204113095931029,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,3275.66017,47,1,1,2,4,unroll_2,unroll_2,unroll_2,2.0,0.8375642868730281,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,7606.13569,142,1,1,9,15,unroll_16,unroll_2,unroll_2,6.5,0.3050812150668838,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,47,1,2,3,5,unroll_2,unroll_16,pipeline,2.75,0.9999999990403571,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,3745.43041,1991,1,1,28,37,unroll_8,unroll_2,unroll_32,16.75,0.181076428842602,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,3275.66017,51,1,1,2,4,unroll_2,unroll_8,unroll_2,2.0,0.8375642868730281,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,8906.51329,81,1,1,4,8,unroll_2,unroll_16,unroll_8,3.5,0.24304102982945774,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26624,49,1,2,3,5,unroll_2,unroll,pipeline,2.75,1.0,True
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,6987.49633,74,1,1,5,9,unroll_8,unroll_2,unroll_2,4.0,0.38781795746943626,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,3275.66017,47,1,1,2,4,unroll_2,unroll_4,unroll_2,2.0,0.8375642868730281,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,7606.13569,128,1,1,9,15,unroll_16,unroll_16,unroll_2,6.5,0.3050812150668838,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,6321.69153,98,1,1,6,11,unroll_4,unroll_16,unroll_8,4.75,0.439207349274792,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,6987.49633,75,1,1,5,9,unroll_8,unroll_16,unroll_2,4.0,0.38781795746943626,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,3273.55073,1493,1,2,27,36,unroll_16,unroll_8,unroll_16,16.5,0.19329584612333545,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,9905.28193,531,1,1,15,22,unroll_2,unroll_4,unroll_32,9.75,0.14583286198045073,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,7574.82177,61,1,1,3,6,unroll_2,unroll_2,unroll_4,2.75,0.3436562798782389,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,97,1,2,15,21,unroll_16,unroll_8,pipeline,9.75,0.5008204400385976,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,62,1,2,8,12,unroll_8,unroll_2,pipeline,5.75,0.7616764067162123,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,7574.82177,57,1,1,3,6,unroll_2,unroll_4,unroll_4,2.75,0.3436562798782389,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,6565.42401,213,1,1,13,19,unroll_16,unroll_2,unroll_4,8.5,0.33374213509395806,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,5029.28064,168,1,1,10,16,unroll_8,unroll,unroll_8,7.0,0.49000307472357507,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,48,1,2,5,7,unroll_4,unroll_2,pipeline_1,3.75,0.9164938755365353,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,6493.32417,806,1,1,24,34,unroll_32,unroll_8,unroll_4,15.0,0.17229067319433217,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,65,1,2,8,12,unroll_8,unroll_2,pipeline_1,5.75,0.7616764067162123,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.83969,99,1,2,15,21,unroll_16,unroll_16,pipeline_1,9.75,0.5008204400385976,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,6565.42401,227,1,1,13,19,unroll_16,unroll_16,unroll_4,8.5,0.33374213509395806,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,7574.82177,61,1,1,3,6,unroll_2,unroll_8,unroll_4,2.75,0.3436562798782389,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,9905.28192,534,1,1,15,22,unroll_2,unroll,unroll_32,9.75,0.14583286230312598,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,9905.28193,546,1,1,15,22,unroll_2,unroll_8,unroll_32,9.75,0.14583286198045073,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,7606.13569,130,1,1,9,15,unroll_16,unroll_4,unroll_2,6.5,0.3050812150668838,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,5029.28065,165,1,1,10,15,unroll_8,unroll_2,unroll_8,6.75,0.49936913120041515,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,6709.62369,116,1,1,7,11,unroll_8,unroll_16,unroll_4,5.0,0.40002951948431487,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,50,1,2,5,7,unroll_4,unroll_16,pipeline,3.75,0.9164938755365353,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,51,1,2,3,5,unroll_2,unroll_16,pipeline_1,2.75,0.9999999990403571,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,6565.42401,235,1,1,13,19,unroll_16,unroll_8,unroll_4,8.5,0.33374213509395806,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.59393,58,1,2,5,7,unroll_4,unroll_8,pipeline,3.75,0.9164938755365353,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,6493.32417,929,1,1,24,34,unroll_32,unroll_2,unroll_4,15.0,0.17229067319433217,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,7574.82177,64,1,1,3,6,unroll_2,unroll_16,unroll_4,2.75,0.3436562798782389,False
workload_98.cpp,xczu7ev-ffvc1156-2-e,10.0,10071.74337,2970,1,1,28,39,unroll_2,unroll_4,unroll_64,17.25,0.10000000000000002,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75776,68,1,2,8,12,unroll_8,unroll,pipeline,5.75,0.7616764067166409,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,8906.51329,82,1,1,4,8,unroll_2,unroll_8,unroll_8,3.5,0.24304102982945774,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,5798.71425,858,1,1,19,28,unroll_4,unroll_2,unroll_32,12.25,0.2630669299597831,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,4383.07521,472,1,1,17,25,unroll_16,unroll_8,unroll_8,11.0,0.3604736915484337,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,3745.43041,1930,1,1,28,37,unroll_8,unroll_16,unroll_32,16.75,0.181076428842602,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,6987.49632,74,1,1,5,9,unroll_8,unroll,unroll_2,4.0,0.38781795836246447,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,10071.74337,2905,1,1,28,39,unroll_2,unroll_2,unroll_64,17.25,0.10000000000000002,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,6321.69153,100,1,1,6,11,unroll_4,unroll_4,unroll_8,4.75,0.439207349274792,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,7606.13568,137,1,1,9,15,unroll_16,unroll,unroll_2,6.5,0.3050812157729417,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,45,1,2,3,5,unroll_2,unroll_2,pipeline,2.75,0.9999999990403571,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,5029.28065,180,1,1,10,15,unroll_8,unroll_16,unroll_8,6.75,0.49936913120041515,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.26625,50,1,2,3,5,unroll_2,unroll_4,pipeline_1,2.75,0.9999999990403571,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,6987.49633,75,1,1,5,9,unroll_8,unroll_4,unroll_2,4.0,0.38781795746943626,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10.0,4383.07521,453,1,1,17,25,unroll_16,unroll_2,unroll_8,11.0,0.3604736915484337,False
workload_119.cpp,xczu7ev-ffvc1156-2-e,10.0,7915.45537,358,1,1,17,27,unroll_32,unroll_8,unroll_2,11.5,0.19617931033272784,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,6321.69152,98,1,1,6,11,unroll_4,unroll,unroll_8,4.75,0.4392073502077405,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,5750.21761,64,1,1,3,6,unroll_4,unroll_16,unroll_2,2.75,0.5204113095931029,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,3275.66017,55,1,1,2,4,unroll_2,unroll_16,unroll_2,2.0,0.8375642868730281,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,5798.71425,814,1,1,19,28,unroll_4,unroll_4,unroll_32,12.25,0.2630669299597831,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,6565.424,243,1,1,13,19,unroll_16,unroll,unroll_4,8.5,0.33374213573632405,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,1202.75777,74,1,2,8,12,unroll_8,unroll_8,pipeline_1,5.75,0.7616764067162123,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,5750.21761,66,1,1,3,6,unroll_4,unroll_2,unroll_2,2.75,0.5204113095931029,False
