Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,5679.81233,652,34,1,8,44,cyclic_8_1,block_4_1,cyclic_16_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll,21.75,0.5498265846466469,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,209,65,7,31,34,block_4_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,34.25,0.48771767535049537,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,206,66,7,31,34,block_4_1,block_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,34.5,0.4825978282066362,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.10913,200,61,1,27,28,block_2_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,29.25,0.5972536438179546,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88233,241,63,1,28,34,block_2_1,block_8_1,cyclic_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,31.5,0.5462188673319726,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67777,331,62,1,9,31,cyclic_2_1,block_32_1,block_2_1,unroll_32,unroll_2,pipeline_1,unroll,unroll_4,25.75,0.6819998552942689,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10.0,4127.91985,651,34,1,8,43,cyclic_8_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll,21.5,0.6696360457444462,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88233,328,63,1,28,37,block_2_1,block_8_1,block_32_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,32.25,0.5298459203372532,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,1708.79137,420,66,1,65,59,block_4_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,47.75,0.2599267326020044,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63593,499,63,1,26,39,block_2_1,block_8_1,cyclic_16_1,unroll,unroll_4,pipeline_1,unroll_4,unroll_2,32.25,0.5298572812452012,False
workload_177.cpp,xczu7ev-ffvc1156-2-e,10.0,7361.53777,629,44,1,3,31,cyclic_8_1,block_2_1,cyclic_128_1,unroll_4,unroll_2,unroll_4,unroll_2,unroll,19.75,0.4561593082658765,False
workload_194.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.32393,233,77,1,3,19,cyclic_8_1,block_32_1,cyclic_64_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,25.0,0.6995082579410414,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.88233,254,63,1,28,34,block_2_1,block_8_1,block_16_1,unroll_16,unroll_4,pipeline_1,unroll_4,unroll_2,31.5,0.5462188673319726,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.30889,417,77,1,3,26,cyclic_4_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,26.75,0.6569984162049425,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,5759.76545,320,30,1,4,18,cyclic_2_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll,unroll_4,13.25,0.6340450199787891,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.78913,505,63,1,54,58,block_2_1,block_8_1,cyclic_16_1,unroll_32,unroll_4,pipeline_1,unroll,unroll_2,44.0,0.31323788777410055,False
workload_238.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63489,606,63,1,26,41,block_2_1,block_8_1,cyclic_16_1,unroll,unroll_4,pipeline_1,unroll,unroll_2,32.75,0.5191109146696602,False
workload_239.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,207,66,7,31,34,block_4_1,cyclic_4_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,34.5,0.4825978282066362,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.43009,274,67,1,6,21,cyclic_4_1,block_8_1,block_32_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,23.75,0.7331761241687091,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10.0,1881.00937,452,77,3,9,31,block_4_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,30.0,0.5798762498751657,False
workload_247.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.63593,408,63,1,26,32,block_2_1,block_8_1,block_8_1,unroll,unroll_4,pipeline_1,unroll_4,unroll_2,30.5,0.5685371700614246,False
workload_248.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.65793,179,65,1,6,15,cyclic_4_1,cyclic_4_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,21.75,0.7869941967914276,False
workload_250.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.11025,189,62,1,26,29,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,29.5,0.5914539931840842,False
workload_251.cpp,xczu7ev-ffvc1156-2-e,10.0,1708.79137,427,66,1,65,61,block_4_1,block_32_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,48.25,0.25339573105934987,False
workload_252.cpp,xczu7ev-ffvc1156-2-e,10.0,5759.76609,319,30,1,3,17,cyclic_2_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll,unroll_2,12.75,0.6372147691076869,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.55177,144,92,1,3,19,cyclic_16_1,cyclic_64_1,block_4_1,unroll_4,unroll_4,pipeline,unroll_2,unroll_2,28.75,0.6088620094828323,False
workload_256.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.01737,389,62,1,54,61,block_2_1,block_32_1,block_2_1,unroll_32,unroll_4,pipeline_1,unroll_4,unroll_4,44.5,0.30569821693761673,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.69345,486,76,1,15,42,cyclic_8_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,33.5,0.5032376561504033,False
workload_262.cpp,xczu7ev-ffvc1156-2-e,10.0,4127.91985,1032,38,1,8,59,cyclic_16_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll,26.5,0.5882753535783577,False
workload_269.cpp,xczu7ev-ffvc1156-2-e,10.0,1880.43593,423,73,1,8,29,block_2_1,block_32_1,cyclic_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,27.75,0.6326468515345111,False
workload_276.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,210,66,7,31,35,block_4_1,cyclic_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,34.75,0.47751198820256635,False
workload_278.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.25249,218,66,7,31,36,block_4_1,block_16_1,block_4_1,unroll_16,unroll_2,pipeline_1,unroll,unroll_2,35.0,0.47246015645480055,False
workload_279.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.69345,651,91,1,15,55,cyclic_16_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,40.5,0.36990814608343725,False
workload_280.cpp,xczu7ev-ffvc1156-2-e,10.0,3254.98033,651,37,1,8,55,cyclic_16_1,cyclic_2_1,block_2_1,unroll_32,unroll_2,unroll_4,unroll_2,unroll,25.25,0.6565501676422723,False
workload_281.cpp,xczu7ev-ffvc1156-2-e,10.0,1873.43057,241,67,1,6,21,cyclic_4_1,block_8_1,block_32_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,23.75,0.7331761215132873,False
workload_282.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.46497,1168,87,1,10,67,cyclic_8_1,block_128_1,block_8_1,unroll_32,unroll_2,pipeline_1,unroll,unroll_4,41.25,0.3569278172596825,False
workload_283.cpp,xczu7ev-ffvc1156-2-e,10.0,1879.78913,364,63,1,53,54,block_2_1,block_8_1,cyclic_16_1,unroll_32,unroll_2,pipeline_1,unroll,unroll_2,42.75,0.33271158005092616,False
workload_284.cpp,xczu7ev-ffvc1156-2-e,10.0,1708.79137,462,66,1,67,63,block_4_1,cyclic_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,49.25,0.24074213394861999,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.32393,161,77,1,3,16,cyclic_8_1,block_32_1,cyclic_32_1,unroll_4,unroll_4,pipeline,unroll_2,unroll_2,24.25,0.718622688809533,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10.0,6014.04577,233,30,1,3,14,cyclic_2_1,block_8_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll,unroll_2,12.0,0.6184092092670667,False
workload_289.cpp,xczu7ev-ffvc1156-2-e,10.0,1880.02633,208,67,7,31,35,block_4_1,block_8_1,block_8_1,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,35.0,0.4724228952659737,False
workload_290.cpp,xczu7ev-ffvc1156-2-e,10.0,1705.67841,447,66,1,15,33,cyclic_4_1,block_8_1,block_2_1,unroll,unroll_2,pipeline_1,unroll,unroll_2,28.75,0.6089441246054609,False
workload_291.cpp,xczu7ev-ffvc1156-2-e,10.0,1882.48393,404,77,2,6,25,block_4_1,block_32_1,cyclic_128_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_2,27.5,0.63867171831729,False
workload_292.cpp,xczu7ev-ffvc1156-2-e,10.0,10879.50849,1432,61,1,6,42,block_2_1,cyclic_4_1,cyclic_128_1,unroll_4,unroll_2,unroll_4,unroll,unroll,27.5,0.2169079269210174,False
workload_294.cpp,xczu7ev-ffvc1156-2-e,10.0,1712.29385,192,62,1,16,26,block_2_1,block_32_1,block_2_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_4,26.25,0.6694981658593442,False
workload_296.cpp,xczu7ev-ffvc1156-2-e,10.0,1878.55177,136,76,1,3,17,cyclic_8_1,cyclic_64_1,block_4_1,unroll_4,unroll_4,pipeline,unroll_2,unroll_2,24.25,0.7201262707099074,False
workload_297.cpp,xczu7ev-ffvc1156-2-e,10.0,2046.44617,238,76,1,7,22,cyclic_8_1,cyclic_4_1,cyclic_16_1,unroll_16,unroll_4,pipeline,unroll_4,unroll_2,26.5,0.6620757040454082,False
workload_298.cpp,xczu7ev-ffvc1156-2-e,10.0,4048.11953,115,34,1,2,9,cyclic_8_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,unroll,11.5,0.8063493017552086,False
