Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,18749.32673,1401,62,1,9,77,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,complete_1,block_4_1,complete_1,cyclic_8_1,cyclic_2_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_2,unroll,unroll_2,unroll_32,37.25,0.21475147266778563,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,4806.47237,1581,55,11,17,31,block_8_1,cyclic_16_1,block_2_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,pipeline,unroll_2,unroll_2,unroll_32,28.5,0.5392895467737023,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,805,80,2,12,23,block_4_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,29.25,0.5263296976019559,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,25803.02659,893,40,1,18,55,block_16_1,block_8_1,block_2_1,block_4_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_8,unroll_2,unroll_16,unroll,unroll_8,unroll_8,unroll_4,unroll_4,unroll_2,28.5,0.23496967282597783,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,4806.47237,1629,70,11,17,31,block_8_1,cyclic_16_1,block_4_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_2,unroll_2,unroll_2,unroll_32,32.25,0.42877137785088093,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,17092.74321,1420,47,9,16,61,block_16_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,unroll_2,pipeline,unroll_2,unroll_4,unroll_2,pipeline,33.25,0.29020288086489254,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,2391.22369,1130,63,2,12,23,block_32_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_2,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,25.0,0.6727096866100689,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,17327.84337,1254,42,1,9,58,cyclic_64_1,block_4_1,cyclic_4_1,block_16_2,block_4_1,complete_1,block_8_1,cyclic_8_1,cyclic_8_1,block_4_1,unroll_64,unroll_8,unroll_2,unroll_2,unroll_8,pipeline,unroll_4,unroll_2,unroll,27.5,0.3772929404849519,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,17557.72113,525,33,1,7,21,cyclic_4_1,cyclic_4_1,cyclic_4_1,block_16_2,block_4_1,complete_1,block_8_1,cyclic_8_1,cyclic_8_1,complete_1,unroll_32,unroll_8,unroll_2,unroll_2,unroll_8,pipeline,unroll_4,unroll_2,unroll,15.5,0.5211924989119675,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,18350.86785,1416,62,2,11,84,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,cyclic_2_1,block_4_1,complete_1,block_2_1,cyclic_2_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_8,unroll,unroll_2,unroll_32,39.75,0.18598789169901753,False
