Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,18749.32673,629,62,1,9,77,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,complete_1,block_4_1,complete_1,cyclic_8_1,cyclic_2_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_2,unroll,unroll_2,unroll_32,37.25,0.3015652653423499,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,4806.47237,653,55,11,17,31,block_8_1,cyclic_16_1,block_2_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,pipeline,unroll_2,unroll_2,unroll_32,28.5,0.5777665714353057,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,304,80,2,12,23,block_4_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,29.25,0.5624398439341648,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,7613.14001,882,42,7,25,56,cyclic_32_1,block_4_1,cyclic_4_1,block_2_2,block_4_1,cyclic_4_1,block_8_1,block_2_1,cyclic_8_1,block_4_1,unroll_64,pipeline,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll,32.5,0.47500428717050935,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,2385.98081,309,79,2,12,26,block_4_1,block_64_1,cyclic_8_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,29.75,0.5508810320772661,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,12918.93457,606,53,1,10,54,cyclic_32_1,cyclic_32_1,block_128_1,block_2_2,complete_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,unroll_32,unroll_4,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll,29.5,0.4834230496942449,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,4806.47237,596,70,11,17,31,block_8_1,cyclic_16_1,block_4_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_2,unroll_2,unroll_2,unroll_32,32.25,0.4923139321189173,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,22240.57937,215,45,1,16,47,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll,pipeline_1,27.25,0.41656223823035576,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,17092.74321,619,47,9,16,61,block_16_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,unroll_2,pipeline,unroll_2,unroll_4,unroll_2,pipeline,33.25,0.3749798577803224,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,2370.09857,569,46,1,9,32,cyclic_128_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,block_2_1,unroll_32,pipeline_1,unroll_2,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,22.0,0.7494818916014266,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,18408.93769,198,43,1,17,54,block_2_1,cyclic_128_1,cyclic_32_1,block_16_2,complete_1,cyclic_4_1,cyclic_2_1,complete_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_32,28.75,0.44002904675667287,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,4806.47237,610,70,11,17,31,block_8_1,cyclic_16_1,block_4_1,cyclic_4_1,block_4_1,cyclic_8_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,unroll_2,unroll_32,32.25,0.4923139321189173,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,2398.42885,146,40,4,18,30,block_8_1,cyclic_16_1,block_2_1,cyclic_16_2,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,pipeline,unroll,pipeline,unroll_2,unroll_2,pipeline_1,23.0,0.7220406420404438,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,18475.06641,618,64,1,5,53,cyclic_32_1,cyclic_128_1,block_128_1,block_16_2,complete_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,unroll_32,unroll_4,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll,30.75,0.4053253146180772,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,313,81,2,14,28,block_4_1,block_8_1,block_2_1,complete_1,block_8_1,block_8_1,block_8_1,block_4_1,block_4_1,cyclic_8_1,unroll_32,pipeline_1,unroll_4,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,31.25,0.5162755272739245,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,19313.88113,881,64,1,4,81,cyclic_128_1,cyclic_128_1,block_128_1,block_16_2,complete_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,unroll_32,unroll_4,unroll_2,unroll_2,unroll_8,unroll_4,unroll_4,unroll_2,pipeline_1,37.5,0.2943907634525059,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,2398.42501,169,40,4,20,35,block_8_1,cyclic_16_1,block_2_1,cyclic_16_2,block_2_1,complete_1,cyclic_8_1,block_4_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,pipeline,unroll,pipeline,unroll_4,unroll_2,pipeline_1,24.75,0.6751890434889798,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,1906.07557,227,33,2,16,48,block_4_1,block_64_1,block_4_1,block_8_2,block_4_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_2,unroll_4,unroll_4,unroll_2,unroll_32,24.75,0.6740738196830186,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,18371.83937,692,62,2,10,79,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,complete_1,block_8_1,complete_1,cyclic_8_1,cyclic_2_1,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_4,unroll,unroll_2,unroll_32,38.25,0.2896571166448727,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10.0,44243.60529,299,41,56,20,48,block_8_1,block_8_1,block_8_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,block_4_1,unroll_32,unroll_4,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll,unroll_16,41.25,0.10875824086573074,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,18554.83473,642,45,1,17,52,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_4,unroll,unroll_32,28.75,0.4384522365582252,False
workload_156.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,293,80,2,12,23,block_4_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_4_1,block_4_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll,unroll_2,unroll_2,unroll,unroll_2,pipeline_1,29.25,0.5624398439341648,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10.0,2743.63713,880,37,1,61,86,block_2_1,block_8_1,block_2_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_8_1,unroll_32,pipeline,unroll_2,unroll_8,unroll_2,unroll,unroll,unroll,unroll_16,46.25,0.24703613172883088,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,328,80,2,14,27,block_4_1,cyclic_4_1,block_2_1,complete_1,block_4_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,unroll,unroll_4,unroll_4,unroll,unroll_2,pipeline_1,30.75,0.5275938673433853,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,3130.29573,480,34,1,27,48,block_2_1,cyclic_16_1,block_4_1,block_8_1,complete_1,cyclic_4_1,complete_1,block_4_1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,unroll_8,unroll_8,unroll_4,unroll_2,unroll_2,unroll,unroll_32,27.5,0.6053705764068169,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,44296.04035,554,41,56,28,72,block_8_1,block_8_1,block_8_1,complete_1,block_4_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_2_1,block_2_1,unroll_32,unroll_4,unroll_16,unroll_2,unroll_2,unroll_2,unroll_4,unroll_2,unroll_16,49.25,0.10000000000000002,False
workload_163.cpp,xczu7ev-ffvc1156-2-e,10.0,10812.00849,97,43,1,14,33,block_2_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_4,unroll_8,unroll_4,unroll_2,pipeline_1,22.75,0.6422409874413336,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,2385.98081,424,79,2,14,29,block_4_1,cyclic_32_1,block_16_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,pipeline_1,pipeline,unroll_4,unroll,unroll_2,unroll,unroll,unroll_2,unroll_4,31.0,0.5221020875690398,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,18605.15025,181,47,1,5,17,block_8_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll,17.5,0.6243486460674116,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,18473.08357,165,37,7,21,46,block_8_1,cyclic_16_1,cyclic_32_1,block_16_2,complete_1,cyclic_4_1,block_4_1,block_4_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_8,pipeline,unroll_2,pipeline,unroll_2,unroll_2,unroll,27.75,0.4566209202533289,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,1906.07557,251,33,2,16,48,block_4_1,block_64_1,block_4_1,block_8_2,complete_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_2,unroll_4,unroll_4,unroll_2,unroll_32,24.75,0.6740738196830186,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,2218.19841,301,80,2,12,23,block_4_1,cyclic_4_1,block_2_1,complete_1,block_8_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_32,pipeline_1,unroll_2,unroll,unroll_2,unroll_4,unroll,unroll_2,pipeline_1,29.25,0.5624398439341648,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,3428.62405,356,39,6,15,31,block_8_1,cyclic_16_1,cyclic_32_1,block_8_1,block_4_1,cyclic_8_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_8,unroll_2,unroll_2,unroll_32,22.75,0.7288152626956247,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10.0,18883.26865,335,49,3,5,27,block_8_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,block_2_1,complete_1,block_4_1,complete_1,complete_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_32,21.0,0.5659276584353027,False
workload_188.cpp,xczu7ev-ffvc1156-2-e,10.0,2372.58949,732,40,2,16,42,block_8_1,block_64_1,block_2_1,cyclic_16_2,block_2_1,complete_1,cyclic_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll,pipeline,unroll_4,unroll_2,pipeline_1,25.0,0.6685927634808787,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10.0,4633.45731,726,75,11,21,40,block_4_1,cyclic_16_1,block_2_1,cyclic_4_1,cyclic_8_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline,unroll_2,unroll_2,unroll_32,36.75,0.40076403442469655,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10.0,19084.87105,685,62,1,8,75,block_4_1,block_128_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,complete_1,block_4_1,complete_1,cyclic_8_1,cyclic_2_1,pipeline,unroll_2,unroll_8,pipeline_1,unroll_4,unroll_2,unroll,unroll_2,unroll_16,36.5,0.31016672566751835,False
workload_198.cpp,xczu7ev-ffvc1156-2-e,10.0,22261.55081,371,45,1,17,64,block_2_1,cyclic_128_1,cyclic_32_1,block_8_1,block_8_1,block_8_1,complete_1,complete_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_2,unroll_4,unroll_4,unroll,pipeline_1,31.75,0.3512891404991305,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,2764.57409,367,37,58,26,38,block_4_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_4_1,block_2_1,unroll_32,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,unroll,unroll_2,pipeline_1,39.75,0.34710530774072784,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,2398.42501,408,50,4,19,60,block_8_1,cyclic_128_1,block_2_1,cyclic_16_2,block_2_1,cyclic_4_1,cyclic_8_1,complete_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,pipeline,unroll_2,pipeline,unroll_4,unroll_2,unroll_32,33.25,0.47266398642741625,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,18662.82193,415,64,1,4,46,cyclic_32_1,cyclic_128_1,block_128_1,cyclic_4_1,complete_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,pipeline_1,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_4,unroll_4,unroll_2,unroll_32,28.75,0.43727605841768513,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,3059.27881,405,44,1,11,23,cyclic_32_1,block_4_1,cyclic_4_1,block_8_1,block_4_1,cyclic_4_1,block_8_1,complete_1,cyclic_8_1,block_4_1,unroll_8,pipeline,unroll_4,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll,19.75,0.8132953917842953,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10.0,2419.40037,324,40,4,18,30,block_8_1,cyclic_16_1,block_2_1,complete_1,block_2_1,complete_1,block_4_1,block_4_1,complete_1,cyclic_8_1,unroll_2,pipeline_1,unroll_8,pipeline,unroll,pipeline,unroll_2,unroll_2,pipeline_1,23.0,0.7220776596707601,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10.0,12738.05761,830,43,1,17,42,cyclic_32_1,cyclic_32_1,block_16_1,block_2_2,cyclic_8_1,complete_1,block_8_1,block_4_1,cyclic_4_1,block_4_1,unroll_32,pipeline,unroll_2,unroll_2,unroll_8,unroll,unroll,unroll_2,unroll,25.75,0.5535070666279895,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10.0,4633.45731,725,75,11,21,40,block_4_1,cyclic_16_1,block_2_1,cyclic_4_1,cyclic_8_1,block_8_1,block_4_1,block_4_1,cyclic_2_1,block_2_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline,unroll_2,unroll_2,pipeline_1,36.75,0.40076403442469655,False
