Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,107,1,1,2,2,unroll_2,pipeline,unroll_4,1.5,0.9077223287531928,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,107,1,1,4,4,unroll_4,pipeline,unroll_2,2.5,0.9155786270101758,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,835.58531,107,1,1,7,9,pipeline_1,pipeline,unroll_2,4.5,0.9253756337048518,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,107,1,1,4,4,unroll_4,pipeline,unroll_8,2.5,0.9155786270101758,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,107,1,1,4,4,unroll_4,pipeline,unroll_4,2.5,0.9155786270101758,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,107,1,1,9,8,unroll_8,pipeline_1,pipeline,4.75,0.8627728756858002,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,835.58531,107,1,1,8,10,pipeline_1,pipeline,unroll,5.0,0.9052504516980592,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,107,1,1,9,8,unroll_8,pipeline,unroll_16,4.75,0.8627728756858002,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,107,1,1,9,8,unroll_8,pipeline,pipeline,4.75,0.8627728756858002,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,107,1,1,2,6,unroll_4,unroll,pipeline_1,2.5,0.7183559632839485,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,107,1,1,4,11,unroll_8,unroll,pipeline,4.25,0.7116423360057287,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,107,1,1,9,8,unroll_8,pipeline,pipeline_1,4.75,0.8627728756858002,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,108,1,2,8,10,pipeline,unroll,unroll_4,5.25,1.0,True
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,5883.90401,108,1,1,4,8,unroll_2,unroll,unroll_8,3.5,0.2993285884329046,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,108,1,2,8,10,pipeline,unroll,pipeline_1,5.25,1.0,True
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,136,1,1,18,15,unroll_16,pipeline,unroll_16,8.75,0.7228252213645997,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,136,1,1,18,15,unroll_16,pipeline,unroll_2,8.75,0.7228252213645997,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,56,1,1,2,2,unroll_2,pipeline,unroll_16,1.5,0.9077223287531928,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,56,1,1,2,2,unroll_2,pipeline,unroll_8,1.5,0.9077223287531928,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,58,1,1,2,2,unroll_2,pipeline,unroll_2,1.5,0.9077223287531928,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,58,1,1,2,2,unroll_2,pipeline_1,unroll_16,1.5,0.9077223287531928,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,73,1,2,8,10,pipeline,unroll,unroll_8,5.25,1.0,True
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,74,1,2,8,10,pipeline_1,unroll,pipeline,5.25,1.0,True
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,74,1,2,8,10,pipeline_1,unroll,unroll_2,5.25,1.0,True
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,76,1,2,8,10,pipeline_1,unroll,unroll_8,5.25,1.0,True
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,82,1,1,7,9,pipeline,pipeline,unroll_4,4.5,0.9253756345643507,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,9118.20801,83,1,1,4,10,unroll_8,unroll,unroll_2,4.0,0.11352081049141739,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,84,1,1,7,9,pipeline_1,pipeline_1,unroll_8,4.5,0.9253756345643507,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,9117.95201,130,1,1,9,19,unroll_16,unroll,unroll_2,7.5,0.11178322118348112,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,139,1,1,7,22,unroll_16,unroll,pipeline,7.75,0.6514073741392478,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,1400.96001,250,1,1,36,29,unroll_32,pipeline,pipeline_1,16.75,0.47671109860159966,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,646,1,1,29,81,unroll_64,unroll,pipeline_1,28.0,0.19425000570381237,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,5882.11201,964,1,1,30,51,unroll_16,unroll,unroll_8,20.75,0.17433405486565756,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,8587.26401,62,1,1,2,5,unroll_2,unroll,unroll_4,2.25,0.12918257825180618,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,70,1,1,4,4,unroll_4,pipeline,unroll_16,2.5,0.9155786270101758,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,70,1,1,4,4,unroll_4,pipeline,pipeline_1,2.5,0.9155786270101758,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,73,1,2,8,10,pipeline,unroll,unroll_2,5.25,1.0,True
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,74,1,2,8,10,pipeline_1,unroll,pipeline_1,5.25,1.0,True
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,80,1,1,7,9,pipeline,pipeline_1,pipeline_1,4.5,0.9253756345643507,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,83,1,1,7,9,pipeline,pipeline_1,unroll_4,4.5,0.9253756345643507,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,87,1,1,7,9,pipeline,pipeline,unroll_16,4.5,0.9253756345643507,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,87,1,1,7,9,pipeline_1,pipeline,unroll_8,4.5,0.9253756345643507,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,88,1,1,7,9,pipeline_1,pipeline,pipeline,4.5,0.9253756345643507,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,88,1,1,9,8,unroll_8,pipeline_1,unroll_16,4.75,0.8627728756858002,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,4532.22401,88,1,1,7,14,unroll_2,unroll,unroll_16,5.75,0.43308921656748234,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,90,1,1,9,8,unroll_8,pipeline,unroll_8,4.75,0.8627728756858002,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,5882.88001,102,1,1,7,15,unroll_4,unroll,unroll_8,6.0,0.2940439918478652,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,1372.41601,130,1,1,18,14,unroll_16,pipeline,unroll,8.5,0.733302080221652,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,60,1,1,2,2,unroll_2,pipeline,pipeline_1,1.5,0.9077223287531928,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,133,1,1,18,15,unroll_16,pipeline_1,unroll_16,8.75,0.7228252213645997,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,140,1,1,18,15,unroll_16,pipeline_1,unroll_8,8.75,0.7228252213645997,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,140,1,1,18,15,unroll_16,pipeline,unroll_8,8.75,0.7228252213645997,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,64,1,1,2,6,unroll_4,unroll,pipeline,2.5,0.7183559632839485,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,1374.20801,56,1,1,2,2,unroll_2,pipeline,unroll,1.5,1.0,True
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,77,1,1,7,9,pipeline,pipeline_1,unroll_8,4.5,0.9253756345643507,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,1373.18401,69,1,1,4,4,unroll_4,pipeline,unroll,2.5,1.0,True
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,94,1,1,9,8,unroll_8,pipeline,unroll_2,4.75,0.8627728756858002,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,557.05906,79,1,1,5,6,pipeline_1,unroll,unroll,3.25,1.0,True
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,835.58531,83,1,1,8,10,pipeline,pipeline,unroll,5.0,0.9052504516980592,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,85,1,1,7,9,pipeline,pipeline,pipeline,4.5,0.9253756345643507,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,85,1,1,7,9,pipeline_1,pipeline,pipeline_1,4.5,0.9253756345643507,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,84,1,1,7,9,pipeline_1,pipeline,unroll_4,4.5,0.9253756345643507,False
workload_64.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,59,1,1,2,2,unroll_2,pipeline_1,unroll_8,1.5,0.9077223287531928,False
workload_65.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,68,1,2,8,10,pipeline,unroll,unroll_16,5.25,1.0,True
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,75,1,1,7,9,pipeline,pipeline,pipeline_1,4.5,0.9253756345643507,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,83,1,1,9,8,unroll_8,pipeline_1,unroll_2,4.75,0.8627728756858002,False
workload_68.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.08801,137,1,1,18,15,unroll_16,pipeline,pipeline,8.75,0.7228252213645997,False
workload_69.cpp,xczu7ev-ffvc1156-2-e,10.0,835.58531,79,1,1,7,9,pipeline,pipeline,unroll_2,4.5,0.9253756337048518,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,5882.36801,244,1,1,15,27,unroll_8,unroll,unroll_8,11.0,0.26485212099654865,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,1400.96001,236,1,1,36,29,unroll_32,pipeline,unroll_16,16.75,0.47671109860159966,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,625,1,1,29,85,unroll_64,unroll,pipeline,29.0,0.1802614574069923,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,4530.43201,2269,1,1,57,92,unroll_16,unroll,unroll_16,37.75,0.10000000000000003,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,55,1,1,2,2,unroll_2,pipeline_1,unroll_2,1.5,0.9077223287531928,False
workload_76.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,55,1,1,2,2,unroll_2,pipeline_1,pipeline,1.5,0.9077223287531928,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,55,1,1,2,2,unroll_2,pipeline_1,pipeline_1,1.5,0.9077223287531928,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,2551.80801,57,1,1,1,3,unroll_2,unroll,pipeline_1,1.5,0.7153973340954604,False
workload_79.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,59,1,1,2,2,unroll_2,pipeline_1,unroll_4,1.5,0.9077223287531928,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,1402.88001,61,1,1,2,2,unroll_2,pipeline,pipeline,1.5,0.9077223287531928,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,68,1,1,4,4,unroll_4,pipeline_1,unroll_2,2.5,0.9155786270101758,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,69,1,1,4,4,unroll_4,pipeline_1,unroll_16,2.5,0.9155786270101758,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.85601,69,1,1,4,4,unroll_4,pipeline,pipeline,2.5,0.9155786270101758,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,139.26709,73,1,2,8,10,pipeline_1,unroll,unroll_4,5.25,1.0,True
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,79,1,1,7,9,pipeline_1,pipeline_1,pipeline_1,4.5,0.9253756345643507,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,81,1,1,7,9,pipeline_1,pipeline_1,unroll_16,4.5,0.9253756345643507,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,81,1,1,7,9,pipeline,pipeline,unroll_8,4.5,0.9253756345643507,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,82,1,1,7,9,pipeline,pipeline_1,pipeline,4.5,0.9253756345643507,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,86,1,1,9,8,unroll_8,pipeline,unroll_4,4.75,0.8627728756858002,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,835.5853,86,1,1,7,9,pipeline_1,pipeline,unroll_16,4.5,0.9253756345643507,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,1401.34401,93,1,1,9,8,unroll_8,pipeline_1,pipeline_1,4.75,0.8627728756858002,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,1372.67201,93,1,1,9,8,unroll_8,pipeline,unroll,4.75,0.8655483797688864,False
