Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,956.46031,92,47,12,16,25,block_4_1,cyclic_4_1,block_32_1,unroll,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,25.0,0.8042017466641792,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,283.22642,303,47,7,20,44,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline,pipeline,unroll_8,unroll_32,unroll,pipeline,pipeline_1,unroll,29.5,0.763024256886264,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,976.4764,380,92,13,10,45,cyclic_64_1,cyclic_64_1,cyclic_2_1,unroll,unroll_16,unroll_2,unroll_32,unroll_8,unroll_8,unroll_4,pipeline,unroll_8,40.0,0.6223957423234323,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,145.23856,428,57,68,30,80,cyclic_32_1,cyclic_128_1,block_32_1,unroll,unroll_64,pipeline,unroll_64,unroll_4,unroll_16,unroll,unroll,unroll,58.75,0.4048352514211516,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,1024.14184,158,48,4,11,31,cyclic_16_1,cyclic_2_1,cyclic_8_1,pipeline,unroll_32,unroll_4,unroll_2,unroll_2,unroll_16,unroll_4,pipeline,pipeline_1,23.5,0.8220351966751661,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,1115.12016,513,45,2,50,86,cyclic_8_1,block_4_1,cyclic_4_1,pipeline,pipeline,unroll_32,unroll_2,unroll_64,unroll_4,unroll,pipeline,unroll_8,45.75,0.557215179090481,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,201.10367,151,41,14,28,49,block_4_1,block_32_1,block_8_1,unroll,pipeline,pipeline,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_2,33.0,0.7215059280022357,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,147.72084,191,83,68,27,66,cyclic_128_1,block_4_1,block_64_1,pipeline_1,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll_4,unroll,unroll_4,61.0,0.3676137768495582,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,170.2591,95,41,7,10,18,cyclic_2_1,block_4_1,cyclic_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_8,unroll_16,unroll_16,unroll,unroll_2,19.0,0.9045077940960699,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,283.12539,2494,72,7,22,71,block_64_1,cyclic_128_1,block_16_1,pipeline,pipeline,pipeline,unroll_8,unroll_32,unroll_2,pipeline,pipeline_1,unroll_8,43.0,0.6038701205213783,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,134.00659,190,41,13,35,52,block_4_1,block_4_1,block_8_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_16,unroll_2,unroll,unroll_2,35.25,0.695850349113724,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,147.72084,197,83,68,27,67,cyclic_128_1,cyclic_32_1,block_64_1,pipeline,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll_4,unroll,unroll_4,61.25,0.3636274761772825,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,210.25509,158,48,7,19,32,block_16_1,cyclic_8_1,cyclic_8_1,pipeline_1,pipeline,pipeline,unroll_16,unroll_4,pipeline,unroll_4,pipeline,unroll_2,26.5,0.8030479584551568,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,13046.26322,195,62,49,26,48,block_4_1,block_2_1,cyclic_4_1,unroll,unroll_8,unroll_4,unroll_2,unroll_64,unroll_8,unroll_4,pipeline,unroll,46.25,0.290673903525866,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,145.81456,225,57,68,29,65,cyclic_32_1,cyclic_128_1,block_32_1,unroll,unroll_32,pipeline,unroll_64,unroll_4,pipeline_1,unroll,pipeline_1,unroll,54.75,0.47695300674285657,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,170.2591,101,40,7,10,25,cyclic_2_1,block_32_1,cyclic_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_8,unroll_8,unroll_16,pipeline_1,unroll_2,20.5,0.8838495189034149,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,999.52458,254,84,1,11,67,cyclic_128_1,block_2_1,block_128_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline,unroll_4,40.75,0.6135400093513963,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,1128.52631,156,52,14,30,53,block_4_1,cyclic_4_1,block_2_1,unroll,unroll_64,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,37.25,0.6501455875657558,False
