Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,956.46031,163,47,12,16,25,block_4_1,cyclic_4_1,block_32_1,unroll,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,25.0,0.8253499746698122,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,283.22642,500,47,7,20,44,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline,pipeline,unroll_8,unroll_32,unroll,pipeline,pipeline_1,unroll,29.5,0.7789820931133403,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,145.23856,876,57,68,30,80,cyclic_32_1,cyclic_128_1,block_32_1,unroll,unroll_64,pipeline,unroll_64,unroll_4,unroll_16,unroll,unroll,unroll,58.75,0.41446358163800257,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,976.4764,577,92,13,10,45,cyclic_64_1,cyclic_64_1,cyclic_2_1,unroll,unroll_16,unroll_2,unroll_32,unroll_8,unroll_8,unroll_4,pipeline,unroll_8,40.0,0.6470899273910813,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,1024.14184,271,48,4,11,31,cyclic_16_1,cyclic_2_1,cyclic_8_1,pipeline,unroll_32,unroll_4,unroll_2,unroll_2,unroll_16,unroll_4,pipeline,pipeline_1,23.5,0.843445886373091,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,1115.12016,1020,45,2,50,86,cyclic_8_1,block_4_1,cyclic_4_1,pipeline,pipeline,unroll_32,unroll_2,unroll_64,unroll_4,unroll,pipeline,unroll_8,45.75,0.5837971568281012,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,147.72084,374,83,68,27,66,cyclic_128_1,block_4_1,block_64_1,pipeline_1,pipeline,pipeline,pipeline,unroll_2,pipeline,unroll_4,unroll,unroll_4,61.0,0.37794208640961124,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,201.10367,305,41,14,28,49,block_4_1,block_32_1,block_8_1,unroll,pipeline,pipeline,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_2,33.0,0.7377290316872119,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,170.2591,177,41,7,10,18,cyclic_2_1,block_4_1,cyclic_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_8,unroll_16,unroll_16,unroll,unroll_2,19.0,0.9161436231109639,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,1250.82618,222,44,1,13,24,cyclic_8_1,cyclic_4_1,block_2_1,pipeline_1,unroll_16,unroll_4,unroll_8,unroll_4,unroll_16,unroll_4,pipeline,unroll_8,20.5,0.878557967047164,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,278.12179,372,46,7,21,42,block_16_1,block_16_1,cyclic_128_1,pipeline,pipeline,pipeline,unroll_2,unroll_32,unroll_8,unroll_8,pipeline_1,pipeline,29.0,0.785218149204707,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,134.00659,385,41,13,35,52,block_4_1,block_4_1,block_8_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_16,unroll_2,unroll,unroll_2,35.25,0.7120883921378407,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,1212.49384,508,48,1,10,30,cyclic_16_1,cyclic_2_1,block_128_1,pipeline,unroll_64,unroll_4,unroll_2,unroll_2,unroll_16,unroll_4,pipeline,unroll,22.25,0.8564894671648806,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,146.96676,317,57,68,28,58,cyclic_32_1,cyclic_128_1,block_32_1,unroll,unroll_16,pipeline,unroll_64,unroll_4,unroll_8,unroll,pipeline,unroll,52.75,0.5228012380417011,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,13046.26322,394,62,49,26,48,block_4_1,block_2_1,cyclic_4_1,unroll,unroll_8,unroll_4,unroll_2,unroll_64,unroll_8,unroll_4,pipeline,unroll,46.25,0.42189789153864177,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,1083.53431,233,47,12,18,31,block_4_1,cyclic_4_1,block_32_1,unroll,unroll_32,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,27.0,0.7982513528116045,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,885.00042,494,93,1,5,70,cyclic_128_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_32,unroll_8,unroll_2,pipeline,unroll_8,42.25,0.6237042004551041,False
workload_63.cpp,xczu7ev-ffvc1156-2-e,10.0,170.2591,218,40,7,10,25,cyclic_2_1,block_32_1,cyclic_128_1,pipeline,pipeline,pipeline,unroll_64,unroll_8,unroll_8,unroll_16,pipeline_1,unroll_2,20.5,0.8959597300079084,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,1126.90256,1046,45,2,50,87,cyclic_8_1,block_4_1,cyclic_4_1,pipeline,unroll_4,unroll_32,unroll_2,unroll_64,unroll_4,unroll,pipeline,unroll_8,46.0,0.5810634808730272,False
