Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,104.85775,50,1,1,1,1,unroll_2,unroll,1.0,0.6652176547643466,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,41.94334,51,1,1,1,1,pipeline_1,pipeline,1.0,0.9090369261216512,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,309.32993,51,1,1,1,1,unroll_2,pipeline_1,1.0,0.1739455598642478,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,62.91471,52,1,1,1,1,unroll_4,unroll,1.0,0.8229193321081327,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,20.97183,52,1,1,1,1,pipeline,unroll,1.0,1.0,True
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,306.70849,53,1,1,1,3,unroll_4,pipeline,1.5,0.17698604001589108,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,47.18607,53,1,1,1,1,unroll_8,unroll,1.0,0.8870537907978366,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,305.39777,60,1,1,1,5,unroll_8,pipeline,2.0,0.1776612206830306,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,304.74241,67,1,1,2,9,unroll_16,pipeline_1,3.25,0.1730106166289503,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,304.41473,90,1,1,5,19,unroll_32,pipeline,6.5,0.14489745399486437,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,41.94334,48,1,1,1,1,pipeline_1,pipeline_1,1.0,0.9090369261216512,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,41.94334,47,1,1,1,1,pipeline,pipeline_1,1.0,0.9090369261216512,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,41.94334,48,1,1,1,1,pipeline,pipeline,1.0,0.9090369261216512,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,309.32993,49,1,1,1,1,unroll_2,pipeline,1.0,0.1739455598642478,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,20.97183,48,1,1,1,1,pipeline_1,unroll,1.0,1.0,True
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,36.70031,51,1,1,1,1,unroll_16,unroll,1.0,0.9313241358896951,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,30.63823,64,1,1,1,1,unroll_64,unroll,1.0,0.9574704647767194,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,304.41473,78,1,1,5,19,unroll_32,pipeline_1,6.5,0.14489745399486437,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,306.70849,47,1,1,1,2,unroll_4,pipeline_1,1.25,0.17724345925579682,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,305.39777,51,1,1,1,5,unroll_8,pipeline_1,2.0,0.1776612206830306,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,31.45743,51,1,1,1,1,unroll_32,unroll,1.0,0.9539135202252412,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,304.74241,64,1,1,2,10,unroll_16,pipeline,3.5,0.17145351857301347,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,304.25089,156,1,1,10,37,unroll_64,pipeline_1,12.25,0.1004130659150244,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,304.25089,160,1,1,11,38,unroll_64,pipeline,12.75,0.10000000000000002,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,5.0,191.365125,63,1,1,1,1,unroll_2,pipeline_1,1.0,0.17460402863553295,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,5.0,49.807435,64,1,1,1,1,unroll_4,unroll,1.0,0.742924728189541,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,5.0,30.146635,64,1,1,1,1,unroll_8,unroll,1.0,0.8660710784948407,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,5.0,190.054405,64,1,1,1,3,unroll_4,pipeline,1.5,0.1769741825979157,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,5.0,189.399045,65,1,1,1,5,unroll_8,pipeline,2.0,0.17734686920420448,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,5.0,89.129035,65,1,1,1,1,unroll_2,unroll,1.0,0.5289829300005523,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,5.0,10.485985,65,1,1,1,1,pipeline,unroll,1.0,1.0,True
