Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,183.9105,54,3,1,1,2,cyclic_16_1,cyclic_4_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_4,pipeline,1.75,0.32819793832690985,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,43.99373,57,5,1,1,3,block_8_1,block_8_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,unroll,2.5,0.907479649971048,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,79.32938,67,1,1,16,7,block_128_1,block_2_1,complete_1,unroll_2,pipeline,unroll_4,unroll_2,unroll,6.25,0.6619576835970988,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,171.34154,98,1,1,2,7,block_2_1,cyclic_128_1,complete_1,unroll_8,unroll_8,unroll_8,unroll_32,pipeline,2.75,0.36497154667972864,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,202.65226,102,3,1,8,7,block_8_1,block_2_1,complete_1,unroll_2,unroll_64,unroll_8,unroll_8,unroll,4.75,0.2682918401289982,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,32.44682,55,6,1,1,2,cyclic_32_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,2.5,0.9508141220785848,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,56.04173,123,1,1,5,11,block_4_1,block_64_1,complete_1,pipeline,unroll_32,unroll_16,unroll_32,unroll,4.5,0.7992229144517449,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,32.77389,68,5,1,1,3,cyclic_64_1,block_16_1,complete_1,pipeline,pipeline,unroll_2,unroll_32,pipeline_1,2.5,0.9498756786257573,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,170.8881,138,2,1,3,7,cyclic_128_1,cyclic_16_1,complete_1,unroll_16,unroll_2,unroll_8,unroll_64,pipeline_1,3.25,0.36471194354392633,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,168.59437,85,6,1,3,21,block_16_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_64,pipeline,7.75,0.3373671813302759,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,337.19309,68,5,1,2,5,cyclic_128_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_2,unroll_2,unroll,3.25,0.10000000000000003,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,170.07757,56,3,1,1,6,block_8_1,block_2_1,complete_1,unroll_16,unroll_8,unroll_32,unroll_16,pipeline,2.75,0.36900838373489475,False
