Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,175.7645,52,3,1,1,2,cyclic_16_1,cyclic_4_1,complete_1,unroll_8,unroll_2,unroll_2,unroll_4,pipeline,1.75,0.32911135620609094,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,33.28773,60,5,1,1,3,block_8_1,block_8_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,unroll,2.5,0.918440851522343,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,65.95586,66,1,1,15,6,block_128_1,block_2_1,complete_1,unroll_2,pipeline,unroll_4,unroll_2,unroll,5.75,0.7228157958589109,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,181.33762,99,2,1,7,7,block_8_1,block_2_1,complete_1,unroll_2,unroll_64,unroll_8,unroll_8,unroll,4.25,0.3091270007187332,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,163.02274,102,1,1,2,7,block_2_1,cyclic_128_1,complete_1,unroll_8,unroll_8,unroll_8,unroll_32,pipeline,2.75,0.36678487924601844,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,55.85413,120,1,1,5,11,block_4_1,block_64_1,complete_1,pipeline,unroll_32,unroll_16,unroll_32,unroll,4.5,0.7839411758855377,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,32.27906,60,5,1,1,1,cyclic_32_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,2.0,0.9339048120671182,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,32.44229,66,5,1,1,3,cyclic_64_1,block_16_1,complete_1,pipeline,pipeline,unroll_2,unroll_32,pipeline_1,2.5,0.922144603041514,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,169.39106,129,2,1,3,6,cyclic_128_1,cyclic_16_1,complete_1,unroll_16,unroll_2,unroll_8,unroll_64,pipeline_1,3.0,0.3466384403525303,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,331.70437,68,5,1,2,5,cyclic_128_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_2,unroll_2,unroll,3.25,0.10000000000000003,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,157.92229,87,6,1,3,20,block_16_1,block_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_64,pipeline,7.5,0.36239669519663176,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,159.39973,64,2,1,1,6,block_8_1,block_2_1,complete_1,unroll_16,unroll_8,unroll_32,unroll_16,pipeline,2.5,0.37875727338779464,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,158.27333,104,7,1,4,33,block_16_1,cyclic_16_1,complete_1,unroll_4,unroll_64,unroll_16,unroll_16,pipeline,11.25,0.3369834296145635,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,168.41221,143,6,1,4,37,block_32_1,block_4_1,complete_1,pipeline_1,unroll_64,unroll_32,unroll_4,pipeline_1,12.0,0.30461052005055866,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,43.73253,58,1,1,1,2,cyclic_8_1,cyclic_32_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,unroll,1.25,0.8801736063991173,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,32.09602,93,10,1,5,9,block_32_1,block_32_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_64,unroll,6.25,0.8470641425357642,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,158.06725,288,10,1,5,42,block_32_1,block_64_1,complete_1,unroll_8,unroll_64,pipeline_1,unroll_32,pipeline,14.5,0.3123219842475548,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,168.88837,62,1,1,1,8,cyclic_2_1,block_4_1,complete_1,unroll_2,unroll_16,unroll_32,unroll_2,pipeline_1,2.75,0.348597556690363,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,162.02245,129,5,1,4,37,cyclic_32_1,cyclic_2_1,complete_1,pipeline_1,unroll_64,unroll_64,unroll_4,pipeline_1,11.75,0.3231354830205734,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,158.90562,129,1,1,3,11,block_8_1,cyclic_128_1,complete_1,pipeline_1,unroll_16,pipeline,unroll_64,pipeline,4.0,0.3767806537666578,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,10.8749,418,1,2,6,31,block_64_1,block_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,10.0,0.7901668676248342,False
