Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,120.88834,53,3,1,1,2,cyclic_16_1,cyclic_4_1,complete_1,unroll_32,unroll_8,unroll_2,unroll_4,pipeline,pipeline,1.75,0.44217196870610775,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,162.89893,58,1,1,1,4,block_4_1,cyclic_32_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_64,unroll,pipeline_1,1.75,0.2913137196688532,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,34.6061,59,11,1,1,5,block_32_1,block_4_1,complete_1,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline,unroll,4.5,0.8522129770307507,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,44.55429,80,3,5,4,11,block_4_1,block_8_1,complete_1,unroll_64,unroll_32,unroll_8,unroll_2,unroll,unroll,5.75,0.7848908219870407,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,38.57154,49,7,1,1,2,cyclic_32_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_8,unroll,unroll,2.75,0.8535219550881897,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,21.60997,57,1,1,1,3,cyclic_2_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_64,unroll_64,pipeline,pipeline_1,1.5,0.9670709206802277,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,168.63749,147,1,1,9,59,block_2_1,cyclic_64_1,complete_1,unroll_2,unroll_64,pipeline_1,unroll_16,unroll,pipeline_1,17.5,0.2251131497014276,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,128.76805,51,1,1,1,1,cyclic_4_1,cyclic_2_1,complete_1,unroll_64,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline,1.0,0.4109508084150624,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,17.19685,56,3,1,1,3,cyclic_8_1,cyclic_16_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_16,pipeline,pipeline_1,2.0,0.9772009447563865,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,127.60069,64,11,1,1,7,block_32_1,block_8_1,complete_1,unroll_2,unroll_16,pipeline,unroll_8,pipeline_1,pipeline_1,5.0,0.4070568161301199,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,108.67717,156,5,1,3,18,cyclic_32_1,cyclic_64_1,complete_1,unroll_32,unroll_64,pipeline_1,unroll_8,pipeline,pipeline,6.75,0.4757299598061231,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,162.79557,268,5,1,9,73,block_32_1,cyclic_2_1,complete_1,pipeline,unroll_64,pipeline_1,unroll_2,unroll,pipeline,22.0,0.21388854126666246,False
