Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,61,7,2,2,4,block_2_1,cyclic_64_1,block_16_1,cyclic_8_1,complete_1,unroll_2,pipeline,pipeline,unroll_8,unroll,pipeline_1,3.75,0.9049272032250542,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,70,5,1,1,6,block_4_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_4,unroll,pipeline_1,3.25,0.9218185256885355,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,73,3,3,6,8,cyclic_4_1,cyclic_64_1,cyclic_32_1,block_8_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_8,pipeline,pipeline,5.0,0.8634662543367588,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,79,4,1,5,7,cyclic_4_1,cyclic_64_1,block_4_1,block_8_1,complete_1,unroll_8,pipeline_1,unroll_64,unroll_2,unroll,unroll,4.25,0.8882112764665858,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,84,13,1,2,8,block_32_1,cyclic_2_1,cyclic_64_1,block_16_1,complete_1,unroll_8,unroll_4,pipeline,unroll_32,pipeline,pipeline,6.0,0.8310867764343663,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,96,5,1,6,14,block_64_1,cyclic_128_1,cyclic_128_1,block_16_1,complete_1,pipeline,unroll_2,unroll_8,unroll_2,unroll,pipeline,6.5,0.8151601311450591,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,180,12,1,3,26,block_128_1,block_32_1,cyclic_4_1,block_4_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,pipeline,pipeline,10.5,0.6940612210208227,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,73,11,3,1,4,cyclic_32_1,cyclic_2_1,cyclic_2_1,block_16_1,complete_1,unroll_2,pipeline,unroll_2,unroll_64,unroll,unroll,4.75,0.8716707461273401,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,120,4,1,3,14,cyclic_64_1,cyclic_16_1,cyclic_4_1,block_4_1,complete_1,unroll_64,unroll_16,unroll_16,unroll_64,pipeline_1,pipeline_1,5.5,0.8471888174200721,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,114,11,1,3,16,block_4_1,block_64_1,block_16_1,block_16_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_4,pipeline_1,unroll,7.75,0.7761108753939119,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,1334,3,1,6,17,cyclic_4_1,block_8_1,block_2_1,cyclic_128_1,complete_1,unroll_4,unroll_32,unroll_8,unroll_32,pipeline,pipeline_1,6.75,0.8072625822363692,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,92,2,1,3,9,cyclic_2_1,block_4_1,cyclic_4_1,cyclic_128_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,pipeline,pipeline_1,3.75,0.9049272032250542,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,88,10,1,2,7,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_64_1,complete_1,unroll_64,unroll_16,unroll_2,unroll_8,unroll,unroll,5.0,0.8634662542024514,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,6.23205,1441,3,3,10,67,cyclic_4_1,cyclic_2_1,block_4_1,cyclic_32_1,complete_1,unroll_16,unroll_32,unroll_2,pipeline_1,pipeline,unroll,20.75,0.19467243980433568,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,5.30952,1531,7,6,17,73,cyclic_8_1,block_8_1,cyclic_8_1,block_64_1,complete_1,pipeline,unroll_8,unroll_8,pipeline_1,unroll,pipeline,25.75,0.19360417128873186,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,211,2,13,35,37,block_64_1,block_4_1,cyclic_4_1,block_2_1,complete_1,unroll_32,unroll_16,unroll_64,unroll_8,unroll,unroll,21.75,0.4136532396304605,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33002,1572,10,6,12,69,cyclic_2_1,cyclic_8_1,cyclic_8_1,block_16_1,complete_1,unroll_8,pipeline,pipeline,pipeline_1,pipeline,pipeline_1,24.25,0.20540501988180093,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33002,1854,12,25,28,93,block_4_1,cyclic_32_1,block_4_1,cyclic_128_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,unroll,pipeline_1,39.5,0.11006182909377447,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,78,2,1,2,5,block_2_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_8,pipeline_1,unroll,2.5,0.947484376446864,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,307,13,51,64,71,block_8_1,block_16_1,cyclic_2_1,cyclic_16_1,complete_1,pipeline,unroll_64,unroll_4,unroll_2,unroll,unroll,49.75,0.10126902441858289,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,113,12,1,2,11,cyclic_32_1,block_16_1,block_4_1,cyclic_8_1,complete_1,pipeline,unroll_16,unroll_32,unroll_64,pipeline,pipeline,6.5,0.8151601313045913,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,699,2,1,13,67,cyclic_128_1,block_64_1,block_64_1,cyclic_16_1,complete_1,unroll_16,unroll_32,unroll_32,unroll_64,pipeline,pipeline,20.75,0.434982778473038,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,5.51455,1341,12,3,13,68,block_4_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_32,pipeline,pipeline,pipeline,24.0,0.20020673494714653,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33005,1419,16,25,27,90,cyclic_2_1,block_32_1,cyclic_32_1,block_16_1,complete_1,pipeline,unroll_8,unroll_16,pipeline,pipeline_1,pipeline_1,39.5,0.11006156008941975,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,66,3,1,2,4,cyclic_8_1,block_4_1,block_4_1,cyclic_128_1,complete_1,unroll_8,pipeline,pipeline,unroll_2,pipeline,unroll,2.5,0.9474843755978356,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,634,1,2,8,39,cyclic_4_1,block_128_1,block_32_1,block_32_1,complete_1,unroll_64,pipeline,unroll_64,unroll_32,pipeline,unroll,12.5,0.6377212665948522,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,109,3,1,3,8,cyclic_16_1,cyclic_4_1,cyclic_128_1,block_64_1,complete_1,pipeline,unroll_4,pipeline,unroll_32,pipeline,pipeline,3.75,0.9049272032250542,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,579,1,1,7,72,block_128_1,cyclic_64_1,block_32_1,block_4_1,complete_1,unroll_32,unroll_32,pipeline,unroll_32,pipeline,pipeline_1,20.25,0.4459106416765495,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,735,3,4,4,16,cyclic_16_1,cyclic_2_1,block_64_1,cyclic_64_1,complete_1,unroll_32,unroll_64,unroll_4,unroll_4,unroll,unroll,6.75,0.8072625821464425,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,403,1,1,9,63,cyclic_2_1,cyclic_128_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_64,pipeline,unroll_8,pipeline,unroll,18.5,0.4855394052768085,False
workload_36.cpp,xczu7ev-ffvc1156-2-e,10.0,5.33005,1490,10,25,25,91,cyclic_2_1,cyclic_32_1,block_32_1,cyclic_64_1,complete_1,unroll_32,unroll_4,pipeline,pipeline,unroll,unroll,37.75,0.11637997216944448,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,55,3,1,1,2,block_2_1,cyclic_4_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_16,unroll_8,pipeline_1,unroll,1.75,0.973544867884019,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,66,10,1,3,10,cyclic_4_1,cyclic_128_1,block_16_1,block_16_1,complete_1,pipeline,unroll_2,unroll_8,unroll_4,unroll,pipeline,6.0,0.8310867764343663,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,88,8,1,6,14,block_64_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_64,unroll_8,pipeline,unroll,7.25,0.7915990308404937,False
