Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,67,42,25,10,17,cyclic_2_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_32,pipeline,pipeline_1,pipeline_1,23.5,0.7222824805929173,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,125,52,47,44,46,block_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll,unroll_8,unroll_4,unroll_16,unroll,unroll_8,unroll,47.25,0.4122396442649786,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,67,70,25,10,17,block_4_1,block_8_1,cyclic_4_1,cyclic_2_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_4,pipeline_1,30.5,0.6198990790383794,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,73,28,25,28,28,cyclic_2_1,cyclic_2_1,complete_1,block_8_1,complete_1,unroll_2,pipeline,unroll_2,unroll_8,pipeline_1,unroll,pipeline,27.25,0.6662905929051627,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,103,48,25,70,45,complete_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,unroll,unroll_2,pipeline,47.0,0.4149519632153048,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,81,25,10,17,cyclic_8_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,unroll_2,pipeline,pipeline,unroll_32,pipeline_1,pipeline,pipeline,33.25,0.5821930219161976,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,67,99,25,10,17,block_4_1,block_8_1,cyclic_16_1,cyclic_2_1,complete_1,pipeline,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_4,pipeline_1,37.75,0.5235536319428349,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,70,85,25,14,17,cyclic_8_1,cyclic_8_1,block_4_1,block_8_1,complete_1,pipeline,pipeline,unroll_4,unroll_32,pipeline_1,pipeline,pipeline,35.25,0.5556618861689985,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,111,57,25,70,45,complete_1,cyclic_16_1,block_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,unroll,unroll_2,pipeline,49.25,0.39096336747546745,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,110,38,13,81,35,complete_1,complete_1,block_16_1,complete_1,complete_1,unroll_32,unroll_2,pipeline,unroll_32,unroll,unroll_8,unroll,41.75,0.47462017698978776,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,56,25,10,17,block_4_1,block_2_1,block_4_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_32,pipeline,pipeline_1,pipeline_1,27.0,0.6699412782727321,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,136,57,47,44,46,block_2_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,unroll,unroll_8,unroll_4,unroll_16,unroll,unroll_8,unroll,48.5,0.39885399871687943,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,76,65,25,10,19,block_8_1,block_2_1,block_4_1,cyclic_4_1,complete_1,unroll,pipeline_1,pipeline,unroll_8,pipeline,unroll_4,pipeline,29.75,0.6304288668229622,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06155,77,86,12,25,22,cyclic_16_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,unroll_4,pipeline,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline,36.25,0.5426778219062874,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,72,91,25,10,17,cyclic_4_1,cyclic_2_1,cyclic_16_1,cyclic_16_1,complete_1,unroll_2,pipeline,unroll_2,unroll_8,pipeline_1,unroll,pipeline,35.75,0.5491463981653878,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,96,57,25,70,44,complete_1,cyclic_16_1,cyclic_8_1,complete_1,complete_1,pipeline,pipeline_1,pipeline,unroll_32,pipeline,unroll_2,pipeline,49.0,0.39358184862732837,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,78,62,25,10,18,block_2_1,cyclic_2_1,block_4_1,block_16_1,complete_1,pipeline,pipeline_1,pipeline,unroll_64,unroll,unroll_2,unroll,28.75,0.6446328021433277,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06149,76,61,25,28,29,block_4_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll_2,pipeline,unroll_4,unroll_16,unroll,pipeline,unroll,35.75,0.5491464004298442,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06153,122,74,13,85,51,complete_1,complete_1,block_16_1,complete_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_32,unroll,unroll_8,unroll,55.75,0.32699994418651745,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06152,78,60,25,10,18,cyclic_2_1,block_2_1,block_2_1,block_8_1,complete_1,pipeline_1,pipeline_1,unroll,unroll_32,pipeline,unroll,pipeline_1,28.25,0.6518051473600924,False
