Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,1.57698,187,5,3,6,10,complete_1,unroll_2,unroll,6.0,1.0,True
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,1.9405,114,5,2,5,10,complete_1,unroll_2,pipeline_1,5.5,0.4557870931131255,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2576,123,5,3,7,11,complete_1,pipeline,pipeline_1,6.5,1.0,True
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,2.1949,884,5,3,58,75,complete_1,unroll_32,pipeline,35.25,0.10000000000000002,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,2.04162,223,5,2,15,23,complete_1,unroll_8,pipeline,11.25,0.3447950247763946,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26785,127,5,3,8,11,complete_1,pipeline_1,unroll_2,6.75,0.9862825071336931,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,1.90466,131,5,3,4,9,complete_1,unroll_2,unroll_2,5.25,1.0,True
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,2.08386,112,5,2,5,9,complete_1,unroll_2,pipeline,5.25,0.3899630511737501,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2576,123,5,3,7,11,complete_1,pipeline_1,pipeline,6.5,1.0,True
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26785,127,5,3,8,11,complete_1,pipeline,unroll_2,6.75,0.9862825071336931,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26785,128,5,3,8,11,complete_1,pipeline,unroll,6.75,0.9862825071336931,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,2.0557,144,5,2,8,15,complete_1,unroll_4,pipeline,7.5,0.3896115091685154,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,1.87906,190,5,3,6,11,complete_1,unroll_4,unroll_2,6.25,0.46604244250136884,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,1.98274,651,5,5,20,27,complete_1,unroll_16,unroll_2,14.25,0.3132300027278359,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,1.89698,323,5,4,11,17,complete_1,unroll_8,unroll_2,9.25,0.4132731237927696,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,2.05154,904,5,4,53,78,complete_1,unroll_32,pipeline_1,35.0,0.10094116732855718,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,1.97954,2010,5,5,37,48,complete_1,unroll_32,unroll_2,23.75,0.18169051568425895,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2576,121,5,3,7,11,complete_1,pipeline,pipeline,6.5,1.0,True
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2576,122,5,3,7,11,complete_1,pipeline_1,pipeline_1,6.5,1.0,True
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,1.91234,148,5,2,8,15,complete_1,unroll_4,pipeline_1,7.5,0.4371649038700084,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26785,129,5,3,8,11,complete_1,pipeline_1,unroll,6.75,0.9862825071336931,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,1.56674,342,5,4,10,15,complete_1,unroll_4,unroll,8.5,0.5185013807150285,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,2.17794,414,5,3,30,41,complete_1,unroll_16,pipeline,19.75,0.20221448642331374,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,2.04482,420,5,3,28,42,complete_1,unroll_16,pipeline_1,19.5,0.2259789988711763,False
