Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.05211,70,1,1,1,1,pipeline_1,1.0,1.0,True
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.38925,70,1,1,1,1,unroll_2,1.0,0.14888814749450735,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,0.13581,76,1,1,1,1,unroll_8,1.0,0.6899032813903857,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,0.10701,87,1,1,1,2,unroll_16,1.25,0.7651896431637963,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,0.05211,60,1,1,1,1,pipeline,1.0,1.0,True
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22029,62,1,1,1,1,unroll_4,1.0,0.44308739203806646,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28173,106,1,4,3,5,unroll_32,3.25,0.14476396744525932,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33421,209,1,4,5,6,unroll_64,4.0,0.10000000000000002,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,5.0,0.335425,60,1,1,1,1,unroll_2,1.0,0.11569161344825205,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,5.0,0.026315,61,1,1,1,1,pipeline_1,1.0,1.0,True
workload_10.cpp,xczu7ev-ffvc1156-2-e,5.0,0.103105,72,1,1,1,1,unroll_8,1.0,0.6537259360813442,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,5.0,0.066945,98,1,1,1,2,unroll_16,1.25,0.7958277846683655,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,5.0,0.026315,63,1,1,1,1,pipeline,1.0,1.0,True
workload_13.cpp,xczu7ev-ffvc1156-2-e,5.0,0.180545,64,1,1,1,1,unroll_4,1.0,0.3892723815473955,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,5.0,0.166625,114,1,9,6,9,unroll_32,6.25,0.10613898759372857,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,5.0,0.203185,222,1,8,7,10,unroll_64,6.5,0.10000000000000002,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,3.33,0.01777221,41,1,1,1,1,pipeline,1.0,1.0,True
workload_17.cpp,xczu7ev-ffvc1156-2-e,3.33,0.01777221,42,1,1,1,1,pipeline_1,1.0,1.0,True
workload_18.cpp,xczu7ev-ffvc1156-2-e,3.33,0.35297001,44,1,1,1,1,unroll_2,1.0,0.10372783686091168,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,3.33,0.18503145,44,1,1,1,1,unroll_4,1.0,0.3558023821006553,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,3.33,0.1010621699999999,48,1,1,1,2,unroll_8,1.25,0.6279271214062245,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,3.33,0.0607824899999999,61,1,1,1,2,unroll_16,1.25,0.7919499532461026,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,3.33,0.14421897,75,1,14,10,13,unroll_32,9.5,0.10000000000000002,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,3.33,0.19723257,161,1,7,8,9,unroll_64,6.25,0.14979393710612526,False
workload_24.cpp,xcu200-fsgd2104-2-e,10.0,0.05193,58,1,1,1,1,pipeline_1,1.0,1.0,True
workload_25.cpp,xcu200-fsgd2104-2-e,10.0,0.28685,60,1,1,1,1,unroll_2,1.0,0.10263558981409796,False
workload_26.cpp,xcu200-fsgd2104-2-e,10.0,0.12685,66,1,1,1,1,unroll_8,1.0,0.5389122869400159,False
workload_27.cpp,xcu200-fsgd2104-2-e,10.0,0.10189,83,1,1,1,1,unroll_16,1.0,0.6743313775540776,False
workload_28.cpp,xcu200-fsgd2104-2-e,10.0,0.05193,56,1,1,1,1,pipeline,1.0,1.0,True
workload_29.cpp,xcu200-fsgd2104-2-e,10.0,0.16909,63,1,1,1,1,unroll_4,1.0,0.3511579219195159,False
workload_30.cpp,xcu200-fsgd2104-2-e,10.0,0.22605,99,1,1,1,1,unroll_32,1.0,0.18041834732738415,False
workload_31.cpp,xcu200-fsgd2104-2-e,10.0,0.30029,217,1,1,1,1,unroll_64,1.0,0.10000000000000003,False
workload_32.cpp,xcu200-fsgd2104-2-e,5.0,0.026135,59,1,1,1,1,pipeline_1,1.0,1.0,True
workload_33.cpp,xcu200-fsgd2104-2-e,5.0,0.227905,61,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
workload_34.cpp,xcu200-fsgd2104-2-e,5.0,0.076225,73,1,1,1,1,unroll_8,1.0,0.6086112508644744,False
workload_35.cpp,xcu200-fsgd2104-2-e,5.0,0.057345,89,1,1,1,1,unroll_16,1.0,0.7431076814349374,False
workload_36.cpp,xcu200-fsgd2104-2-e,5.0,0.026135,62,1,1,1,1,pipeline,1.0,1.0,True
workload_37.cpp,xcu200-fsgd2104-2-e,5.0,0.126785,64,1,1,1,1,unroll_4,1.0,0.32604944633214944,False
workload_38.cpp,xcu200-fsgd2104-2-e,5.0,0.171745,104,1,1,1,1,unroll_32,1.0,0.16972419855201626,False
workload_39.cpp,xcu200-fsgd2104-2-e,5.0,0.175985,216,1,1,1,1,unroll_64,1.0,0.15959347375523197,False
workload_40.cpp,xcu200-fsgd2104-2-e,3.33,0.01744587,60,1,1,1,1,pipeline_1,1.0,1.0,True
workload_41.cpp,xcu200-fsgd2104-2-e,3.33,0.18076905,60,1,1,1,1,unroll_2,1.0,0.10000000000000003,False
workload_42.cpp,xcu200-fsgd2104-2-e,3.33,0.05801193,69,1,1,1,1,unroll_8,1.0,0.6084406181901483,False
workload_43.cpp,xcu200-fsgd2104-2-e,3.33,0.03925737,93,1,1,1,1,unroll_16,1.0,0.7756650101342327,False
workload_44.cpp,xcu200-fsgd2104-2-e,3.33,0.01744587,59,1,1,1,1,pipeline,1.0,1.0,True
workload_45.cpp,xcu200-fsgd2104-2-e,3.33,0.09893097,63,1,1,1,1,unroll_4,1.0,0.32597360958775223,False
workload_46.cpp,xcu200-fsgd2104-2-e,3.33,0.11161161,110,1,1,1,1,unroll_32,1.0,0.2613706981748139,False
workload_47.cpp,xcu200-fsgd2104-2-e,3.33,0.12466521,227,1,1,1,1,unroll_64,1.0,0.20620183917873303,False
