Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.64536,71,6,1,2,5,cyclic_16_1,cyclic_128_1,cyclic_4_1,unroll_2,3.5,0.6031269490261704,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,74,44,1,3,5,cyclic_32_1,cyclic_128_1,block_8_1,pipeline,13.25,0.7479987343589487,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,80,10,1,4,6,block_2_1,block_128_1,cyclic_64_1,pipeline,5.25,0.9571965451104949,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16888,108,5,1,4,7,block_2_1,block_8_1,cyclic_128_1,unroll_8,4.25,0.14198868172520523,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,0.40216,116,13,3,3,13,block_32_1,block_4_1,block_64_1,unroll_8,8.0,0.7657226575383748,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,75,84,1,1,4,cyclic_64_1,block_2_1,cyclic_4_1,pipeline_1,22.5,0.5608896823739095,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23644,76,16,1,3,4,cyclic_2_1,block_32_1,block_128_1,pipeline_1,6.0,0.9383848088169403,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27032,100,15,1,2,7,cyclic_2_1,block_32_1,cyclic_2_1,unroll_16,6.25,0.9120324026864615,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00632,81,14,1,1,4,cyclic_32_1,block_16_1,block_32_1,unroll_4,5.0,0.23048202710583388,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,0.26744,139,8,28,13,23,cyclic_2_1,block_8_1,cyclic_4_1,unroll_32,18.0,0.652516834578795,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2924,207,17,39,20,36,block_4_1,block_32_1,cyclic_8_1,unroll_32,28.0,0.45970165755245507,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99352,87,8,1,1,4,cyclic_32_1,block_4_1,block_4_1,unroll_8,3.5,0.240310337447509,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28728,182,11,31,19,33,block_2_1,block_8_1,cyclic_32_1,unroll_32,23.5,0.5402067160592312,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,63,24,1,1,2,cyclic_16_1,cyclic_8_1,cyclic_2_1,pipeline,7.0,0.8904599657867164,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27756,68,43,2,1,4,block_32_1,cyclic_4_1,cyclic_2_1,pipeline,12.5,0.7686789187429623,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,68,25,1,2,4,cyclic_16_1,block_64_1,block_16_1,pipeline_1,8.0,0.8609026904559511,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,0.49688,90,23,1,1,9,block_64_1,cyclic_2_1,block_2_1,unroll_4,8.5,0.6876226237156896,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29728,134,7,6,13,13,block_4_1,cyclic_16_1,block_64_1,unroll_16,9.75,0.8168760775632735,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29768,409,45,51,25,61,cyclic_128_1,cyclic_16_1,cyclic_64_1,unroll_64,45.5,0.22466126124104766,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0908,105,28,1,1,6,cyclic_128_1,block_8_1,cyclic_32_1,unroll_2,9.0,0.17510908747027987,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30722,311,13,39,47,46,block_32_1,cyclic_4_1,block_2_1,unroll_32,36.25,0.33238923510118146,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45592,75,19,1,1,4,block_4_1,block_16_1,block_32_1,unroll_4,6.25,0.7489355680305411,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00888,68,7,1,1,3,cyclic_4_1,cyclic_16_1,cyclic_64_1,unroll_2,3.0,0.229523077979712,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00888,67,4,1,1,3,cyclic_8_1,cyclic_2_1,block_64_1,unroll_2,2.25,0.22955518620676607,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33912,209,9,40,21,37,block_8_1,cyclic_32_1,cyclic_64_1,unroll_32,26.75,0.46965906327716145,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,0.91672,62,5,1,1,2,cyclic_4_1,cyclic_4_1,cyclic_2_1,unroll_2,2.25,0.30158877575747667,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,1.09442,470,12,10,36,29,block_32_1,cyclic_64_1,block_4_1,unroll_32,21.75,0.14898684844329563,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32712,465,6,89,42,74,block_8_1,block_4_1,block_2_1,unroll_64,52.75,0.1613907602841355,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,1.078,85,17,1,1,5,cyclic_64_1,cyclic_32_1,block_2_1,unroll_4,6.0,0.184766957795289,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33336,224,15,39,19,40,block_8_1,block_32_1,block_2_1,unroll_32,28.25,0.4467678623162574,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0908,82,12,1,1,5,cyclic_64_1,block_4_1,cyclic_64_1,unroll_2,4.75,0.1783861668052788,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,76,84,1,2,5,cyclic_64_1,cyclic_64_1,cyclic_4_1,pipeline,23.0,0.5514218889905416,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,0.92248,117,7,1,1,4,cyclic_2_1,block_2_1,block_16_1,unroll_16,3.25,0.29649076135313596,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0908,81,14,1,1,5,cyclic_64_1,cyclic_16_1,cyclic_64_1,unroll_2,5.25,0.1781622777240198,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,0.91224,111,9,1,1,4,cyclic_2_1,cyclic_32_1,cyclic_2_1,unroll_16,3.75,0.3051284044191016,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2878,86,85,2,3,7,block_64_1,cyclic_8_1,cyclic_128_1,pipeline_1,24.25,0.5262971711067338,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,64,26,1,1,3,cyclic_16_1,cyclic_8_1,block_16_1,pipeline_1,7.75,0.8659578093221815,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2262,60,11,1,1,2,cyclic_2_1,cyclic_4_1,block_2_1,pipeline,3.75,1.0,True
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,0.71192,66,15,1,1,3,block_8_1,block_32_1,block_2_1,unroll_2,5.0,0.5135996000070873,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,1.23416,75,14,1,2,5,block_32_1,cyclic_16_1,cyclic_64_1,unroll_2,5.5,0.11991271421714339,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,1.0908,85,12,1,2,6,cyclic_64_1,cyclic_64_1,cyclic_64_1,unroll_2,5.25,0.1781622777240198,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2908,120,15,6,5,11,block_4_1,block_32_1,cyclic_2_1,unroll_16,9.25,0.8323886226539343,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45592,77,25,1,1,5,block_4_1,block_32_1,block_32_1,unroll_4,8.0,0.7249873909074253,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,68,17,1,2,4,cyclic_8_1,block_64_1,block_32_1,pipeline_1,6.0,0.8984148783118253,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29728,161,7,6,21,20,block_4_1,cyclic_16_1,block_128_1,unroll_16,13.5,0.7379657497192517,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00376,90,8,1,1,5,cyclic_32_1,block_4_1,block_8_1,unroll_8,3.75,0.23292080567389958,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,1.00632,80,14,1,1,4,cyclic_32_1,block_16_1,block_32_1,unroll_4,5.0,0.23048202710583388,False
workload_49.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28764,68,12,1,2,3,cyclic_8_1,cyclic_2_1,block_64_1,pipeline,4.5,0.920994960934497,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,0.99864,62,6,1,1,2,cyclic_16_1,cyclic_8_1,cyclic_2_1,unroll_2,2.5,0.2367819799951437,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27768,142,11,28,13,24,cyclic_2_1,block_16_1,cyclic_8_1,unroll_32,19.0,0.6297007388710084,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,1.08568,153,22,1,2,10,cyclic_128_1,block_2_1,cyclic_64_1,unroll_8,8.75,0.17809591997442137,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,1.2316,79,7,1,2,5,block_8_1,cyclic_16_1,cyclic_64_1,unroll_4,3.75,0.12088975551377312,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,0.97336,151,4,1,2,6,cyclic_4_1,cyclic_64_1,block_2_1,unroll_32,3.25,0.25534548026382564,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,1.08824,118,28,1,1,7,cyclic_128_1,block_4_1,cyclic_32_1,unroll_4,9.25,0.17616433006736848,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45848,69,12,1,1,4,cyclic_16_1,cyclic_32_1,block_2_1,unroll_4,4.5,0.7690876420675884,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30008,137,8,21,12,20,cyclic_16_1,cyclic_128_1,cyclic_4_1,unroll_32,15.25,0.6998906106678519,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2774,64,24,1,1,2,cyclic_16_1,cyclic_8_1,block_4_1,pipeline_1,7.0,0.8904599657867164,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27756,67,44,2,1,4,block_32_1,cyclic_8_1,cyclic_2_1,pipeline_1,12.75,0.7631168432626242,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2366,66,17,1,1,3,block_2_1,block_8_1,cyclic_32_1,pipeline,5.5,0.9509396306777913,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30594,522,23,41,80,68,block_64_1,cyclic_2_1,block_2_1,unroll_32,53.0,0.16078678876074923,False
