Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,1.25464,74,5,1,2,4,block_2_1,block_8_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,3.0,0.16276714540418402,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27763,80,85,2,2,5,block_64_1,block_4_1,block_4_1,complete_1,complete_1,complete_1,pipeline,23.5,0.5619775872649073,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,1.25464,84,4,1,4,7,block_2_1,block_128_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_2,4.0,0.16263466883474842,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,0.47512,148,37,8,5,21,block_64_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,unroll_8,17.75,0.5932801322972913,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,1.30328,157,45,2,2,20,block_128_1,block_64_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_4,17.25,0.1319193607371893,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,1.04088,82,7,1,2,4,cyclic_4_1,cyclic_16_1,cyclic_64_1,complete_1,complete_1,complete_1,unroll_8,3.5,0.296018884493939,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,1.12728,114,4,1,4,8,cyclic_16_1,cyclic_128_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_16,4.25,0.2329801657663652,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.4252,130,17,16,9,18,block_8_1,block_8_1,block_32_1,complete_1,complete_1,complete_1,unroll_16,15.0,0.6641656841977528,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,81,10,1,4,5,cyclic_2_1,block_128_1,block_64_1,complete_1,complete_1,complete_1,pipeline,5.0,0.9657232743282779,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,1.16248,104,25,1,1,6,cyclic_128_1,block_4_1,cyclic_16_1,complete_1,complete_1,complete_1,unroll_2,8.25,0.20759849749839426,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23651,71,17,1,2,3,cyclic_4_1,cyclic_32_1,cyclic_64_1,complete_1,complete_1,complete_1,pipeline_1,5.75,0.9478011581455469,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,77,22,2,3,6,block_16_1,cyclic_64_1,block_64_1,complete_1,complete_1,complete_1,pipeline,8.25,0.8672265581884872,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,1.15864,166,22,1,3,11,cyclic_128_1,block_2_1,cyclic_128_1,complete_1,complete_1,complete_1,unroll_8,9.25,0.20846794188418305,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,1.12152,81,17,1,1,5,cyclic_64_1,block_16_1,block_16_1,complete_1,complete_1,complete_1,unroll_2,6.0,0.23554572429954426,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23667,71,19,2,1,3,block_4_1,block_32_1,block_16_1,complete_1,complete_1,complete_1,pipeline_1,6.25,0.9356819325716346,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,1.11128,70,8,1,1,3,cyclic_32_1,cyclic_8_1,cyclic_2_1,complete_1,complete_1,complete_1,unroll_2,3.25,0.24402504696983085,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,1.11896,81,7,1,2,5,cyclic_16_1,block_16_1,block_64_1,complete_1,complete_1,complete_1,unroll_4,3.75,0.2386929971921458,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,0.31368,216,19,43,28,39,block_4_1,block_16_1,block_32_1,complete_1,complete_1,complete_1,unroll_32,32.25,0.4125835812293962,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,0.358,111,8,11,8,14,block_2_1,block_8_1,cyclic_4_1,complete_1,complete_1,complete_1,unroll_16,10.25,0.7859250525546246,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28787,77,50,2,1,4,block_32_1,block_32_1,cyclic_16_1,complete_1,complete_1,complete_1,pipeline_1,14.25,0.7411101822840989,False
