Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35704,1065,30,20,6,61,block_64_1,block_32_1,block_16_1,cyclic_8_1,complete_1,block_2_1,unroll_4,pipeline,29.25,0.41296752495987776,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29595,1553,5,1,29,46,block_2_1,block_8_1,cyclic_64_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll,pipeline,20.25,0.6457569045458615,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,0.29656,1857,4,1,33,54,block_2_1,block_128_1,cyclic_64_1,complete_1,cyclic_2_1,block_8_1,unroll,pipeline,23.0,0.5795926822379387,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35688,413,10,38,7,41,block_8_1,block_8_1,block_32_1,complete_1,cyclic_8_1,cyclic_4_1,unroll_8,pipeline_1,24.0,0.5168469472049823,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33392,223,7,1,9,23,cyclic_16_1,cyclic_128_1,cyclic_128_1,block_4_1,block_8_1,block_8_1,unroll_8,pipeline_1,10.0,0.7684438362593239,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22894,201,22,8,16,23,cyclic_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline,unroll_4,17.25,0.7663079940967078,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,0.22749,110,30,14,9,14,cyclic_4_1,cyclic_32_1,cyclic_64_1,complete_1,block_4_1,block_2_1,pipeline_1,unroll_8,16.75,0.7817869834236174,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.23162,317,37,8,13,23,block_4_1,block_32_1,block_16_1,cyclic_8_1,block_8_1,cyclic_4_1,pipeline_1,unroll_8,20.25,0.6780048678596023,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28094,563,78,10,23,33,block_16_1,cyclic_64_1,block_64_1,complete_1,cyclic_2_1,block_4_1,pipeline,unroll_2,36.0,0.3120336689466989,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28664,118,7,1,4,10,cyclic_4_1,cyclic_16_1,cyclic_64_1,block_4_1,complete_1,block_4_1,unroll_4,pipeline_1,5.5,0.9176927047532119,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33512,166,24,1,6,22,cyclic_128_1,block_2_1,cyclic_128_1,cyclic_2_1,complete_1,cyclic_2_1,unroll_4,pipeline_1,13.25,0.7216927363831143,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33943,1204,17,1,17,33,cyclic_64_1,block_16_1,block_16_1,complete_1,cyclic_2_1,block_8_1,unroll,pipeline,17.0,0.6670023541720359,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,0.55224,108,8,1,2,9,cyclic_16_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_2,unroll_4,5.0,0.5606448820738649,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,0.2964,352,6,1,29,48,block_2_1,block_8_1,cyclic_4_1,block_8_1,complete_1,cyclic_4_1,unroll_8,pipeline_1,21.0,0.6275622251775447,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,0.56579,3373,26,3,12,53,cyclic_128_1,block_4_1,cyclic_16_1,block_2_1,block_8_1,complete_1,unroll,unroll_4,23.5,0.3375345902576794,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,0.27872,540,4,1,10,35,cyclic_4_1,cyclic_64_1,block_2_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_32,pipeline,12.5,0.8100059601742395,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32727,1231,13,1,18,43,cyclic_32_1,cyclic_8_1,cyclic_2_1,complete_1,cyclic_8_1,cyclic_8_1,unroll,pipeline_1,18.75,0.6496789978423508,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,1.05888,503,9,31,5,41,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,21.5,0.10355991058089177,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28273,703,25,3,7,13,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_4_1,block_2_1,complete_1,pipeline_1,unroll_2,12.0,0.8117020230311714,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,0.76383,1940,4,1,5,23,block_4_1,cyclic_2_1,block_64_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll,unroll_2,8.25,0.2945586432682476,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,0.21792,98,36,10,7,10,cyclic_2_1,cyclic_32_1,cyclic_4_1,cyclic_8_1,block_4_1,cyclic_8_1,pipeline_1,unroll_2,15.75,0.8147631939845033,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35596,350,6,8,7,22,cyclic_2_1,cyclic_8_1,block_4_1,block_4_1,block_2_1,block_8_1,unroll_16,unroll_8,10.75,0.7247977491456952,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,0.73436,260,13,1,3,21,cyclic_32_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_16,unroll_2,9.5,0.31893941681023696,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,1.08124,1275,5,1,8,66,cyclic_8_1,cyclic_8_1,block_64_1,complete_1,block_8_1,cyclic_8_1,unroll_32,unroll_4,20.0,0.10219109263580932,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10.0,0.30084,746,4,1,43,92,block_2_1,cyclic_4_1,block_128_1,cyclic_8_1,block_4_1,block_4_1,unroll_16,pipeline,35.0,0.32583397833579597,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,0.28456,528,5,72,44,71,block_2_1,block_4_1,cyclic_128_1,block_4_1,cyclic_4_1,block_2_1,unroll_4,unroll,48.0,0.1559358968736773,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,0.33512,163,8,1,3,11,cyclic_16_1,cyclic_2_1,cyclic_8_1,block_4_1,block_2_1,block_2_1,unroll_8,pipeline_1,5.75,0.8341063001463814,False
workload_34.cpp,xczu7ev-ffvc1156-2-e,10.0,0.68847,3108,5,3,4,28,block_4_1,block_64_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,unroll,unroll_4,10.0,0.36409584796099026,False
