Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06803,1310,54,1,18,38,cyclic_64_1,block_128_1,cyclic_8_1,cyclic_16_1,block_16_1,block_16_1,block_8_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,block_64_1,complete_1,cyclic_2_1,block_8_1,unroll,unroll,pipeline,27.75,0.527726342350495,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.12197,1609,33,1,31,52,block_2_1,cyclic_8_1,cyclic_32_1,block_8_1,block_8_1,cyclic_64_1,cyclic_4_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll,unroll,pipeline,29.25,0.46788043076169417,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,0.00015,3229,68,17,57,93,cyclic_2_1,block_4_1,block_32_1,block_16_1,block_128_1,block_64_1,block_2_1,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_64_1,block_64_1,cyclic_2_1,cyclic_4_1,block_8_1,pipeline,unroll_2,unroll_4,58.75,0.10042727552052687,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,0.45921,300,50,1,4,23,cyclic_32_1,cyclic_32_1,block_64_1,block_2_1,cyclic_2_1,cyclic_8_1,cyclic_8_1,cyclic_64_1,block_32_1,block_4_1,cyclic_4_1,block_128_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_16,unroll,unroll_2,19.5,0.4562577587841061,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08057,356,35,1,8,27,cyclic_2_1,cyclic_64_1,cyclic_64_1,cyclic_128_1,cyclic_64_1,cyclic_32_1,block_32_1,block_64_1,block_2_1,block_4_1,block_32_1,cyclic_128_1,block_8_1,cyclic_4_1,cyclic_4_1,unroll_16,unroll,pipeline,17.75,0.7775015923607144,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,0.00013,262,43,6,15,22,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,cyclic_64_1,cyclic_128_1,block_4_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_2,pipeline,21.5,0.7242252435933244,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08317,392,35,1,20,38,cyclic_2_1,block_64_1,block_8_1,cyclic_64_1,block_128_1,block_16_1,block_16_1,block_2_1,block_32_1,block_32_1,block_4_1,cyclic_4_1,cyclic_8_1,block_8_1,block_8_1,unroll_8,unroll,pipeline,23.5,0.6348871830979885,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10.0,0.07905,264,31,6,14,22,block_4_1,cyclic_128_1,cyclic_128_1,block_16_1,cyclic_64_1,cyclic_2_1,block_64_1,block_4_1,block_64_1,cyclic_64_1,cyclic_32_1,block_8_1,block_2_1,block_2_1,block_2_1,pipeline_1,unroll,pipeline_1,18.25,0.7699569236440341,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,0.11227,1377,45,2,45,52,block_16_1,cyclic_4_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_8_1,cyclic_16_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,block_4_1,complete_1,complete_1,cyclic_8_1,unroll,unroll,pipeline_1,36.0,0.327799082097867,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,0.06803,1331,61,1,18,40,cyclic_128_1,block_2_1,cyclic_8_1,cyclic_16_1,block_16_1,block_16_1,block_8_1,block_8_1,block_2_1,cyclic_8_1,block_16_1,block_64_1,complete_1,cyclic_2_1,block_8_1,unroll,unroll,pipeline,30.0,0.47055132611738304,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08317,388,35,1,20,38,cyclic_2_1,block_64_1,block_8_1,block_2_1,block_128_1,block_16_1,block_16_1,block_2_1,block_16_1,cyclic_32_1,block_4_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,unroll_8,unroll,pipeline,23.5,0.6348871830979885,False
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08057,357,35,1,8,28,cyclic_2_1,cyclic_128_1,cyclic_64_1,cyclic_128_1,cyclic_64_1,cyclic_32_1,cyclic_4_1,block_64_1,cyclic_2_1,block_4_1,block_32_1,cyclic_128_1,block_4_1,cyclic_4_1,block_8_1,unroll_16,unroll,pipeline,18.0,0.7729379327068171,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,0.13602,261,33,1,19,33,block_2_1,cyclic_8_1,cyclic_32_1,block_16_1,block_8_1,cyclic_64_1,cyclic_4_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,complete_1,block_2_1,unroll_4,unroll,pipeline,21.5,0.6367014542626706,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,0.00015,3082,57,13,32,59,block_32_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,cyclic_64_1,block_64_1,block_4_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,block_128_1,cyclic_4_1,cyclic_8_1,complete_1,cyclic_8_1,pipeline_1,unroll_2,pipeline,40.25,0.2624281236784062,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,0.0836,259,32,6,13,21,block_4_1,cyclic_4_1,block_32_1,block_32_1,block_4_1,cyclic_2_1,cyclic_64_1,block_4_1,block_64_1,cyclic_32_1,cyclic_32_1,block_8_1,cyclic_4_1,block_2_1,block_2_1,pipeline_1,unroll,pipeline_1,18.0,0.7692110199005512,False
workload_77.cpp,xczu7ev-ffvc1156-2-e,10.0,0.0658,156,48,1,3,13,cyclic_8_1,block_128_1,cyclic_8_1,cyclic_16_1,block_16_1,block_16_1,block_8_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,block_64_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_4,unroll,pipeline,16.25,0.8223755329793804,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08057,362,35,1,8,29,cyclic_2_1,cyclic_64_1,cyclic_64_1,block_2_1,cyclic_64_1,cyclic_32_1,block_32_1,block_64_1,block_32_1,block_4_1,block_32_1,cyclic_128_1,block_8_1,cyclic_8_1,cyclic_4_1,unroll_16,unroll,pipeline,18.25,0.7681388095945832,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,0.12951,717,50,62,12,45,block_4_1,cyclic_4_1,block_32_1,block_32_1,block_4_1,cyclic_2_1,cyclic_64_1,block_4_1,cyclic_2_1,block_8_1,cyclic_32_1,block_16_1,block_4_1,cyclic_4_1,block_2_1,unroll_16,unroll,pipeline_1,42.25,0.22064686414430812,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,0.08381,363,40,21,8,38,block_16_1,cyclic_8_1,cyclic_128_1,block_16_1,cyclic_32_1,cyclic_64_1,cyclic_4_1,block_128_1,cyclic_64_1,block_8_1,block_8_1,block_32_1,cyclic_8_1,complete_1,cyclic_8_1,unroll_4,unroll,pipeline,26.75,0.5477291445794792,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,0.00013,735,46,12,51,79,block_4_1,block_4_1,block_2_1,cyclic_4_1,block_64_1,block_64_1,cyclic_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,block_8_1,pipeline,unroll_2,unroll_4,47.0,0.16944912641082183,False
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,0.00013,470,66,34,33,60,block_4_1,block_16_1,block_4_1,cyclic_128_1,block_64_1,cyclic_16_1,block_8_1,block_2_1,block_4_1,block_8_1,block_4_1,block_8_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_2,unroll_2,pipeline_1,48.25,0.15650022131150468,False
