Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,170,1,1,2,7,complete_1,unroll_4,pipeline,unroll,pipeline,2.75,0.9445112019326646,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,222,1,1,7,15,cyclic_2_1,unroll_2,unroll_8,pipeline_1,pipeline,6.0,0.5973631695687844,False
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,126,1,1,1,3,cyclic_4_1,unroll_2,pipeline,unroll,pipeline_1,1.5,1.0,True
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,244,1,1,9,17,block_2_1,unroll_2,unroll_8,pipeline_1,pipeline,7.0,0.518760075522427,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,921,1,1,38,76,block_4_1,unroll_2,unroll_32,pipeline_1,pipeline,29.0,0.15798981414519894,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12901,305,1,1,7,18,cyclic_8_1,unroll_8,unroll_2,pipeline,pipeline,6.75,0.5856727788084076,False
workload_15.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34339,368,1,1,12,27,complete_1,unroll_16,unroll_2,pipeline_1,unroll,10.25,0.524672172976508,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,581,1,1,18,51,cyclic_4_1,unroll_32,pipeline,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12901,343,1,1,13,28,block_8_1,unroll_8,unroll_4,pipeline,pipeline,10.75,0.5077932148329863,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,202,1,1,3,9,cyclic_8_1,unroll_2,unroll_4,pipeline,pipeline,3.5,0.6254618143218974,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,125.34373,634,1,1,25,53,complete_1,unroll_8,unroll_8,pipeline,pipeline,20.0,0.31206910544473826,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,571,1,1,21,51,cyclic_8_1,unroll_32,pipeline_1,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,cyclic_4_1,unroll_2,pipeline_1,pipeline,pipeline_1,1.5,0.9999754166395415,False
workload_35.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10435,2106,1,1,34,80,block_2_1,unroll_16,unroll_4,unroll,pipeline,29.0,0.10462896958023296,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41125,287,1,1,10,19,block_4_1,unroll_8,unroll_2,pipeline,pipeline,7.75,0.508291138916398,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41125,748,1,1,37,65,block_2_1,unroll_8,unroll_8,pipeline,pipeline,26.0,0.19367905661851686,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,944,1,1,26,66,cyclic_8_1,unroll_2,unroll_32,pipeline_1,unroll,23.5,0.24584155450932688,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,911,1,1,38,76,block_4_1,unroll_2,unroll_32,pipeline,pipeline_1,29.0,0.15798981414519894,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,130,1,1,1,3,cyclic_2_1,unroll_2,pipeline_1,pipeline,pipeline_1,1.5,0.9999754166395415,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10435,2108,1,1,34,80,block_2_1,unroll_16,unroll_4,unroll,pipeline_1,29.0,0.10462896958023296,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,559,1,1,21,51,cyclic_4_1,unroll_32,pipeline,unroll,pipeline_1,18.5,0.3966130857907001,False
workload_59.cpp,xczu7ev-ffvc1156-2-e,10.0,281.31941,459,1,1,8,25,cyclic_8_1,unroll_8,unroll_2,unroll,pipeline,8.75,0.2157553764220284,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,159,1,1,2,6,block_2_1,unroll_4,pipeline_1,pipeline,pipeline,2.5,0.9554677267294898,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12867,367,1,1,13,29,cyclic_2_1,unroll_16,unroll_2,pipeline_1,pipeline,11.0,0.5023956267628619,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10435,2526,1,1,34,88,cyclic_4_1,unroll_16,unroll_4,unroll,pipeline_1,31.0,0.10103686023770844,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41193,396,1,1,19,33,block_2_1,unroll_4,unroll_8,pipeline,pipeline,13.5,0.4077218164857318,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12901,220,1,1,7,14,block_8_1,unroll_8,unroll_2,pipeline,pipeline,5.75,0.6009747868541243,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31269,330,1,1,9,25,complete_1,unroll_16,pipeline,pipeline,unroll,9.0,0.6935484334870431,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,129,1,1,1,3,block_2_1,unroll_2,pipeline,unroll,pipeline_1,1.5,1.0,True
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,1042,1,1,26,71,cyclic_8_1,unroll_2,unroll_32,pipeline_1,pipeline,24.75,0.22557928606039715,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,219,1,1,4,13,block_2_1,unroll_8,pipeline_1,pipeline,pipeline,4.75,0.8594011876770289,False
workload_94.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline,1.5,0.9999754166395415,False
workload_97.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,complete_1,unroll_2,pipeline,pipeline_1,pipeline,1.5,0.9999754166395415,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,591,1,1,18,51,cyclic_2_1,unroll_32,pipeline_1,pipeline_1,pipeline,17.75,0.41634797901612175,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,281.31941,986,1,1,17,48,cyclic_8_1,unroll_8,unroll_4,unroll,pipeline,16.75,0.1685024407103357,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,284.10469,408,1,1,8,24,cyclic_4_1,unroll_8,unroll_2,unroll,pipeline,8.5,0.21256175427246765,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,129,1,1,1,3,cyclic_4_1,unroll_2,pipeline,pipeline,pipeline_1,1.5,0.9999754166395415,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,594,1,1,18,51,cyclic_4_1,unroll_32,pipeline_1,pipeline_1,pipeline_1,17.75,0.41634797901612175,False
workload_107.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,243,1,1,9,17,block_2_1,unroll_2,unroll_8,pipeline,pipeline_1,7.0,0.518760075522427,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,127,1,1,1,3,cyclic_8_1,unroll_2,pipeline,unroll,pipeline_1,1.5,1.0,True
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,561,1,1,21,51,cyclic_8_1,unroll_32,pipeline,unroll,pipeline,18.5,0.3966130857907001,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31235,590,1,1,18,50,cyclic_4_1,unroll_32,pipeline,pipeline_1,unroll,17.5,0.4230675099417016,False
workload_115.cpp,xczu7ev-ffvc1156-2-e,10.0,281.32145,2726,1,1,29,86,cyclic_8_1,unroll_2,unroll_32,unroll,pipeline_1,29.25,0.10462715265356126,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,150.41329,145,1,1,2,5,block_4_1,unroll_2,unroll_2,pipeline,pipeline,2.25,0.5574356062463351,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,125,1,1,1,3,cyclic_8_1,unroll_2,pipeline,pipeline_1,pipeline,1.5,0.9999754166395415,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,125,1,1,1,3,block_4_1,unroll_2,pipeline,unroll,pipeline_1,1.5,1.0,True
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31201,126,1,1,1,3,cyclic_2_1,unroll_2,pipeline_1,unroll,pipeline_1,1.5,1.0,True
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31337,215,1,1,4,13,cyclic_4_1,unroll_8,pipeline_1,pipeline,pipeline_1,4.75,0.8594011876770289,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,173,1,1,3,8,cyclic_4_1,unroll_2,unroll_4,pipeline_1,pipeline,3.25,0.6271832647923786,False
workload_125.cpp,xczu7ev-ffvc1156-2-e,10.0,128.13105,136,1,1,2,4,cyclic_4_1,unroll_2,unroll_2,pipeline,pipeline_1,2.0,0.6324207763447052,False
workload_126.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12969,215,1,1,7,14,block_8_1,unroll_4,unroll_4,pipeline,pipeline,5.75,0.6009727055118521,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31473,155,1,1,2,6,block_2_1,unroll_4,pipeline,pipeline,pipeline,2.5,0.9554677267294898,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,128.12901,612,1,1,26,55,block_8_1,unroll_8,unroll_8,pipeline,pipeline,20.75,0.2949825715669713,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,36.31745,128,1,1,1,3,cyclic_4_1,unroll_2,pipeline,pipeline,unroll,1.5,0.9999754166395415,False
