Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,276,13,1,1,14,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll_32,pipeline,pipeline,unroll,7.25,0.9252154173067282,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,157.02854,1235,15,1,2,25,cyclic_8_1,block_32_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,unroll_16,pipeline,unroll,pipeline_1,10.75,0.5005239787495431,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,92.0816,2661,16,1,6,99,cyclic_64_1,block_8_1,cyclic_8_1,unroll_16,unroll_4,unroll_16,unroll,unroll_2,unroll_16,unroll_32,pipeline,unroll,30.5,0.2760336167172572,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,49.3469,228,20,1,2,12,cyclic_8_1,block_32_1,cyclic_8_1,unroll_4,unroll_4,unroll_2,unroll,unroll_2,unroll_16,unroll_2,unroll,unroll,8.75,0.8205622539602488,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,108.53045,1341,12,1,8,54,cyclic_2_1,block_4_1,cyclic_8_1,unroll_4,unroll_16,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline_1,unroll,18.75,0.5013557092202352,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,141.03534,466,20,1,2,23,cyclic_8_1,block_32_1,cyclic_2_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,unroll_16,unroll_16,unroll,pipeline_1,11.5,0.5329189029402936,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,6.25287,275,91,1,3,14,cyclic_4_1,block_16_1,block_4_1,unroll_4,unroll,unroll_2,unroll,pipeline,pipeline_1,pipeline_1,pipeline_1,unroll,27.25,0.3974967675205151,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,213.26409,2240,16,1,6,53,cyclic_64_1,cyclic_4_1,block_4_1,unroll_2,pipeline_1,unroll_4,unroll,unroll_8,unroll_16,pipeline,unroll,pipeline_1,19.0,0.30975082511517416,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,199.37229,692,12,1,36,69,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_8,unroll,unroll_4,unroll_2,pipeline,pipeline_1,pipeline_1,29.5,0.20540507298826793,False
workload_131.cpp,xczu7ev-ffvc1156-2-e,10.0,208.39849,970,12,1,22,53,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_16,unroll,unroll_2,unroll_16,unroll_32,pipeline_1,unroll,22.0,0.28838746056835607,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,87.70734,376,15,1,2,21,cyclic_8_1,block_8_1,cyclic_8_1,unroll_8,unroll_16,unroll_2,unroll_2,unroll_2,unroll_16,unroll_32,pipeline,pipeline_1,9.75,0.6953356259267325,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,143.88839,681,12,1,36,70,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll,unroll_4,pipeline_1,unroll_32,pipeline_1,pipeline_1,29.75,0.2509243509789173,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,85.65634,1071,12,1,6,53,cyclic_2_1,block_4_1,cyclic_8_1,unroll_4,pipeline_1,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline_1,unroll,18.0,0.557804535950401,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,92.37536,2502,16,1,5,99,cyclic_64_1,block_8_1,cyclic_8_1,unroll_16,unroll_4,unroll_16,unroll,unroll_2,unroll_8,unroll_32,pipeline,unroll,30.25,0.2812838369127021,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,86.64334,358,15,1,2,19,cyclic_8_1,block_8_1,cyclic_8_1,unroll_8,unroll_2,unroll_2,unroll_2,unroll_2,unroll_16,unroll_32,pipeline,pipeline_1,9.25,0.7051208374787763,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,234.36441,652,16,5,25,54,block_64_1,block_8_1,cyclic_8_1,unroll_2,unroll_4,unroll_8,unroll,unroll_4,unroll_2,pipeline,pipeline_1,pipeline_1,25.0,0.22279477850255208,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,88.60654,325,20,1,2,19,cyclic_8_1,block_32_1,cyclic_2_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll,10.5,0.6820122485692202,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,198.51622,1289,12,1,43,89,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_8,unroll,unroll_4,unroll_32,unroll_64,pipeline,pipeline_1,36.25,0.13141560278107234,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10.0,139.53102,2024,12,1,8,53,cyclic_2_1,block_4_1,block_8_1,unroll_4,unroll_2,unroll_4,unroll_2,unroll_16,unroll_64,unroll_32,unroll,pipeline_1,18.5,0.44638735038787525,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,143.89863,678,12,1,36,69,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll,unroll_4,pipeline_1,unroll_16,pipeline_1,pipeline,29.5,0.25536270327622257,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,352.71081,1123,12,1,18,53,block_2_1,block_8_1,cyclic_8_1,unroll_8,unroll_4,unroll_16,unroll,unroll_2,unroll_16,unroll_32,unroll,pipeline_1,21.0,0.13385584430172665,False
workload_193.cpp,xczu7ev-ffvc1156-2-e,10.0,22.86961,974,26,1,1,19,cyclic_64_1,cyclic_8_1,complete_1,unroll_2,pipeline,pipeline_1,unroll,pipeline,unroll_32,pipeline,pipeline,pipeline_1,11.75,0.813731093956074,False
