Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,575.30762,2232,28,1,25,76,cyclic_64_1,block_8_1,cyclic_2_1,block_4_1,block_2_1,pipeline,unroll_4,unroll_8,unroll_16,unroll,pipeline_1,unroll_8,unroll_16,unroll_16,unroll_32,pipeline,pipeline,32.5,0.43213219982706796,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,7.40314,1141,35,1,9,25,cyclic_8_1,cyclic_16_1,cyclic_64_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline_1,pipeline_1,unroll_4,pipeline,unroll_4,unroll_4,unroll_16,unroll_2,pipeline,pipeline_1,17.5,0.8278695011195565,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,31.90496,631,61,1,1,23,cyclic_8_1,block_32_1,cyclic_32_1,block_8_1,cyclic_8_1,pipeline,unroll_4,unroll_4,unroll_2,unroll_2,unroll,pipeline,unroll_16,unroll_16,unroll_2,pipeline,pipeline,21.5,0.7101853225313827,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,196.34365,1255,44,1,4,62,cyclic_128_1,cyclic_4_1,block_128_1,block_2_1,block_4_1,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll,pipeline_1,pipeline,unroll_4,pipeline,pipeline,pipeline_1,pipeline_1,27.75,0.542113328489973,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,303.01513,1387,32,1,33,84,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_2,unroll,unroll_4,unroll_16,unroll_8,unroll_32,pipeline,unroll,37.5,0.3338121213976415,False
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,140.92894,1743,17,3,17,31,cyclic_32_1,block_16_1,block_4_1,block_2_1,block_8_1,pipeline,pipeline_1,pipeline,unroll_16,unroll_2,pipeline,unroll,unroll_4,unroll_32,pipeline,unroll,pipeline,17.0,0.8324252944685896,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,50.13922,3058,28,1,20,52,cyclic_128_1,block_4_1,cyclic_4_1,block_8_1,cyclic_8_1,pipeline_1,pipeline,pipeline_1,unroll,unroll_4,unroll,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll,pipeline_1,25.25,0.6061066751837838,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10.0,252.77294,556,47,1,3,42,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,pipeline_1,unroll_4,unroll,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline,23.25,0.6603141753368678,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,25.4229,2850,47,1,17,66,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll,pipeline_1,pipeline,unroll_4,pipeline,pipeline,pipeline,32.75,0.4270745717077594,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,11.90734,2112,26,1,15,61,cyclic_16_1,block_8_1,block_32_1,block_8_1,complete_1,unroll,pipeline,unroll,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll_64,unroll_16,pipeline,pipeline,25.75,0.5929399637842908,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,40.34218,2491,35,55,29,75,cyclic_8_1,block_64_1,block_16_1,block_8_1,block_2_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_4,unroll,pipeline_1,pipeline,unroll_4,pipeline,pipeline,pipeline,48.5,0.17780193381349696,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,434.8811,520,18,1,4,42,cyclic_32_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,complete_1,pipeline_1,unroll_4,unroll,unroll_8,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,pipeline_1,unroll,16.25,0.8366206057754351,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,14.4299,741,25,1,16,24,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_2_1,complete_1,pipeline_1,pipeline,pipeline,unroll_4,unroll_4,pipeline,unroll_4,unroll_4,unroll_16,pipeline,pipeline,pipeline,16.5,0.8436263472957903,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,484.68396,1127,56,1,42,76,block_8_1,cyclic_4_1,cyclic_16_1,block_2_1,cyclic_4_1,unroll,unroll_8,unroll,pipeline_1,unroll,pipeline,pipeline_1,unroll_2,unroll_32,pipeline_1,pipeline,pipeline,43.75,0.23484434757365572,False
workload_55.cpp,xczu7ev-ffvc1156-2-e,10.0,34.05704,1125,73,1,3,56,cyclic_128_1,block_32_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline,unroll_4,unroll_2,unroll_2,unroll_2,unroll,pipeline,unroll_16,unroll_16,unroll_2,pipeline,pipeline,33.25,0.4165261801955069,False
