Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_24.cpp,xczu7ev-ffvc1156-2-e,10.0,109.7644,176,1,1,5,10,complete_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.25,0.9383343591454537,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10.0,509.37842,1087,1,3,18,37,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_4,14.75,0.2136110192425195,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,116.38946,975,1,1,12,25,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006860402383369,False
workload_67.cpp,xczu7ev-ffvc1156-2-e,10.0,262.29588,824,1,4,16,23,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_16,11.0,0.47939698436362277,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,175,1,1,5,8,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,908.84186,739,1,2,14,29,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_2,11.5,0.10070175927849591,False
workload_127.cpp,xczu7ev-ffvc1156-2-e,10.0,436.8059,103,1,2,4,7,complete_2,block_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.5,0.4511674290935359,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10.0,115.92354,654,1,1,12,25,cyclic_2_1,block_2_1,unroll_2,unroll_2,unroll_8,pipeline,9.75,0.6007064645352773,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,504.67426,2424,1,3,35,64,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_8,25.75,0.10000000000000002,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,176,1,1,5,8,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,262.29588,804,1,4,16,23,cyclic_4_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_16,11.0,0.47939698436362277,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,509.37842,1014,1,3,18,37,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_4,14.75,0.2136110192425195,False
workload_179.cpp,xczu7ev-ffvc1156-2-e,10.0,504.67426,2450,1,3,35,64,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_8,unroll_8,25.75,0.10000000000000002,False
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,186,1,1,5,8,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10.0,270.28966,867,1,5,20,33,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_16,14.75,0.3347843155105689,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,109.89332,202,1,1,6,11,block_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.75,0.9040803107930577,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,268.6379,294,1,5,11,20,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_16,9.25,0.5448587677765443,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10.0,416.99732,472,1,2,10,17,block_4_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_8,7.5,0.4356502135423189,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10.0,425.6044,265,1,2,6,12,complete_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_4,5.25,0.45665901543369525,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10.0,116.38946,1023,1,1,12,25,cyclic_4_1,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006860402383369,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,509.53386,1041,1,3,19,37,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,unroll_4,15.0,0.20907670112695187,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,175,1,1,5,8,complete_2,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10.0,110.26988,844,1,1,9,14,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.25,0.8056028892956574,False
workload_233.cpp,xczu7ev-ffvc1156-2-e,10.0,502.40406,1399,1,2,12,21,complete_1,block_2_1,unroll_2,unroll_8,unroll_2,unroll_4,9.0,0.3219977063537497,False
workload_234.cpp,xczu7ev-ffvc1156-2-e,10.0,110.34132,182,1,1,6,11,block_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.75,0.9040740735596221,False
workload_236.cpp,xczu7ev-ffvc1156-2-e,10.0,493.38006,2420,1,2,21,33,complete_1,block_2_1,unroll_2,unroll_8,unroll_2,unroll_8,14.25,0.23156390853852007,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14366,171,1,1,5,9,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9553364216733921,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,178,1,1,5,9,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_243.cpp,xczu7ev-ffvc1156-2-e,10.0,889.60406,1011,1,1,9,17,complete_1,complete_1,unroll_2,unroll_8,unroll_2,unroll_2,7.0,0.10792920278366558,False
workload_244.cpp,xczu7ev-ffvc1156-2-e,10.0,509.37842,1014,1,3,19,36,complete_2,block_2_1,unroll_2,unroll_2,unroll_8,unroll_4,14.75,0.2136110192425195,False
workload_246.cpp,xczu7ev-ffvc1156-2-e,10.0,756.23132,966,1,1,9,16,block_4_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_2,6.75,0.15457653557723838,False
workload_247.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,175,1,1,5,8,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_248.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,79,1,1,3,6,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_249.cpp,xczu7ev-ffvc1156-2-e,10.0,436.8059,103,1,2,4,7,complete_2,complete_1,unroll_2,unroll_2,unroll_2,unroll_4,3.5,0.4511674290935359,False
workload_254.cpp,xczu7ev-ffvc1156-2-e,10.0,109.76358,860,1,1,9,16,complete_1,block_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.75,0.7742077149754476,False
workload_258.cpp,xczu7ev-ffvc1156-2-e,10.0,767.2199,196,1,1,4,8,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_2,3.5,0.1544633793485684,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,10.0,116.3877,930,1,1,12,25,complete_1,block_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006861202532435,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10.0,116.5449,944,1,1,13,26,block_2_1,complete_1,unroll_2,unroll_2,unroll_8,pipeline_1,10.25,0.5742991667875875,False
workload_263.cpp,xczu7ev-ffvc1156-2-e,10.0,110.59166,178,1,1,5,9,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.0,0.9548830274451409,False
workload_264.cpp,xczu7ev-ffvc1156-2-e,10.0,416.85588,432,1,2,9,14,cyclic_2_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_8,6.5,0.4525372049741717,False
workload_268.cpp,xczu7ev-ffvc1156-2-e,10.0,416.85588,435,1,2,9,14,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_8,6.5,0.4525372049741717,False
workload_271.cpp,xczu7ev-ffvc1156-2-e,10.0,436.8059,106,1,2,4,8,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.4506265299350125,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10.0,431.2199,270,1,2,6,11,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_4,5.0,0.4516268924229305,False
workload_280.cpp,xczu7ev-ffvc1156-2-e,10.0,110.54814,78,1,1,3,6,complete_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990753786279575,False
workload_281.cpp,xczu7ev-ffvc1156-2-e,10.0,425.59188,269,1,2,6,11,cyclic_8_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_4,5.0,0.4587991898851942,False
workload_282.cpp,xczu7ev-ffvc1156-2-e,10.0,425.6044,270,1,2,6,12,complete_1,complete_1,unroll_4,unroll_2,unroll_2,unroll_4,5.25,0.45665901543369525,False
workload_284.cpp,xczu7ev-ffvc1156-2-e,10.0,268.6379,291,1,5,11,20,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_16,9.25,0.5448587677765443,False
workload_285.cpp,xczu7ev-ffvc1156-2-e,10.0,889.60606,930,1,1,9,15,complete_2,complete_1,unroll_2,unroll_8,unroll_2,unroll_2,6.5,0.10843673225667115,False
workload_286.cpp,xczu7ev-ffvc1156-2-e,10.0,429.70766,444,1,3,12,20,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_8,9.0,0.3920463954540909,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10.0,436.77614,103,1,2,4,8,complete_1,complete_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.450664770325681,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10.0,509.37842,1014,1,3,18,37,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_8,unroll_4,14.75,0.2136110192425195,False
workload_289.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,173,1,1,5,9,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_291.cpp,xczu7ev-ffvc1156-2-e,10.0,110.19988,183,1,1,5,9,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9552797733069383,False
workload_293.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,170,1,1,5,9,complete_2,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_295.cpp,xczu7ev-ffvc1156-2-e,10.0,116.38946,947,1,1,12,25,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006860402383369,False
workload_298.cpp,xczu7ev-ffvc1156-2-e,10.0,110.15546,175,1,1,5,10,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.25,0.938326080684482,False
workload_299.cpp,xczu7ev-ffvc1156-2-e,10.0,115.92354,642,1,1,12,25,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_8,pipeline,9.75,0.6007064645352773,False
workload_300.cpp,xczu7ev-ffvc1156-2-e,10.0,116.38946,1480,1,1,12,25,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006860402383369,False
workload_301.cpp,xczu7ev-ffvc1156-2-e,10.0,425.66188,1399,1,2,11,17,block_8_1,block_2_1,unroll_4,unroll_2,unroll_4,unroll_4,7.75,0.4212775392434458,False
workload_302.cpp,xczu7ev-ffvc1156-2-e,10.0,110.10014,79,1,1,3,6,complete_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,1.0,True
workload_303.cpp,xczu7ev-ffvc1156-2-e,10.0,110.54814,81,1,1,3,6,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990753786279575,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10.0,110.19988,177,1,1,5,9,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9552797733069383,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,79,1,1,3,6,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_307.cpp,xczu7ev-ffvc1156-2-e,10.0,110.20664,851,1,1,9,14,complete_2,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline_1,6.25,0.8056033145591539,False
workload_309.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,80,1,1,3,6,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10.0,416.99732,468,1,2,10,17,block_4_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_8,7.5,0.4356502135423189,False
workload_311.cpp,xczu7ev-ffvc1156-2-e,10.0,778.50534,88,1,1,4,7,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_2,3.25,0.1489612401212129,False
workload_312.cpp,xczu7ev-ffvc1156-2-e,10.0,270.28966,837,1,5,20,33,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_16,14.75,0.3347843155105689,False
workload_313.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14366,165,1,1,5,9,complete_2,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9553364216733921,False
workload_316.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,78,1,1,3,6,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_318.cpp,xczu7ev-ffvc1156-2-e,10.0,436.8059,102,1,2,4,8,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.4506265299350125,False
workload_320.cpp,xczu7ev-ffvc1156-2-e,10.0,436.77614,121,1,2,4,8,complete_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.450664770325681,False
workload_321.cpp,xczu7ev-ffvc1156-2-e,10.0,110.46566,874,1,1,9,14,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,6.25,0.8056010857588494,False
workload_322.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75864,877,1,1,9,15,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.5,0.7898166065598077,False
workload_323.cpp,xczu7ev-ffvc1156-2-e,10.0,126.06566,909,1,1,12,20,block_2_1,block_2_1,unroll_2,unroll_8,unroll_2,pipeline,8.5,0.6687272162268743,False
workload_324.cpp,xczu7ev-ffvc1156-2-e,10.0,262.29588,949,1,4,16,23,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_16,11.0,0.47939698436362277,False
workload_325.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75864,853,1,1,9,14,complete_2,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.25,0.8056041275936867,False
