Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Area,Weight,is_pareto
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,84.8895,1860,1,2,22,50,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,18.75,0.7502099565038379,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,978.3499,1645,2,35,30,54,block_32_1,block_4_1,block_64_1,block_4_1,complete_2,cyclic_2_1,unroll_2,pipeline,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_16,unroll_2,30.25,0.1975111422057509,False
workload_72.cpp,xczu7ev-ffvc1156-2-e,10.0,84.8887,2686,1,2,22,53,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_64,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,19.5,0.7374187594411343,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,97.92462,1037,1,2,49,77,cyclic_32_1,cyclic_64_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,unroll_4,unroll_16,unroll_4,pipeline,32.25,0.4232970830649817,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,84.89254,1854,1,2,22,51,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,19.0,0.7459305749058193,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,84.68934,241,1,2,12,27,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline,unroll_2,unroll_4,pipeline,10.5,0.9001990185583282,False
workload_176.cpp,xczu7ev-ffvc1156-2-e,10.0,978.3499,1645,2,35,30,53,block_32_1,block_4_1,block_64_1,block_4_1,complete_2,cyclic_2_1,unroll_2,pipeline,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_16,unroll_2,30.0,0.19915356696349085,False
workload_186.cpp,xczu7ev-ffvc1156-2-e,10.0,84.89254,1744,2,2,21,40,cyclic_64_1,cyclic_2_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,16.25,0.793764772742283,False
workload_192.cpp,xczu7ev-ffvc1156-2-e,10.0,86.95886,665,1,2,26,54,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_8_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,20.75,0.715444491207196,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10.0,86.95886,668,1,2,26,54,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_8_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_4,unroll_8,pipeline,unroll_2,unroll_4,pipeline_1,20.75,0.715444491207196,False
workload_206.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14518,967,5,24,58,99,cyclic_2_1,block_8_1,cyclic_8_1,block_4_1,cyclic_4_1,complete_1,unroll_2,pipeline,unroll_8,pipeline,unroll_2,pipeline_1,unroll_4,pipeline,46.5,0.1705828365068962,False
workload_216.cpp,xczu7ev-ffvc1156-2-e,10.0,86.69174,2108,1,2,25,54,cyclic_64_1,cyclic_64_1,cyclic_64_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,20.5,0.719741917400697,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10.0,84.86334,934,1,2,12,32,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_64,unroll_2,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,11.75,0.8761111807925297,False
workload_236.cpp,xczu7ev-ffvc1156-2-e,10.0,84.67862,2728,1,2,22,52,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_64,unroll_4,pipeline,19.25,0.7417654224754625,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10.0,84.68686,2162,1,2,22,52,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_8,unroll_4,unroll_8,unroll_64,unroll_32,unroll_4,pipeline,19.25,0.7417616213517692,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10.0,87.0167,2576,1,2,26,55,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_8_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,21.0,0.7112565707260176,False
workload_260.cpp,xczu7ev-ffvc1156-2-e,10.0,84.80134,276,1,2,14,31,cyclic_64_1,cyclic_64_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline,unroll_2,unroll_4,pipeline,12.0,0.8713868954768912,False
workload_261.cpp,xczu7ev-ffvc1156-2-e,10.0,86.95894,609,1,2,26,52,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_8_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,20.25,0.7238103704871919,False
workload_263.cpp,xczu7ev-ffvc1156-2-e,10.0,83.17966,473,1,2,21,49,cyclic_32_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,pipeline,unroll_2,unroll_4,pipeline_1,18.25,0.7596067149240113,False
workload_269.cpp,xczu7ev-ffvc1156-2-e,10.0,86.6915,2078,1,2,25,55,cyclic_64_1,cyclic_64_1,cyclic_64_1,block_32_1,complete_2,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,20.75,0.7155657043876897,False
workload_272.cpp,xczu7ev-ffvc1156-2-e,10.0,83.31822,1205,1,2,33,63,cyclic_32_1,cyclic_64_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,cyclic_2_1,unroll_2,pipeline,unroll_4,pipeline_1,unroll_64,unroll_2,unroll_4,pipeline,24.75,0.6301830199406598,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10.0,980.4049,1899,1,1,30,59,block_32_1,block_2_1,block_64_1,block_4_1,block_8_1,cyclic_2_1,unroll_2,unroll_32,unroll_2,unroll_64,unroll_4,unroll_4,unroll_16,unroll_2,22.75,0.28540912593587964,False
workload_275.cpp,xczu7ev-ffvc1156-2-e,10.0,85.30518,415,1,2,26,46,cyclic_32_1,cyclic_64_1,cyclic_2_1,block_2_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,unroll_8,unroll_2,unroll_4,pipeline,18.75,0.7500167790995449,False
workload_281.cpp,xczu7ev-ffvc1156-2-e,10.0,1648.59372,2697,1,1,19,66,cyclic_32_1,cyclic_64_1,cyclic_64_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline,unroll_8,unroll_2,unroll_4,unroll_2,21.75,0.12213304470668396,False
workload_282.cpp,xczu7ev-ffvc1156-2-e,10.0,84.83094,440,1,2,21,32,cyclic_64_1,block_32_1,cyclic_2_1,block_32_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline,14.0,0.8342029445154128,False
workload_287.cpp,xczu7ev-ffvc1156-2-e,10.0,79.93982,2356,1,2,41,90,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,complete_1,unroll_2,unroll_4,unroll_4,unroll_8,unroll_64,unroll_2,unroll_8,pipeline,33.5,0.39397889121895535,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10.0,86.95894,781,1,2,27,69,cyclic_64_1,cyclic_128_1,cyclic_2_1,block_8_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_64,unroll_4,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline,24.75,0.6300278559707415,False
workload_292.cpp,xczu7ev-ffvc1156-2-e,10.0,83.28246,459,1,2,22,46,cyclic_32_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_4,unroll_2,unroll_4,pipeline,17.75,0.7682185113682772,False
workload_294.cpp,xczu7ev-ffvc1156-2-e,10.0,900.8383,443,1,1,18,35,cyclic_64_1,block_2_1,cyclic_2_1,block_4_1,complete_2,block_2_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline,unroll_2,unroll_8,unroll_2,13.75,0.45153309859883717,False
