Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Area,Weight,is_pareto
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,83.14654,1402,2,2,20,36,block_2_2,block_2_2,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_64,unroll_2,unroll_4,pipeline,15.0,0.607039378632478,False
workload_60.cpp,xczu7ev-ffvc1156-2-e,10.0,1670.65726,658,2,1,5,16,block_32_1,cyclic_8_1,cyclic_2_2,cyclic_16_1,cyclic_8_1,block_2_1,unroll_2,unroll_64,unroll_2,unroll_16,unroll_4,unroll_64,unroll_4,unroll_2,6.0,0.17116996434017073,False
workload_84.cpp,xczu7ev-ffvc1156-2-e,10.0,409.63436,526,4,4,8,19,cyclic_16_1,block_2_2,cyclic_2_1,cyclic_8_1,complete_2,block_2_1,unroll_4,unroll_8,unroll_2,unroll_2,pipeline,unroll_16,unroll_2,unroll_8,8.75,0.6339891397318224,False
workload_114.cpp,xczu7ev-ffvc1156-2-e,10.0,83.23438,214,3,2,12,19,block_2_2,block_2_2,cyclic_2_1,cyclic_8_1,cyclic_8_1,block_2_1,unroll_2,unroll_16,unroll_4,unroll_16,pipeline,unroll_2,unroll_2,pipeline,9.0,0.8505500350784411,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10.0,1667.56398,634,3,1,8,22,block_4_1,cyclic_16_1,complete_2,cyclic_16_1,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,unroll_16,unroll_32,unroll_2,unroll_4,8.5,0.15735502592617992,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10.0,1670.66038,480,2,1,5,15,block_32_1,cyclic_8_1,cyclic_2_2,cyclic_16_1,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_32,unroll_4,unroll_64,unroll_4,unroll_2,5.75,0.17223275365938967,False
workload_130.cpp,xczu7ev-ffvc1156-2-e,10.0,86.0655,623,3,2,35,52,block_2_2,block_2_2,block_2_1,block_32_1,cyclic_8_1,cyclic_2_1,unroll_2,pipeline,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,23.0,0.26244658233252616,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,1650.02532,332,3,1,7,16,cyclic_16_1,cyclic_8_1,cyclic_2_1,cyclic_2_1,complete_2,block_2_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,unroll_16,unroll_2,unroll_2,6.75,0.1745120769432104,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,1312.1443,946,3,1,6,20,block_32_1,block_2_2,cyclic_2_2,cyclic_16_1,complete_2,block_2_1,unroll_2,unroll_16,unroll_4,unroll_16,unroll_32,unroll_2,unroll_4,unroll_2,7.5,0.2976719234189249,False
workload_178.cpp,xczu7ev-ffvc1156-2-e,10.0,847.41342,893,3,4,7,19,block_32_1,block_2_2,cyclic_2_2,cyclic_16_1,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_32,pipeline,unroll_64,unroll_4,unroll_8,8.25,0.4484036682970942,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10.0,86.23166,716,3,2,37,55,block_2_2,block_2_2,block_2_1,block_32_1,block_4_1,cyclic_2_1,unroll_2,pipeline,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,24.25,0.2258562036285908,False
