Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Area,Weight,is_pareto
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,316.25376,92,1,2,3,9,complete_2,complete_1,cyclic_8_1,complete_1,block_4_1,unroll_2,unroll_2,unroll,unroll,pipeline_1,unroll_2,3.75,0.5054614420081515,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,235,1,1,10,19,complete_2,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,pipeline_1,unroll_2,pipeline_1,7.75,0.7351588825872275,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,287.04291,524,1,1,16,56,cyclic_8_2,block_2_2,complete_1,block_4_1,cyclic_2_1,unroll_8,unroll_2,unroll,unroll_8,pipeline_1,unroll,18.5,0.26487391409492994,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,247.36291,787,1,2,16,40,complete_1,block_8_2,block_4_1,block_2_1,complete_1,unroll_8,unroll_2,unroll,pipeline_1,pipeline,unroll,14.75,0.3747618596956972,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92029,1992,1,1,38,68,complete_1,cyclic_8_2,complete_1,cyclic_4_1,block_2_1,unroll_32,pipeline,unroll,unroll_4,unroll_4,unroll_4,27.0,0.15793071900798353,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,260,1,1,10,19,complete_1,cyclic_4_2,complete_1,block_4_1,block_4_1,unroll_8,pipeline,pipeline,pipeline_1,unroll_4,unroll_2,7.75,0.7351588825872275,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,101.52229,341,1,1,8,17,cyclic_2_2,block_2_2,complete_1,complete_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline,6.75,0.7482768422016216,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,541,1,1,19,36,block_4_2,complete_2,block_8_1,cyclic_2_1,block_2_1,unroll_16,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_8,14.25,0.471044242609965,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,22.92005,248,1,1,10,19,block_4_2,block_4_2,block_8_1,block_2_1,cyclic_2_1,unroll_8,pipeline,pipeline_1,unroll_2,unroll_2,unroll_8,7.75,0.7351588825872275,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,127.22213,595,1,1,15,31,block_8_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline,pipeline_1,unroll_8,pipeline,unroll_2,12.0,0.5294256363681462,False
