Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Area,Weight,is_pareto
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,61.22542,3176,6,39,36,86,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,41.75,0.32930563075668096,False
workload_108.cpp,xczu7ev-ffvc1156-2-e,10.0,58.4946,2406,6,45,37,88,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,44.0,0.301822697998548,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,62.88861,2662,6,45,39,98,block_2_1,block_16_1,block_64_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_8,unroll_32,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,47.0,0.2653176810523554,False
workload_199.cpp,xczu7ev-ffvc1156-2-e,10.0,58.82486,3098,6,49,42,95,cyclic_8_1,block_16_1,block_16_1,cyclic_16_1,cyclic_4_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,unroll_8,pipeline,unroll_4,unroll,unroll_2,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline,unroll_4,unroll,unroll,unroll_2,unroll_8,pipeline,pipeline_1,pipeline,48.0,0.25594188442227583,False
workload_209.cpp,xczu7ev-ffvc1156-2-e,10.0,59.84189,3362,9,46,39,97,cyclic_8_1,block_16_1,block_16_1,block_8_1,cyclic_4_1,unroll_2,unroll_8,unroll,unroll,pipeline_1,unroll_8,unroll,pipeline_1,pipeline,unroll_4,unroll,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll,pipeline_1,unroll_2,unroll_8,pipeline,pipeline_1,pipeline,47.75,0.2582605870331819,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10.0,61.0419,3123,6,39,37,87,block_2_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline_1,pipeline,unroll_8,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,42.25,0.3224918634740169,False
workload_230.cpp,xczu7ev-ffvc1156-2-e,10.0,58.9058,2322,6,45,36,86,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,pipeline_1,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline,43.25,0.3108357309589711,False
workload_266.cpp,xczu7ev-ffvc1156-2-e,10.0,59.07594,3062,11,53,39,96,block_2_1,block_4_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_8,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_64,unroll_2,unroll_2,unroll_4,pipeline,unroll_2,unroll,pipeline,unroll_2,pipeline,unroll_2,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,unroll,unroll_2,unroll_8,unroll_2,unroll_4,pipeline,49.75,0.23753745073466337,False
workload_288.cpp,xczu7ev-ffvc1156-2-e,10.0,62.84925,3295,6,45,39,99,block_2_1,block_16_1,block_64_1,block_8_1,cyclic_16_1,unroll_4,unroll_8,unroll,unroll,pipeline_1,pipeline,pipeline,pipeline_1,pipeline,unroll_8,unroll,unroll_2,pipeline_1,unroll_8,unroll_32,unroll_2,unroll_2,unroll,pipeline,pipeline_1,unroll,pipeline,unroll_2,pipeline_1,unroll,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,pipeline,47.25,0.26257818805807237,False
workload_302.cpp,xczu7ev-ffvc1156-2-e,10.0,63.04309,3230,4,56,40,92,block_4_1,block_16_1,block_16_1,block_8_1,cyclic_16_1,unroll_4,pipeline_1,unroll,unroll,pipeline_1,pipeline,unroll_4,unroll_4,pipeline,unroll_8,unroll_4,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline,unroll_2,unroll,unroll_8,unroll_2,pipeline,unroll,unroll,pipeline_1,unroll,unroll_8,pipeline_1,pipeline,unroll_4,pipeline,unroll,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,48.0,0.2543661078293057,False
