Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,12.02048,104,7,1,1,6,cyclic_16_1,cyclic_4_1,unroll_2,pipeline_1,unroll_64,pipeline_1,3.75,0.9521461494556833,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,10.64966,371,4,1,8,73,cyclic_4_1,cyclic_8_1,pipeline,pipeline,unroll_32,unroll_64,21.5,0.4798147949791012,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,69.56562,51,5,1,1,3,block_8_1,block_8_1,unroll_32,unroll_2,pipeline_1,unroll_8,2.5,0.48532219272013744,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,78.73042,48,3,1,1,1,cyclic_4_1,block_4_1,unroll_4,unroll_2,unroll_2,unroll_2,1.5,0.41189868688495523,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,59.73522,56,16,1,1,6,cyclic_32_1,block_32_1,unroll_4,unroll_2,unroll_2,unroll_8,6.0,0.5247915214902007,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,41.83398,106,8,1,1,21,cyclic_8_1,cyclic_16_1,pipeline,unroll_32,unroll_32,pipeline,7.75,0.5990284077971961,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,36.91034,54,1,1,7,6,cyclic_64_1,cyclic_4_1,unroll_2,unroll_2,pipeline,pipeline,3.75,0.7698313488248056,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,68.25118,404,3,1,7,55,cyclic_16_1,cyclic_4_1,unroll_2,unroll_64,unroll_2,unroll_4,16.5,0.29801567236797866,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,68.2507,152,3,1,3,28,cyclic_16_1,cyclic_2_1,pipeline,unroll_32,unroll_16,unroll_4,8.75,0.40544184911177905,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,10.64966,425,2,1,9,81,block_2_1,block_4_1,unroll_8,pipeline,unroll_4,unroll_16,23.25,0.40984810290361273,False
