Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,32.52623,214,20,1,2,17,cyclic_64_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,unroll_2,unroll_32,pipeline_1,unroll_64,10.0,0.8367121814532202,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,38.01481,1102,16,1,2,51,block_32_1,cyclic_16_1,block_2_1,block_32_1,unroll_8,unroll_8,unroll_8,unroll_2,17.5,0.5231234895595887,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,32.47821,117,14,1,1,15,cyclic_2_1,cyclic_16_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll_2,unroll_4,pipeline,7.75,0.8847557343964159,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,32.54039,63,12,1,1,5,cyclic_4_1,block_32_1,block_4_1,block_2_1,unroll_2,unroll_4,unroll_4,pipeline,4.75,0.9435891046875712,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,57.99321,1101,33,1,2,68,cyclic_64_1,cyclic_64_1,block_32_1,cyclic_16_1,unroll_8,unroll_16,unroll_16,unroll_2,26.0,0.10018574148692123,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43759,78,10,1,1,10,block_2_1,block_4_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_8,pipeline,pipeline_1,5.5,0.933456391020506,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,52.36437,1437,25,1,4,55,block_16_1,block_128_1,cyclic_128_1,cyclic_128_1,unroll_2,unroll,unroll_16,unroll_2,21.25,0.14884698624843176,False
workload_30.cpp,xczu7ev-ffvc1156-2-e,10.0,32.56281,327,16,1,5,43,cyclic_8_1,cyclic_8_1,cyclic_2_1,cyclic_32_1,unroll_8,unroll_16,unroll_64,unroll_8,16.25,0.7066556124262555,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,39.18209,125,28,1,1,20,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_8,unroll_4,unroll_2,unroll_4,12.5,0.5490430046931588,False
workload_37.cpp,xczu7ev-ffvc1156-2-e,10.0,32.53787,61,11,1,1,4,cyclic_2_1,cyclic_2_1,block_4_1,block_2_1,unroll_4,unroll_8,pipeline_1,unroll_8,4.25,0.9549795669374412,False
workload_40.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43217,274,11,1,6,45,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_4,unroll_32,pipeline_1,15.75,0.7240726452198802,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10.0,31.81616,1335,27,1,6,85,block_4_1,block_32_1,block_32_1,cyclic_4_1,unroll_8,unroll,unroll_16,unroll_8,29.75,0.3141431267319925,False
