Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,27.05665,55,1,1,1,4,unroll_4,unroll_2,1.75,0.34532767558172495,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,9.80481,98,1,1,6,12,unroll_2,unroll_64,5.0,0.6972091312752708,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,12.84225,115,1,1,7,14,unroll_8,unroll_16,5.75,0.5900982074504512,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10.0,4.70145,62,1,1,2,8,unroll_8,pipeline_1,3.0,1.0,True
workload_4.cpp,xczu7ev-ffvc1156-2-e,10.0,2.09113,126,1,1,10,12,pipeline_1,pipeline_1,6.0,1.0,True
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,27.05921,50,1,1,1,2,unroll_2,unroll_2,1.25,1.0,True
workload_6.cpp,xczu7ev-ffvc1156-2-e,10.0,14.76673,128,1,1,9,17,unroll_16,unroll_8,7.0,0.5039417641167583,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,2.09113,115,1,1,10,12,pipeline,unroll_64,6.0,1.0,True
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,2.09113,118,1,1,10,12,pipeline,unroll_32,6.0,1.0,True
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,10.81601,90,1,1,6,13,unroll_4,unroll_32,5.25,0.6606625337825571,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,12.84609,56,1,1,2,5,unroll_2,unroll_16,2.25,0.696239663661918,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,18.86273,100,1,1,6,12,unroll_16,unroll_4,5.0,0.4602897504545367,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,2.09113,127,1,1,10,12,pipeline_1,unroll_8,6.0,1.0,True
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,4.70145,63,1,1,2,8,unroll_8,pipeline,3.0,1.0,True
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,4.70049,421,1,1,9,26,unroll_32,pipeline_1,9.25,0.6672253692193034,False
