Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,8.65984,320,69,81,42,79,cyclic_64_1,block_32_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_16_1,cyclic_128_1,cyclic_4_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_64,unroll_64,67.75,0.3081648579208245,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10.0,45.52992,159,27,7,11,28,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,18.25,0.5771942344642801,False
workload_9.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,452,23,1,7,33,cyclic_8_1,block_64_1,block_16_1,block_4_1,cyclic_128_1,block_32_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_64,unroll_32,16.0,0.8323902390052597,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,23.94964,95,19,1,6,15,cyclic_2_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_2,10.25,0.8445071924790648,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,19.04976,100,31,1,2,15,cyclic_8_1,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_16,12.25,0.8719929731823018,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,43.47173,179,19,1,14,33,block_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,16.75,0.6052210591363827,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,45.54104,144,27,3,14,32,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,19.0,0.5718684625133451,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,8.62413,437,25,81,39,80,cyclic_128_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,block_16_1,complete_1,pipeline_1,unroll_32,unroll_2,unroll_8,56.25,0.427005799624641,False
workload_22.cpp,xczu7ev-ffvc1156-2-e,10.0,21.61624,126,23,1,8,30,cyclic_32_1,cyclic_64_1,block_128_1,cyclic_16_1,block_4_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_128_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_32,15.5,0.8102729207367348,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,19.42948,252,21,1,18,50,cyclic_8_1,block_2_1,cyclic_4_1,block_2_1,cyclic_128_1,cyclic_4_1,block_64_1,block_128_1,block_8_1,complete_1,unroll_8,unroll_16,unroll_8,unroll_32,22.5,0.7389774848989628,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,35.24636,104,24,1,6,24,cyclic_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_4,unroll_2,13.75,0.7023031340352418,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10.0,8.60356,534,24,81,42,88,cyclic_128_1,cyclic_8_1,block_4_1,block_4_1,block_64_1,block_64_1,cyclic_32_1,cyclic_128_1,cyclic_32_1,complete_1,pipeline,pipeline,unroll_32,unroll_16,58.75,0.40572156706402673,False
