Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,8.73816,270,29,11,19,33,cyclic_16_1,block_128_1,block_32_1,cyclic_4_1,block_32_1,block_64_1,block_128_1,block_8_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_8,pipeline_1,23.0,0.5992407635022085,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10.0,8.63608,337,25,20,18,32,cyclic_32_1,block_64_1,block_16_1,cyclic_32_1,block_16_1,cyclic_2_1,block_4_1,block_4_1,block_32_1,complete_1,pipeline,pipeline,unroll_64,pipeline_1,23.75,0.5820568045314168,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10.0,45.52992,217,26,7,11,28,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,18.0,0.5194130827063472,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,23.94964,178,19,1,6,15,cyclic_2_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_2,10.25,0.7871211525897895,False
workload_16.cpp,xczu7ev-ffvc1156-2-e,10.0,8.6752,682,27,40,27,57,cyclic_64_1,block_32_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_16_1,cyclic_128_1,cyclic_4_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_64,unroll_64,37.75,0.3160420831229565,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,19.04976,137,31,1,2,15,cyclic_8_1,cyclic_32_1,cyclic_32_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_16,12.25,0.8095826730738472,False
workload_18.cpp,xczu7ev-ffvc1156-2-e,10.0,17.93908,716,22,1,7,33,cyclic_8_1,block_64_1,block_16_1,block_4_1,cyclic_128_1,block_32_1,cyclic_2_1,block_64_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_64,unroll_32,15.75,0.7490774829395734,False
workload_20.cpp,xczu7ev-ffvc1156-2-e,10.0,43.47173,309,18,1,14,33,block_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,16.5,0.5512416013966552,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,45.54104,249,26,3,14,32,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,18.75,0.5107804848674288,False
workload_23.cpp,xczu7ev-ffvc1156-2-e,10.0,35.24636,492,23,1,6,23,cyclic_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_4,unroll_2,13.25,0.6530103563980275,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10.0,22.10776,330,22,1,8,31,cyclic_32_1,cyclic_64_1,block_128_1,cyclic_16_1,block_4_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_128_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_32,15.5,0.7284330275744466,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10.0,8.62441,1377,44,81,39,79,cyclic_128_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,block_16_1,complete_1,pipeline_1,unroll_32,unroll_2,unroll_8,60.75,0.10768418846648742,False
