Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,12.98513,336,51,7,12,61,cyclic_32_1,block_32_1,block_8_1,block_8_1,block_2_1,cyclic_4_1,cyclic_8_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_8_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,32.75,0.4339146594222755,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,9.68787,431,43,1,9,28,cyclic_8_1,block_64_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_128_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_16,pipeline,20.25,0.6485871280782095,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,206,40,1,13,37,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_16_1,block_16_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_16,22.75,0.7129625193273585,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10.0,15.19389,83,45,1,4,14,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,16.0,0.5681671703955808,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18113,260,48,4,10,53,cyclic_64_1,block_64_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,28.75,0.5924230512028057,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17289,560,40,1,13,66,block_8_1,cyclic_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_8_1,block_16_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_32,unroll_2,unroll_2,30.0,0.5689703377746519,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,21.87267,519,43,4,13,72,cyclic_128_1,block_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_32_1,block_64_1,block_64_1,cyclic_16_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,33.0,0.3229824291943348,False
workload_21.cpp,xczu7ev-ffvc1156-2-e,10.0,6.59981,212,36,6,22,34,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,cyclic_2_1,block_4_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,block_128_1,cyclic_4_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_64,24.5,0.633295580860482,False
workload_26.cpp,xczu7ev-ffvc1156-2-e,10.0,19.85331,439,45,7,13,64,block_128_1,block_8_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,32.25,0.3547178102892491,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10.0,8.72423,242,48,1,12,28,block_32_1,block_4_1,block_32_1,cyclic_32_1,block_16_1,cyclic_16_1,cyclic_4_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,cyclic_128_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,22.25,0.6384548429665239,False
workload_42.cpp,xczu7ev-ffvc1156-2-e,10.0,0.16271,163,39,1,14,27,cyclic_64_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,block_16_1,block_16_1,block_64_1,block_2_1,block_4_1,cyclic_32_1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_4,20.25,0.767078487723091,False
workload_43.cpp,xczu7ev-ffvc1156-2-e,10.0,15.20925,142,43,1,7,23,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,cyclic_128_1,cyclic_64_1,block_64_1,cyclic_4_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,18.5,0.5523262394016109,False
workload_45.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18113,203,42,1,12,48,cyclic_64_1,block_2_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_128_1,cyclic_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,25.75,0.6510446525970669,False
workload_46.cpp,xczu7ev-ffvc1156-2-e,10.0,33.91039,432,39,2,18,56,block_8_1,cyclic_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,block_16_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_16,unroll_32,unroll_4,28.75,0.20742137583693154,False
workload_47.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,1004,50,3,22,75,cyclic_32_1,block_16_1,block_4_1,cyclic_32_1,cyclic_4_1,cyclic_32_1,block_8_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,cyclic_64_1,complete_1,unroll_32,unroll_2,unroll_4,pipeline,37.5,0.44026920591651275,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10.0,9.67763,219,44,1,10,25,cyclic_8_1,block_64_1,block_2_1,block_16_1,block_2_1,block_8_1,block_128_1,cyclic_128_1,block_16_1,cyclic_16_1,cyclic_128_1,cyclic_16_1,block_128_1,complete_1,unroll_2,unroll_8,unroll_64,pipeline,20.0,0.6519460051396476,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,13.66101,332,45,15,22,58,block_8_1,block_32_1,block_8_1,block_8_1,block_2_1,cyclic_4_1,block_64_1,block_2_1,cyclic_128_1,block_8_1,block_4_1,cyclic_64_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_64,35.0,0.3985345970448301,False
workload_62.cpp,xczu7ev-ffvc1156-2-e,10.0,7.00321,967,40,15,48,74,block_4_1,cyclic_4_1,block_2_1,block_32_1,block_64_1,cyclic_32_1,block_32_1,block_16_1,cyclic_2_1,cyclic_4_1,block_128_1,cyclic_8_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_64,44.25,0.32810809790116724,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18313,593,44,8,36,76,block_8_1,block_2_1,block_8_1,block_2_1,block_8_1,block_8_1,block_4_1,block_4_1,block_8_1,block_64_1,cyclic_2_1,cyclic_8_1,block_8_1,complete_1,unroll_64,unroll_32,unroll_2,unroll_2,41.0,0.3872582080156407,False
workload_73.cpp,xczu7ev-ffvc1156-2-e,10.0,19.84849,481,48,4,7,93,block_128_1,cyclic_128_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_8_1,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,38.0,0.30228373309594236,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,170,40,1,13,28,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_16_1,block_32_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_2,20.5,0.7615636604605501,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,13.67381,609,50,15,26,85,block_32_1,block_32_1,block_32_1,block_8_1,block_16_1,cyclic_16_1,block_64_1,block_128_1,cyclic_128_1,block_8_1,block_4_1,cyclic_64_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_16,unroll_64,44.0,0.29466864321885966,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,33.55355,163,46,1,7,26,block_128_1,block_8_1,cyclic_16_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_16_1,complete_1,unroll_2,unroll_2,unroll_32,unroll_4,20.0,0.23728842485354804,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,9.65715,242,43,1,7,25,cyclic_8_1,block_64_1,block_2_1,block_16_1,cyclic_64_1,block_4_1,block_128_1,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_16_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_16,pipeline,19.0,0.6645770869207644,False
workload_90.cpp,xczu7ev-ffvc1156-2-e,10.0,22.89465,562,49,4,14,75,cyclic_128_1,block_32_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,block_8_1,block_8_1,cyclic_16_1,block_2_1,block_8_1,block_64_1,cyclic_128_1,block_4_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,35.5,0.291059406230131,False
workload_91.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,282,39,1,15,46,cyclic_64_1,cyclic_4_1,block_128_1,cyclic_2_1,cyclic_2_1,block_16_1,block_16_1,block_64_1,block_2_1,block_4_1,cyclic_2_1,cyclic_128_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_4,25.25,0.6611356421395373,False
workload_92.cpp,xczu7ev-ffvc1156-2-e,10.0,8.70631,164,46,1,10,23,block_16_1,block_4_1,block_8_1,cyclic_32_1,block_2_1,cyclic_8_1,cyclic_4_1,block_2_1,block_64_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,cyclic_128_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,20.0,0.6707214328750505,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,12.98513,361,50,7,12,63,cyclic_32_1,block_32_1,cyclic_16_1,block_8_1,block_2_1,cyclic_4_1,cyclic_8_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_16_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,33.0,0.4307418767468233,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17089,165,38,3,19,27,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,block_128_1,cyclic_8_1,cyclic_2_1,complete_1,pipeline_1,pipeline,unroll_2,unroll_64,21.75,0.7343342131338834,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,18.79189,133,41,1,6,25,block_2_1,cyclic_128_1,cyclic_4_1,block_2_1,block_4_1,cyclic_2_1,block_64_1,cyclic_4_1,block_8_1,cyclic_64_1,block_2_1,cyclic_4_1,block_2_1,complete_1,unroll_4,unroll_4,unroll_64,unroll_4,18.25,0.48088188820554645,False
workload_100.cpp,xczu7ev-ffvc1156-2-e,10.0,21.88929,575,46,7,29,74,cyclic_4_1,block_8_1,block_32_1,block_64_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,block_8_1,block_64_1,block_2_1,cyclic_128_1,block_8_1,complete_1,unroll_64,unroll_8,unroll_32,unroll_2,39.0,0.2734374648391296,False
workload_101.cpp,xczu7ev-ffvc1156-2-e,10.0,33.90527,294,39,2,17,36,block_8_1,cyclic_8_1,block_4_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_128_1,block_16_1,cyclic_32_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_16,unroll_32,unroll_4,23.5,0.22426720140962997,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18113,210,42,1,12,48,cyclic_64_1,block_2_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,block_8_1,block_4_1,block_128_1,cyclic_16_1,cyclic_8_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,25.75,0.6510446525970669,False
workload_104.cpp,xczu7ev-ffvc1156-2-e,10.0,20.86553,232,44,1,7,32,cyclic_4_1,cyclic_128_1,block_32_1,block_64_1,cyclic_2_1,block_16_1,cyclic_2_1,cyclic_4_1,cyclic_32_1,block_64_1,block_2_1,cyclic_16_1,cyclic_8_1,complete_1,unroll_4,unroll_8,unroll_32,unroll_2,21.0,0.42649770655703556,False
workload_105.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,1137,50,3,22,76,cyclic_32_1,block_16_1,block_4_1,cyclic_32_1,cyclic_4_1,cyclic_32_1,block_8_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_64_1,block_4_1,cyclic_64_1,complete_1,unroll_32,unroll_2,unroll_4,pipeline,37.75,0.4363339400720233,False
workload_106.cpp,xczu7ev-ffvc1156-2-e,10.0,0.17295,173,41,1,13,28,cyclic_64_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,block_4_1,block_16_1,block_32_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_2,20.75,0.7560719807409184,False
