Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_0.cpp,xczu7ev-ffvc1156-2-e,10.0,4.50481,370,87,9,17,75,cyclic_32_1,block_32_1,block_8_1,block_8_1,block_2_1,cyclic_4_1,cyclic_8_1,block_2_1,cyclic_128_1,block_8_1,block_8_1,block_8_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,47.0,0.5274833808491759,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10.0,3.22997,576,75,1,13,46,cyclic_8_1,block_64_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_128_1,cyclic_128_1,block_16_1,cyclic_16_1,block_16_1,cyclic_16_1,cyclic_2_1,complete_1,unroll_2,unroll_8,unroll_16,pipeline,33.75,0.7949698740938099,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10.0,18.15824,174,68,1,15,44,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_16_1,block_16_1,cyclic_128_1,block_64_1,cyclic_4_1,cyclic_32_1,cyclic_2_1,cyclic_32_1,complete_1,unroll_2,unroll_16,unroll_4,unroll_16,32.0,0.661497005633221,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10.0,7.7602,120,74,1,17,39,block_2_1,cyclic_16_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,32.75,0.7644625184935259,False
workload_14.cpp,xczu7ev-ffvc1156-2-e,10.0,42.38515,430,71,2,19,91,block_8_1,cyclic_8_1,block_128_1,block_4_1,block_2_1,cyclic_32_1,cyclic_8_1,block_64_1,block_8_1,block_16_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_8,unroll_32,unroll_2,unroll_2,45.75,0.29558770781211763,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10.0,13.14745,539,80,5,15,69,cyclic_64_1,block_64_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,cyclic_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_2,unroll_2,42.25,0.5759377555981551,False
workload_19.cpp,xczu7ev-ffvc1156-2-e,10.0,13.37659,485,72,5,17,86,cyclic_128_1,block_32_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_32_1,block_64_1,block_64_1,cyclic_16_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,45.0,0.5281170395180429,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10.0,0.18328,166,66,6,23,39,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,cyclic_2_1,block_4_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,block_128_1,cyclic_4_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_64,33.5,0.8222500728661034,False
workload_39.cpp,xczu7ev-ffvc1156-2-e,10.0,3.29177,213,81,2,19,52,block_32_1,block_4_1,block_32_1,cyclic_32_1,block_16_1,cyclic_16_1,cyclic_4_1,block_128_1,block_64_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,cyclic_128_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,38.5,0.7081428110232049,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42708,488,78,3,13,42,cyclic_32_1,block_64_1,block_4_1,cyclic_32_1,cyclic_8_1,cyclic_32_1,cyclic_128_1,cyclic_64_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,cyclic_8_1,complete_1,unroll_8,unroll_2,unroll_4,pipeline,34.0,0.7628251333862991,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,7.7602,127,71,2,20,43,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,cyclic_16_1,block_16_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,34.0,0.7496912152444486,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,0.186,189,64,6,24,45,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,block_8_1,block_4_1,cyclic_2_1,cyclic_128_1,cyclic_2_1,block_64_1,block_128_1,cyclic_4_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_64,34.75,0.8038432776496958,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,3.23073,460,75,1,15,42,cyclic_8_1,block_64_1,block_2_1,block_16_1,block_2_1,block_8_1,block_128_1,cyclic_128_1,block_16_1,cyclic_16_1,cyclic_128_1,cyclic_16_1,block_128_1,complete_1,unroll_2,unroll_8,unroll_64,pipeline,33.25,0.8012288048033918,False
workload_58.cpp,xczu7ev-ffvc1156-2-e,10.0,71.39142,387,69,84,33,88,cyclic_128_1,block_8_1,cyclic_8_1,cyclic_64_1,block_4_1,block_64_1,cyclic_128_1,cyclic_64_1,block_64_1,cyclic_64_1,cyclic_32_1,block_16_1,block_16_1,complete_1,unroll_2,pipeline_1,unroll_16,unroll_16,68.5,0.10002361560785743,False
workload_61.cpp,xczu7ev-ffvc1156-2-e,10.0,5.18841,322,75,17,28,74,block_4_1,block_32_1,block_8_1,block_8_1,block_2_1,cyclic_32_1,block_32_1,block_2_1,cyclic_128_1,block_4_1,block_8_1,block_16_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,48.5,0.49779774373077,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10.0,4.81729,393,75,3,14,69,cyclic_4_1,cyclic_128_1,block_2_1,block_16_1,cyclic_32_1,block_8_1,cyclic_2_1,cyclic_4_1,block_2_1,block_64_1,block_128_1,cyclic_16_1,cyclic_64_1,complete_1,unroll_16,unroll_8,unroll_2,pipeline,40.25,0.6643974426091569,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10.0,3.29146,694,81,3,29,76,block_32_1,block_4_1,block_32_1,cyclic_32_1,block_128_1,cyclic_16_1,cyclic_4_1,block_128_1,cyclic_2_1,cyclic_128_1,cyclic_32_1,block_16_1,cyclic_128_1,complete_1,unroll_2,pipeline,unroll_16,pipeline_1,47.25,0.5243961759049472,False
workload_78.cpp,xczu7ev-ffvc1156-2-e,10.0,9.08395,253,74,30,33,75,cyclic_16_1,block_16_1,block_4_1,block_128_1,block_2_1,block_2_1,block_4_1,block_4_1,block_64_1,cyclic_4_1,cyclic_128_1,block_64_1,cyclic_32_1,complete_1,unroll_2,unroll_4,unroll_32,unroll_16,53.0,0.4108050256341933,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,8.59092,180,70,1,11,42,cyclic_64_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_4_1,block_16_1,cyclic_128_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_2_1,cyclic_128_1,complete_1,unroll_2,unroll_16,unroll_64,unroll_16,31.0,0.7822036022669567,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,13.38043,454,72,5,19,69,cyclic_64_1,block_32_1,block_4_1,cyclic_64_1,cyclic_16_1,block_32_1,block_8_1,cyclic_16_1,cyclic_32_1,block_64_1,block_64_1,cyclic_128_1,cyclic_8_1,complete_1,unroll_32,pipeline,unroll_64,unroll_2,41.25,0.5906165434206406,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,4.50721,357,81,9,21,82,cyclic_32_1,block_32_1,block_8_1,block_8_1,cyclic_8_1,cyclic_32_1,block_32_1,cyclic_64_1,cyclic_128_1,block_4_1,block_8_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_64,48.25,0.5036442416195949,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10.0,7.7602,145,70,2,21,46,block_2_1,block_8_1,cyclic_32_1,block_64_1,block_4_1,block_64_1,block_16_1,cyclic_64_1,block_4_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline,unroll_64,unroll_8,34.75,0.7408037302682036,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10.0,0.35828,172,65,6,24,43,cyclic_4_1,cyclic_4_1,block_2_1,cyclic_64_1,cyclic_2_1,block_16_1,cyclic_2_1,cyclic_128_1,block_64_1,cyclic_8_1,block_128_1,cyclic_4_1,cyclic_32_1,complete_1,pipeline_1,pipeline,unroll_4,unroll_64,34.5,0.808410115480007,False
workload_96.cpp,xczu7ev-ffvc1156-2-e,10.0,6.62896,484,74,5,16,49,block_8_1,block_64_1,block_4_1,cyclic_32_1,block_2_1,cyclic_64_1,cyclic_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_16_1,cyclic_8_1,complete_1,unroll_8,unroll_2,unroll_4,pipeline,36.0,0.7340820751680953,False
