Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
krnl_KALMAN_5.cpp,xczu7ev-ffvc1156-2-e,10.0,9.03215,156,92,14,12,46,block_8_1,block_8_1,block_32_1,block_16_1,block_8_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,41.0,0.603200180080467,False
krnl_KALMAN_6.cpp,xczu7ev-ffvc1156-2-e,10.0,14.13157,234,92,7,26,75,cyclic_8_1,cyclic_16_1,block_32_1,block_32_1,block_16_1,complete_1,unroll_8,pipeline,pipeline,unroll_2,unroll_2,unroll_8,unroll,50.0,0.3852612780335217,False
krnl_KALMAN_13.cpp,xczu7ev-ffvc1156-2-e,10.0,84.87212,410,92,7,7,29,cyclic_4_1,cyclic_8_1,block_4_1,cyclic_4_1,block_2_1,cyclic_4_1,pipeline,unroll_2,unroll_64,unroll_2,unroll,pipeline_1,pipeline,33.75,0.21818908886201827,False
krnl_KALMAN_16.cpp,xczu7ev-ffvc1156-2-e,10.0,103.44691,1193,92,14,16,85,cyclic_2_1,block_4_1,block_4_1,cyclic_32_1,block_16_1,cyclic_16_1,unroll_2,unroll_8,unroll_32,unroll_8,pipeline_1,unroll_4,unroll,51.75,0.10428761076898405,False
krnl_KALMAN_23.cpp,xczu7ev-ffvc1156-2-e,10.0,83.44673,232,94,3,6,38,cyclic_32_1,cyclic_8_1,cyclic_4_1,complete_1,cyclic_2_1,cyclic_32_1,pipeline_1,unroll_4,unroll_4,unroll_4,pipeline,unroll_8,unroll,35.25,0.22023477973722566,False
krnl_KALMAN_45.cpp,xczu7ev-ffvc1156-2-e,10.0,101.346,452,92,3,5,47,cyclic_8_1,cyclic_16_1,block_32_1,block_32_1,block_16_1,complete_1,unroll_8,pipeline,unroll_4,unroll_2,unroll_2,unroll_8,pipeline,36.75,0.14146192894574194,False
krnl_KALMAN_71.cpp,xczu7ev-ffvc1156-2-e,10.0,98.18789,446,94,7,8,42,cyclic_32_1,block_4_1,cyclic_32_1,block_4_1,cyclic_2_1,cyclic_32_1,pipeline_1,unroll_4,unroll_8,unroll_4,pipeline,unroll_8,unroll,37.75,0.14916141885357465,False
krnl_KALMAN_72.cpp,xczu7ev-ffvc1156-2-e,10.0,107.64515,1083,94,14,15,98,block_32_1,cyclic_16_1,cyclic_8_1,cyclic_4_1,complete_1,block_2_1,unroll_2,unroll_32,unroll_32,unroll_8,pipeline_1,unroll_4,unroll_2,55.25,0.10000000000000002,False
krnl_KALMAN_76.cpp,xczu7ev-ffvc1156-2-e,10.0,8.11084,131,94,7,7,34,block_32_1,block_16_1,block_32_1,complete_1,block_8_1,cyclic_16_1,pipeline,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_2,pipeline_1,35.5,0.7603711242809484,False
krnl_KALMAN_80.cpp,xczu7ev-ffvc1156-2-e,10.0,9.03213,167,92,14,12,53,block_8_1,block_8_1,block_32_1,complete_1,cyclic_8_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,42.75,0.5575303063758561,False
krnl_KALMAN_91.cpp,xczu7ev-ffvc1156-2-e,10.0,92.04829,424,94,3,8,73,cyclic_32_1,cyclic_8_1,cyclic_16_1,complete_1,block_8_1,cyclic_32_1,unroll_16,unroll_4,unroll_4,unroll_2,unroll,unroll_8,unroll,44.5,0.14597256421085258,False
krnl_KALMAN_92.cpp,xczu7ev-ffvc1156-2-e,10.0,21.71095,428,92,7,34,99,block_4_1,block_2_1,cyclic_4_1,block_4_1,cyclic_32_1,block_2_1,unroll_8,unroll,unroll_64,unroll_8,unroll,pipeline,pipeline,58.0,0.23900762581865836,False
krnl_KALMAN_98.cpp,xczu7ev-ffvc1156-2-e,10.0,98.18789,464,94,7,8,42,cyclic_32_1,block_4_1,cyclic_32_1,block_4_1,block_32_1,cyclic_32_1,pipeline_1,unroll_4,unroll_8,unroll_4,pipeline_1,unroll_8,unroll,37.75,0.14916141885357465,False
krnl_KALMAN_105.cpp,xczu7ev-ffvc1156-2-e,10.0,90.66544,298,94,3,8,97,cyclic_32_1,cyclic_8_1,cyclic_4_1,complete_1,cyclic_2_1,cyclic_32_1,pipeline_1,unroll,unroll_4,unroll_32,pipeline,unroll_8,pipeline_1,50.5,0.12602979152906504,False
krnl_KALMAN_120.cpp,xczu7ev-ffvc1156-2-e,10.0,102.03363,973,94,14,15,86,block_32_1,cyclic_16_1,cyclic_8_1,cyclic_4_1,complete_1,block_2_1,unroll_2,unroll_32,unroll_32,unroll_8,pipeline_1,unroll_4,unroll,52.25,0.10479453415545383,False
krnl_KALMAN_125.cpp,xczu7ev-ffvc1156-2-e,10.0,9.03213,159,92,14,12,53,block_8_1,block_8_1,block_32_1,complete_1,cyclic_8_1,cyclic_16_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,42.75,0.5575303063758561,False
krnl_KALMAN_129.cpp,xczu7ev-ffvc1156-2-e,10.0,90.17392,194,94,3,5,92,cyclic_32_1,block_4_1,cyclic_4_1,cyclic_4_1,block_8_1,cyclic_32_1,pipeline_1,unroll,unroll_4,unroll_32,pipeline,unroll_8,pipeline_1,48.5,0.1348639722195689,False
krnl_KALMAN_132.cpp,xczu7ev-ffvc1156-2-e,10.0,101.95621,409,94,7,7,31,cyclic_32_1,cyclic_8_1,cyclic_32_1,block_4_1,block_2_1,cyclic_4_1,pipeline_1,unroll_4,unroll_8,unroll_2,pipeline_1,unroll_8,pipeline,34.75,0.14354782563522564,False
krnl_KALMAN_135.cpp,xczu7ev-ffvc1156-2-e,10.0,104.04905,98,92,1,4,47,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll,unroll_4,unroll_8,unroll_2,pipeline,pipeline,36.0,0.13494438248768467,False
krnl_KALMAN_136.cpp,xczu7ev-ffvc1156-2-e,10.0,16.0159,660,94,7,9,54,block_32_1,block_8_1,cyclic_2_1,complete_1,cyclic_32_1,block_2_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_2,pipeline_1,41.0,0.5842945049098766,False
krnl_KALMAN_141.cpp,xczu7ev-ffvc1156-2-e,10.0,92.04829,415,94,3,8,72,cyclic_32_1,cyclic_8_1,block_2_1,complete_1,block_8_1,cyclic_32_1,unroll_16,unroll_4,unroll_4,unroll_2,unroll,unroll_8,unroll,44.25,0.14696435029462382,False
krnl_KALMAN_142.cpp,xczu7ev-ffvc1156-2-e,10.0,101.47914,152,92,1,3,25,block_8_1,block_8_1,block_32_1,cyclic_2_1,block_16_1,complete_1,unroll_2,pipeline,unroll_2,unroll_4,pipeline_1,unroll_8,unroll,30.25,0.15164547050864036,False
krnl_KALMAN_145.cpp,xczu7ev-ffvc1156-2-e,10.0,108.22728,535,92,3,6,44,cyclic_8_1,cyclic_16_1,block_32_1,block_16_1,block_16_1,complete_1,unroll_8,pipeline,unroll_4,unroll_2,unroll_2,unroll_8,pipeline,36.25,0.12368923946846486,False
krnl_KALMAN_150.cpp,xczu7ev-ffvc1156-2-e,10.0,81.75916,404,92,7,8,33,cyclic_4_1,block_4_1,block_4_1,cyclic_4_1,block_32_1,cyclic_32_1,pipeline,unroll_2,unroll_64,unroll_2,unroll,pipeline_1,unroll,35.0,0.23020983932082006,False
krnl_KALMAN_151.cpp,xczu7ev-ffvc1156-2-e,10.0,100.60201,605,92,7,10,83,cyclic_8_1,block_4_1,block_2_1,cyclic_32_1,block_16_1,cyclic_16_1,unroll_16,unroll_4,unroll_16,unroll_2,unroll,unroll_4,unroll_4,48.0,0.11506977535222392,False
krnl_KALMAN_153.cpp,xczu7ev-ffvc1156-2-e,10.0,21.26036,548,92,7,33,85,block_4_1,block_16_1,cyclic_4_1,block_4_1,block_8_1,cyclic_16_1,pipeline,unroll,unroll_64,unroll_8,unroll,pipeline,pipeline,54.25,0.2963420965528354,False
krnl_KALMAN_161.cpp,xczu7ev-ffvc1156-2-e,10.0,9.11405,154,92,14,12,43,block_8_1,block_8_1,block_32_1,complete_1,cyclic_4_1,cyclic_16_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll,unroll_2,40.25,0.6232263371413159,False
krnl_KALMAN_162.cpp,xczu7ev-ffvc1156-2-e,10.0,96.38987,73,92,1,2,27,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_2_1,cyclic_8_1,cyclic_16_1,unroll_2,pipeline,unroll_4,unroll_8,unroll_2,pipeline_1,pipeline,30.5,0.17097760377815802,False
krnl_KALMAN_163.cpp,xczu7ev-ffvc1156-2-e,10.0,96.8098,257,92,1,5,60,block_8_1,block_8_1,block_32_1,complete_1,cyclic_8_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_4,39.5,0.1487312219363659,False
krnl_KALMAN_165.cpp,xczu7ev-ffvc1156-2-e,10.0,16.64051,135,92,1,3,35,block_4_1,cyclic_2_1,cyclic_16_1,block_8_1,block_8_1,cyclic_16_1,pipeline,unroll,unroll_4,unroll_8,unroll_4,pipeline,unroll,32.75,0.7734124849182563,False
krnl_KALMAN_170.cpp,xczu7ev-ffvc1156-2-e,10.0,100.48591,176,92,1,3,38,cyclic_2_1,cyclic_16_1,block_4_1,cyclic_32_1,block_16_1,cyclic_16_1,unroll_2,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_4,unroll,33.5,0.15067837731131103,False
krnl_KALMAN_174.cpp,xczu7ev-ffvc1156-2-e,10.0,16.15926,697,94,7,12,73,block_32_1,block_8_1,block_2_1,complete_1,block_16_1,block_2_1,unroll_16,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,46.5,0.45514630463636185,False
krnl_KALMAN_176.cpp,xczu7ev-ffvc1156-2-e,10.0,101.35567,171,92,1,5,35,block_8_1,block_8_1,block_32_1,cyclic_4_1,block_16_1,complete_1,unroll_8,unroll,unroll_2,unroll_4,pipeline_1,unroll_8,unroll,33.25,0.14811469644530725,False
krnl_KALMAN_177.cpp,xczu7ev-ffvc1156-2-e,10.0,107.55159,625,94,3,11,82,cyclic_32_1,cyclic_8_1,block_2_1,complete_1,block_8_1,cyclic_32_1,unroll_16,unroll_4,unroll_4,unroll_2,unroll_2,unroll_8,pipeline,47.5,0.10638481366701666,False
krnl_KALMAN_178.cpp,xczu7ev-ffvc1156-2-e,10.0,91.64895,114,94,1,4,29,cyclic_32_1,cyclic_8_1,cyclic_16_1,complete_1,block_8_1,cyclic_32_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll,unroll_8,unroll,32.0,0.18930904895800227,False
krnl_KALMAN_179.cpp,xczu7ev-ffvc1156-2-e,10.0,101.26408,436,92,3,6,52,cyclic_8_1,cyclic_16_1,block_32_1,block_32_1,block_16_1,complete_1,unroll_8,pipeline,unroll_4,unroll_4,unroll_2,unroll_8,pipeline,38.25,0.1383166935959723,False
krnl_KALMAN_180.cpp,xczu7ev-ffvc1156-2-e,10.0,93.84361,433,92,7,9,80,cyclic_8_1,block_4_1,cyclic_2_1,cyclic_32_1,cyclic_32_1,cyclic_16_1,unroll_8,unroll_4,unroll_16,unroll_4,unroll,unroll_4,unroll_4,47.0,0.13173399993477264,False
krnl_KALMAN_182.cpp,xczu7ev-ffvc1156-2-e,10.0,9.03227,156,92,14,12,45,block_8_1,block_8_1,block_4_1,cyclic_4_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,40.75,0.6098830705339997,False
krnl_KALMAN_185.cpp,xczu7ev-ffvc1156-2-e,10.0,83.36481,288,92,7,9,48,cyclic_4_1,cyclic_8_1,cyclic_16_1,complete_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_4,unroll_4,unroll_4,pipeline,unroll_16,unroll,39.0,0.20387270516830105,False
krnl_KALMAN_186.cpp,xczu7ev-ffvc1156-2-e,10.0,97.25,412,92,3,6,49,cyclic_8_1,cyclic_16_1,block_32_1,block_32_1,block_16_1,complete_1,unroll_8,pipeline,unroll_4,unroll_2,unroll_2,unroll_8,unroll,37.5,0.15300177864607767,False
krnl_KALMAN_189.cpp,xczu7ev-ffvc1156-2-e,10.0,8.3568,694,94,7,7,29,block_32_1,block_16_1,block_2_1,complete_1,block_8_1,cyclic_16_1,pipeline,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,34.25,0.7959814510640654,False
krnl_KALMAN_191.cpp,xczu7ev-ffvc1156-2-e,10.0,30.20851,207,92,3,7,92,cyclic_16_1,cyclic_16_1,cyclic_4_1,cyclic_4_1,complete_1,cyclic_32_1,pipeline_1,unroll_32,unroll_4,unroll_32,pipeline_1,unroll_8,pipeline_1,48.5,0.3710271419785789,False
krnl_KALMAN_193.cpp,xczu7ev-ffvc1156-2-e,10.0,101.66851,234,94,3,5,47,block_32_1,cyclic_16_1,cyclic_8_1,block_4_1,complete_1,block_2_1,unroll_2,unroll_32,unroll_8,unroll_8,pipeline_1,unroll_4,unroll,37.25,0.13939248518518116,False
krnl_KALMAN_194.cpp,xczu7ev-ffvc1156-2-e,10.0,105.14633,1738,94,14,17,89,block_32_1,block_4_1,cyclic_8_1,cyclic_4_1,block_8_1,block_2_1,unroll_2,unroll,unroll_32,unroll_8,pipeline,unroll_4,unroll_2,53.5,0.10125896202326627,False
krnl_KALMAN_200.cpp,xczu7ev-ffvc1156-2-e,10.0,29.95442,82,92,1,4,33,cyclic_8_1,cyclic_2_1,cyclic_16_1,block_8_1,block_16_1,complete_1,unroll_8,unroll_2,unroll_4,unroll_2,unroll_2,pipeline,pipeline,32.5,0.6612980917697375,False
krnl_KALMAN_201.cpp,xczu7ev-ffvc1156-2-e,10.0,98.47849,85,92,1,4,36,cyclic_16_1,cyclic_2_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,unroll_8,unroll,unroll_4,unroll_8,pipeline_1,pipeline,pipeline,33.25,0.15834676763338562,False
krnl_KALMAN_202.cpp,xczu7ev-ffvc1156-2-e,10.0,13.47623,220,92,7,26,75,cyclic_4_1,cyclic_16_1,block_32_1,block_16_1,block_16_1,complete_1,unroll_8,pipeline,pipeline,unroll_2,unroll_2,unroll,unroll,50.0,0.38616499672232085,False
krnl_KALMAN_203.cpp,xczu7ev-ffvc1156-2-e,10.0,9.03227,159,92,14,12,45,block_8_1,block_8_1,block_4_1,cyclic_4_1,complete_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,40.75,0.6098830705339997,False
krnl_KALMAN_206.cpp,xczu7ev-ffvc1156-2-e,10.0,15.33156,131,92,1,3,34,cyclic_4_1,cyclic_8_1,cyclic_32_1,block_8_1,block_8_1,cyclic_4_1,pipeline,unroll_4,unroll_4,unroll_8,unroll_4,pipeline,unroll,32.5,0.7900299914632782,False
krnl_KALMAN_207.cpp,xczu7ev-ffvc1156-2-e,10.0,113.9412,480,94,1,9,71,cyclic_32_1,block_16_1,block_2_1,complete_1,block_8_1,cyclic_16_1,unroll_16,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_2,unroll,43.75,0.10427982857584372,False
krnl_KALMAN_208.cpp,xczu7ev-ffvc1156-2-e,10.0,16.48671,361,94,7,27,93,block_32_1,block_8_1,block_4_1,cyclic_4_1,block_16_1,cyclic_4_1,unroll_16,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline,55.25,0.286949933545699,False
krnl_KALMAN_209.cpp,xczu7ev-ffvc1156-2-e,10.0,57.68267,80,92,1,2,29,cyclic_16_1,cyclic_2_1,cyclic_4_1,block_32_1,cyclic_8_1,cyclic_16_1,unroll_2,pipeline,unroll_4,unroll_8,unroll_2,pipeline_1,pipeline,31.0,0.4181530799552273,False
krnl_KALMAN_210.cpp,xczu7ev-ffvc1156-2-e,10.0,90.66547,437,94,3,8,99,cyclic_32_1,cyclic_16_1,cyclic_4_1,complete_1,complete_1,cyclic_32_1,pipeline_1,unroll_32,unroll_4,unroll_32,pipeline_1,unroll_8,pipeline_1,51.0,0.12421101889033938,False
krnl_KALMAN_211.cpp,xczu7ev-ffvc1156-2-e,10.0,4.58848,761,94,7,7,38,block_32_1,block_16_1,block_2_1,complete_1,cyclic_2_1,cyclic_16_1,pipeline,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_8,unroll,36.5,0.73508747092093,False
krnl_KALMAN_212.cpp,xczu7ev-ffvc1156-2-e,10.0,20.40108,121,92,3,15,36,cyclic_4_1,block_2_1,cyclic_4_1,block_4_1,block_8_1,block_2_1,pipeline,unroll_2,unroll_32,unroll_2,unroll,pipeline,pipeline_1,36.5,0.6663296646550375,False
krnl_KALMAN_213.cpp,xczu7ev-ffvc1156-2-e,10.0,100.28104,338,92,3,5,47,cyclic_8_1,cyclic_16_1,cyclic_4_1,block_32_1,block_16_1,cyclic_16_1,unroll_8,pipeline,unroll_4,unroll_4,unroll_2,unroll_8,pipeline,36.75,0.14480243947086505,False
krnl_KALMAN_214.cpp,xczu7ev-ffvc1156-2-e,10.0,102.46215,144,94,1,3,31,block_32_1,block_8_1,block_32_1,cyclic_4_1,block_16_1,block_2_1,unroll_8,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll,32.25,0.14588713660020147,False
krnl_KALMAN_215.cpp,xczu7ev-ffvc1156-2-e,10.0,100.36262,193,92,1,4,47,cyclic_2_1,cyclic_16_1,block_4_1,cyclic_32_1,block_16_1,block_2_1,unroll_8,unroll,unroll_4,unroll_8,pipeline_1,unroll_4,unroll,36.0,0.14620533043749484,False
krnl_KALMAN_216.cpp,xczu7ev-ffvc1156-2-e,10.0,9.33957,223,94,7,7,36,block_32_1,cyclic_8_1,block_32_1,complete_1,block_8_1,cyclic_32_1,pipeline,unroll_4,pipeline_1,unroll_4,unroll,unroll_8,pipeline_1,36.0,0.7420454208140472,False
krnl_KALMAN_219.cpp,xczu7ev-ffvc1156-2-e,10.0,8.9496,163,92,14,12,45,block_8_1,block_16_1,block_32_1,cyclic_4_1,cyclic_8_1,block_8_1,pipeline_1,unroll,unroll_2,unroll_4,pipeline_1,unroll,unroll_2,40.75,0.6100110921131369,False
krnl_KALMAN_220.cpp,xczu7ev-ffvc1156-2-e,10.0,96.22621,243,94,3,7,53,cyclic_32_1,cyclic_8_1,cyclic_16_1,complete_1,block_8_1,cyclic_32_1,unroll_8,unroll_4,unroll_4,unroll_2,unroll,unroll_8,pipeline,39.25,0.15141149364773154,False
krnl_KALMAN_221.cpp,xczu7ev-ffvc1156-2-e,10.0,99.83073,148,94,1,3,21,cyclic_32_1,cyclic_8_1,cyclic_4_1,complete_1,block_8_1,cyclic_32_1,pipeline_1,unroll_4,unroll_4,unroll_2,pipeline,unroll_2,pipeline_1,29.75,0.15817835531850744,False
krnl_KALMAN_223.cpp,xczu7ev-ffvc1156-2-e,10.0,93.9426,159,92,1,3,24,block_8_1,block_8_1,block_32_1,block_32_1,block_8_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,30.0,0.18220360733843236,False
krnl_KALMAN_224.cpp,xczu7ev-ffvc1156-2-e,10.0,84.67528,206,92,7,9,46,block_4_1,cyclic_2_1,cyclic_16_1,complete_1,cyclic_2_1,cyclic_16_1,pipeline_1,unroll,unroll_4,unroll_4,pipeline,unroll_16,unroll,38.5,0.20019408093655286,False
krnl_KALMAN_228.cpp,xczu7ev-ffvc1156-2-e,10.0,22.08016,275,92,7,32,83,block_4_1,block_2_1,cyclic_2_1,block_4_1,cyclic_32_1,cyclic_16_1,unroll_2,unroll_8,unroll_64,unroll_8,unroll,pipeline,pipeline,53.5,0.3072347188515261,False
krnl_KALMAN_230.cpp,xczu7ev-ffvc1156-2-e,10.0,57.27318,78,92,1,3,22,block_8_1,block_4_1,cyclic_4_1,block_32_1,block_8_1,cyclic_2_1,unroll_4,unroll_8,unroll_4,unroll_4,pipeline_1,pipeline,pipeline,29.5,0.42890983091918955,False
krnl_KALMAN_231.cpp,xczu7ev-ffvc1156-2-e,10.0,99.88166,233,92,1,5,42,cyclic_16_1,block_8_1,block_32_1,block_32_1,block_16_1,complete_1,unroll_8,pipeline,unroll_2,unroll_2,unroll_2,unroll_8,unroll,35.0,0.14992051085742975,False
krnl_KALMAN_232.cpp,xczu7ev-ffvc1156-2-e,10.0,102.12436,276,92,3,5,32,block_8_1,cyclic_16_1,block_32_1,cyclic_2_1,block_16_1,complete_1,unroll_2,pipeline,unroll_4,unroll_4,pipeline_1,unroll_8,unroll,33.0,0.145930796762323,False
krnl_KALMAN_233.cpp,xczu7ev-ffvc1156-2-e,10.0,99.43124,166,92,1,4,50,block_8_1,block_8_1,block_32_1,block_8_1,cyclic_8_1,block_8_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_4,36.75,0.14755850660298786,False
krnl_KALMAN_234.cpp,xczu7ev-ffvc1156-2-e,10.0,99.99435,125,94,1,4,39,block_32_1,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,unroll_8,pipeline_1,unroll_4,unroll_4,unroll_2,pipeline,pipeline_1,34.5,0.15053543338029268,False
krnl_KALMAN_235.cpp,xczu7ev-ffvc1156-2-e,10.0,95.3352,111,92,1,4,59,block_4_1,cyclic_2_1,cyclic_16_1,complete_1,cyclic_8_1,block_8_1,pipeline,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,unroll_4,39.0,0.15521779465807198,False
krnl_KALMAN_236.cpp,xczu7ev-ffvc1156-2-e,10.0,17.29559,147,92,1,4,37,block_8_1,block_8_1,block_32_1,block_8_1,block_8_1,cyclic_16_1,pipeline_1,unroll,unroll_4,unroll_8,unroll_4,pipeline,unroll,33.5,0.7532782034720478,False
krnl_KALMAN_241.cpp,xczu7ev-ffvc1156-2-e,10.0,20.40108,148,94,3,16,40,cyclic_32_1,block_2_1,cyclic_4_1,block_4_1,block_8_1,block_2_1,pipeline_1,unroll_2,unroll_32,unroll_2,unroll,pipeline,pipeline_1,38.25,0.627763886935926,False
