Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
Stencil2D_0.cpp,xczu7ev-ffvc1156-2-e,10.0,270.77249,82,2,1,1,3,cyclic_32_1,block_8_1,unroll_2,unroll_8,1.75,0.10839643231979286,False
Stencil2D_1.cpp,xczu7ev-ffvc1156-2-e,10.0,10.10388,82,2,1,1,2,block_128_1,cyclic_16_1,unroll_8,pipeline,1.5,0.9865756420754658,False
Stencil2D_2.cpp,xczu7ev-ffvc1156-2-e,10.0,139.78121,39,5,1,1,1,block_128_1,block_32_1,unroll_2,unroll_2,2.0,0.37229678474858763,False
Stencil2D_3.cpp,xczu7ev-ffvc1156-2-e,10.0,158.62775,52,2,1,1,3,block_64_1,block_16_1,unroll_2,unroll_8,1.75,0.3117787398257238,False
Stencil2D_4.cpp,xczu7ev-ffvc1156-2-e,10.0,10.09499,88,1,1,3,14,block_4_1,cyclic_32_1,unroll_32,pipeline_1,4.75,0.8976226357679001,False
Stencil2D_5.cpp,xczu7ev-ffvc1156-2-e,10.0,10.76106,99,1,1,6,17,block_2_1,cyclic_32_1,unroll_32,pipeline,6.25,0.8581989793721204,False
Stencil2D_6.cpp,xczu7ev-ffvc1156-2-e,10.0,10.29124,39,1,1,1,1,block_64_1,block_4_1,unroll_2,pipeline,1.0,0.999042733027439,False
Stencil2D_7.cpp,xczu7ev-ffvc1156-2-e,10.0,5.25359,419,11,8,18,54,block_32_1,block_4_1,pipeline,unroll_4,22.75,0.492313912009526,False
Stencil2D_8.cpp,xczu7ev-ffvc1156-2-e,10.0,5.12797,431,1,30,28,72,block_64_1,cyclic_128_1,pipeline_1,pipeline_1,32.75,0.21771982623368122,False
Stencil2D_9.cpp,xczu7ev-ffvc1156-2-e,10.0,37.55056,46,1,1,2,4,block_2_1,cyclic_64_1,unroll_2,unroll_8,2.0,0.8323301005989784,False
Stencil2D_10.cpp,xczu7ev-ffvc1156-2-e,10.0,5.23422,400,1,15,21,59,block_2_1,cyclic_64_1,pipeline,unroll_64,24.0,0.4492172299435363,False
Stencil2D_11.cpp,xczu7ev-ffvc1156-2-e,10.0,5.13491,401,1,1,8,43,cyclic_2_1,block_64_1,pipeline,unroll_16,13.25,0.7005632242327658,False
Stencil2D_15.cpp,xczu7ev-ffvc1156-2-e,10.0,5.13114,403,1,15,20,58,cyclic_4_1,cyclic_64_1,pipeline,unroll_2,23.5,0.46615074731564166,False
Stencil2D_16.cpp,xczu7ev-ffvc1156-2-e,10.0,5.13502,407,2,15,19,58,cyclic_32_1,cyclic_64_1,pipeline_1,unroll_4,23.5,0.46615093989930567,False
Stencil2D_17.cpp,xczu7ev-ffvc1156-2-e,10.0,10.14444,41,1,1,1,4,cyclic_32_1,cyclic_64_1,unroll_4,pipeline_1,1.75,0.978602813050821,False
Stencil2D_18.cpp,xczu7ev-ffvc1156-2-e,10.0,72.3682,161,2,35,13,24,block_4_1,cyclic_8_1,unroll_32,unroll_4,18.5,0.42490213462665716,False
Stencil2D_19.cpp,xczu7ev-ffvc1156-2-e,10.0,20.63934,43,3,1,1,2,cyclic_8_1,cyclic_16_1,unroll_2,unroll_16,1.75,0.9294163814154971,False
Stencil2D_20.cpp,xczu7ev-ffvc1156-2-e,10.0,10.17001,40,1,1,1,1,cyclic_4_1,cyclic_2_1,unroll_2,pipeline_1,1.0,0.9997986663689175,False
Stencil2D_21.cpp,xczu7ev-ffvc1156-2-e,10.0,10.76325,54,1,1,3,7,block_2_1,cyclic_4_1,unroll_8,pipeline_1,3.0,0.9404998046827067,False
Stencil2D_22.cpp,xczu7ev-ffvc1156-2-e,10.0,9.90298,105,2,1,6,18,cyclic_8_1,block_8_1,unroll_64,pipeline_1,6.75,0.8483630281960538,False
Stencil2D_25.cpp,xczu7ev-ffvc1156-2-e,10.0,5.36985,419,5,4,14,49,block_16_1,block_2_1,pipeline,unroll_2,18.0,0.600359993184413,False
Stencil2D_26.cpp,xczu7ev-ffvc1156-2-e,10.0,8.9856,267,1,1,5,45,cyclic_64_1,cyclic_4_1,unroll_16,unroll_64,13.0,0.6965358343494811,False
Stencil2D_28.cpp,xczu7ev-ffvc1156-2-e,10.0,140.04023,61,1,1,2,4,block_64_1,cyclic_128_1,unroll_4,unroll_2,2.0,0.37141004637014186,False
Stencil2D_29.cpp,xczu7ev-ffvc1156-2-e,10.0,5.12583,362,5,15,20,57,cyclic_64_1,cyclic_16_1,pipeline_1,unroll_64,24.25,0.44089404906972307,False
