Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
MatrixMultiplication_0.cpp,xczu7ev-ffvc1156-2-e,10.0,59076.79365,37,2,2,1,2,block_4_1,unroll_8,unroll_2,unroll_2,1.75,0.182395657255702,False
MatrixMultiplication_11.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.97477,102,1,1,5,14,cyclic_4_1,unroll_32,unroll_2,pipeline,5.25,0.7886666677800368,False
MatrixMultiplication_12.cpp,xczu7ev-ffvc1156-2-e,10.0,69059.57637,693,10,2,6,27,block_16_1,unroll_4,unroll_32,unroll_2,11.25,0.10823240101652139,False
MatrixMultiplication_13.cpp,xczu7ev-ffvc1156-2-e,10.0,10821.48997,927,1,1,21,46,block_4_1,unroll_8,unroll_32,pipeline,17.25,0.31346282599994535,False
MatrixMultiplication_16.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.83365,33,1,1,1,3,cyclic_2_1,unroll_4,unroll_4,pipeline,1.5,0.9001060201909277,False
MatrixMultiplication_24.cpp,xczu7ev-ffvc1156-2-e,10.0,32223.58533,40,1,2,1,2,cyclic_2_1,unroll_2,unroll_16,unroll_2,1.5,0.49694564452995316,False
MatrixMultiplication_26.cpp,xczu7ev-ffvc1156-2-e,10.0,9082.69578,77,2,2,1,5,cyclic_4_1,unroll_2,unroll_16,unroll_8,2.5,0.9030638935863653,False
MatrixMultiplication_31.cpp,xczu7ev-ffvc1156-2-e,10.0,10822.63621,163,1,1,6,20,block_2_1,unroll_16,unroll_8,pipeline_1,7.0,0.7267056865978542,False
MatrixMultiplication_45.cpp,xczu7ev-ffvc1156-2-e,10.0,59068.92821,974,1,2,8,43,block_2_1,unroll_64,unroll_8,unroll_2,13.5,0.12800491070477957,False
MatrixMultiplication_51.cpp,xczu7ev-ffvc1156-2-e,10.0,63273.72101,281,10,2,3,16,block_16_1,unroll_16,unroll_4,unroll_2,7.75,0.14092454865509424,False
MatrixMultiplication_52.cpp,xczu7ev-ffvc1156-2-e,10.0,10823.94885,32,1,1,1,3,cyclic_2_1,unroll_4,unroll_4,pipeline,1.5,0.9002442892082018,False
MatrixMultiplication_57.cpp,xczu7ev-ffvc1156-2-e,10.0,78540.98565,50,5,2,1,7,cyclic_16_1,unroll_8,unroll_2,unroll_2,3.75,0.10124700155510064,False
MatrixMultiplication_58.cpp,xczu7ev-ffvc1156-2-e,10.0,48680.16293,78,1,2,2,9,cyclic_4_1,unroll_32,unroll_2,unroll_2,3.5,0.27313155186080584,False
MatrixMultiplication_74.cpp,xczu7ev-ffvc1156-2-e,10.0,61682.52549,310,5,2,4,21,cyclic_16_1,unroll_32,unroll_2,unroll_2,8.0,0.1480166087652736,False
MatrixMultiplication_80.cpp,xczu7ev-ffvc1156-2-e,10.0,9073.4849,75,2,2,1,5,cyclic_4_1,unroll_2,unroll_16,unroll_8,2.5,0.9031957584784325,False
MatrixMultiplication_81.cpp,xczu7ev-ffvc1156-2-e,10.0,10821.48997,542,1,1,13,38,block_2_1,unroll_8,unroll_32,pipeline,13.25,0.4580290629896365,False
MatrixMultiplication_82.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.83173,1320,10,1,34,71,cyclic_16_1,unroll_16,unroll_8,pipeline,29.0,0.10281024917880408,False
MatrixMultiplication_86.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.83621,84,2,1,5,11,block_4_1,unroll_2,unroll_32,pipeline,4.75,0.8027919008700632,False
MatrixMultiplication_88.cpp,xczu7ev-ffvc1156-2-e,10.0,32228.16901,45,1,2,1,2,cyclic_2_1,unroll_8,unroll_2,unroll_2,1.5,0.49687199500533186,False
MatrixMultiplication_89.cpp,xczu7ev-ffvc1156-2-e,10.0,10826.56805,95,1,1,5,13,cyclic_4_1,unroll_32,unroll_2,pipeline,5.0,0.7962258386906733,False
MatrixMultiplication_91.cpp,xczu7ev-ffvc1156-2-e,10.0,10823.95141,1645,5,1,33,68,cyclic_16_1,unroll_2,unroll_64,pipeline,26.75,0.1173573428086825,False
MatrixMultiplication_94.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.81125,382,10,1,17,34,block_16_1,unroll_16,unroll_4,pipeline_1,15.5,0.3725075617507959,False
MatrixMultiplication_99.cpp,xczu7ev-ffvc1156-2-e,10.0,78368.62981,71,5,2,2,6,cyclic_16_1,unroll_2,unroll_16,unroll_2,3.75,0.10140701964593005,False
MatrixMultiplication_101.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.81077,840,1,1,22,52,cyclic_4_1,unroll_64,unroll_4,pipeline,19.0,0.2612700510112645,False
MatrixMultiplication_102.cpp,xczu7ev-ffvc1156-2-e,10.0,6779.0657,550,1,1,3,11,cyclic_2_1,unroll_8,unroll_2,unroll_64,4.0,0.8967930601183461,False
MatrixMultiplication_103.cpp,xczu7ev-ffvc1156-2-e,10.0,59071.55013,62,1,2,1,8,block_2_1,unroll_16,unroll_4,unroll_2,3.0,0.18152658808868488,False
MatrixMultiplication_104.cpp,xczu7ev-ffvc1156-2-e,10.0,10830.50245,96,23,1,8,17,cyclic_64_1,unroll_4,unroll_2,pipeline,12.25,0.49907965473161575,False
MatrixMultiplication_106.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.97477,76,1,1,3,11,cyclic_2_1,unroll_32,unroll_2,pipeline,4.0,0.821131280915248,False
MatrixMultiplication_107.cpp,xczu7ev-ffvc1156-2-e,10.0,66543.96741,829,10,2,6,28,block_16_1,unroll_16,unroll_8,unroll_2,11.5,0.11359442243847087,False
MatrixMultiplication_109.cpp,xczu7ev-ffvc1156-2-e,10.0,9071.51882,84,2,2,1,5,cyclic_4_1,unroll_2,unroll_16,unroll_8,2.5,0.9032239066944846,False
MatrixMultiplication_111.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.83141,203,1,1,7,22,cyclic_2_1,unroll_32,unroll_4,pipeline,7.75,0.6959065828726948,False
MatrixMultiplication_112.cpp,xczu7ev-ffvc1156-2-e,10.0,10831.83173,1346,10,1,34,71,cyclic_16_1,unroll_16,unroll_8,pipeline,29.0,0.10281024917880408,False
MatrixMultiplication_114.cpp,xczu7ev-ffvc1156-2-e,10.0,6559.52138,341,1,1,2,10,cyclic_2_1,unroll_4,unroll_16,unroll_16,3.5,0.9146331251625679,False
MatrixMultiplication_120.cpp,xczu7ev-ffvc1156-2-e,10.0,10823.95141,45,1,1,2,6,cyclic_4_1,unroll_2,unroll_16,pipeline,2.5,0.8783291396651558,False
MatrixMultiplication_121.cpp,xczu7ev-ffvc1156-2-e,10.0,10834.43717,48,20,1,4,9,block_32_1,unroll_2,unroll_4,pipeline_1,8.5,0.6634509305025857,False
MatrixMultiplication_122.cpp,xczu7ev-ffvc1156-2-e,10.0,57739.87077,33,10,2,1,2,block_16_1,unroll_4,unroll_2,unroll_2,3.75,0.1900554340313072,False
