Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_4_1,Replicate_Count,Area,Weight,is_pareto
bbgemm_177.c,xczu7ev-ffvc1156-2-e,10,3.19552,353,1,1,41,48.5,unroll_16,unroll_16,unroll_2,pipeline_1,pipeline_1,2,22.875,0.42669154915,False
bbgemm_394.c,xczu7ev-ffvc1156-2-e,10,2.0896,446,1,1,54,48,unroll_16,unroll_16,unroll_2,pipeline_1,unroll_8,1,26,0.416342754105,False
bbgemm_439.c,xczu7ev-ffvc1156-2-e,10,10.87552,488,1,1,23,36,unroll_16,unroll_16,unroll_2,unroll_2,pipeline_1,1,15.25,0.325931947808,False
bbgemm_306.c,xczu7ev-ffvc1156-2-e,10,0.37896,124,1,6,60,40,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,2,26.75,1,True
bbgemm_340.c,xczu7ev-ffvc1156-2-e,10,0.37896,146,1,6,60,40,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_8,2,26.75,1,True
bbgemm_292.c,xczu7ev-ffvc1156-2-e,10,0.37896,132,1,6,60,40,unroll_16,unroll_2,pipeline_1,unroll_2,pipeline_1,2,26.75,1,True
bbgemm_410.c,xczu7ev-ffvc1156-2-e,10,0.37896,134.5,1,6,60,40,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_8,2,26.75,1,True
bbgemm_203.c,xczu7ev-ffvc1156-2-e,10,3.19592,76,1,1,10,12.5,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,4,6.125,0.855675713788,False
bbgemm_382.c,xczu7ev-ffvc1156-2-e,10,2.11048,73,1,1,13,13.5,unroll_16,unroll_2,unroll_2,pipeline_1,unroll_8,2,7.125,0.826541429366,False
bbgemm_201.c,xczu7ev-ffvc1156-2-e,10,10.22056,75.5,1,1,6,9.5,unroll_16,unroll_2,unroll_2,unroll_2,pipeline_1,2,4.375,0.565720536023,False
bbgemm_366.c,xczu7ev-ffvc1156-2-e,10,23.98312,61,1,1,2,6,unroll_16,unroll_2,unroll_2,unroll_2,unroll_2,1,2.5,0.115283823569,False
bbgemm_391.c,xczu7ev-ffvc1156-2-e,10,3.626,106,1,1,6,13,unroll_16,unroll_2,unroll_2,unroll_2,unroll_8,1,5.25,0.87516365677,False
bbgemm_450.c,xczu7ev-ffvc1156-2-e,10,2.09,171,1,1,27,26,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_8,1,13.75,0.639662776571,False
bbgemm_296.c,xczu7ev-ffvc1156-2-e,10,2.8064,1275,1,1,26,45,unroll_16,unroll_32,unroll_2,unroll_4,unroll_8,1,18.25,0.547578261303,False
bbgemm_270.c,xczu7ev-ffvc1156-2-e,10,3.19576,139,1,1,20.5,24.5,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,4,11.75,0.663163497666,False
bbgemm_110.c,xczu7ev-ffvc1156-2-e,10,3.19576,145.5,1,1,20.5,24.5,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_2,2,11.75,0.663163497666,False
bbgemm_204.c,xczu7ev-ffvc1156-2-e,10,2.11032,152,1,1,27,27,unroll_16,unroll_4,unroll_2,pipeline_1,unroll_8,2,14,0.63048309588,False
bbgemm_163.c,xczu7ev-ffvc1156-2-e,10,10.2204,170,1,1,12.5,19,unroll_16,unroll_4,unroll_2,unroll_2,pipeline_1,2,8.375,0.491497515212,False
bbgemm_218.c,xczu7ev-ffvc1156-2-e,10,9.48312,430,1,1,25,38,unroll_16,unroll_4,unroll_2,unroll_4,pipeline_1,1,16.25,0.316897290291,False
bbgemm_278.c,xczu7ev-ffvc1156-2-e,10,2.08984,422,1,1,54,49,unroll_16,unroll_4,unroll_4,pipeline_1,unroll_8,1,26.25,0.413188615409,False
bbgemm_455.c,xczu7ev-ffvc1156-2-e,10,9.5548,541,1,1,25,39,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,16.5,0.312043240977,False
