Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
gemm_185.c,xczu7ev-ffvc1156-2-e,10,1.52073,148.5,0,1,46,35,unroll_16,pipeline_1,pipeline_1,4,20.5,0.426618097546,False
gemm_158.c,xczu7ev-ffvc1156-2-e,10,1.52073,164,0,1,46,35,unroll_16,pipeline_1,unroll_16,2,20.5,0.426618097546,False
gemm_236.c,xczu7ev-ffvc1156-2-e,10,1.52073,153.5,0,1,46,35,unroll_16,pipeline_1,unroll_2,2,20.5,0.426618097546,False
gemm_100.c,xczu7ev-ffvc1156-2-e,10,1.52073,163.5,0,1,46,35,unroll_16,pipeline_1,unroll_32,2,20.5,0.426618097546,False
gemm_243.c,xczu7ev-ffvc1156-2-e,10,1.52073,166,0,1,46,35,unroll_16,pipeline_1,unroll_4,2,20.5,0.426618097546,False
gemm_164.c,xczu7ev-ffvc1156-2-e,10,1.52073,172,0,1,46,35,unroll_16,pipeline_1,unroll_64,2,20.5,0.426618097546,False
gemm_201.c,xczu7ev-ffvc1156-2-e,10,1.52073,152,0,1,46,35,unroll_16,pipeline_1,unroll_8,2,20.5,0.426618097546,False
gemm_67.c,xczu7ev-ffvc1156-2-e,10,9.62885,333.5,0,0,17,26,unroll_16,unroll_16,pipeline_1,2,10.75,0.432952418739,False
gemm_103.c,xczu7ev-ffvc1156-2-e,10,17.73893,357,0,0,6,15,unroll_16,unroll_16,unroll_4,1,5.25,0.19061459003,False
gemm_213.c,xczu7ev-ffvc1156-2-e,10,8.33605,41,0,0,2,4,unroll_16,unroll_2,pipeline_1,1,1.5,1,True
gemm_303.c,xczu7ev-ffvc1156-2-e,10,6.73861,436,0,1,17,21,unroll_16,unroll_2,unroll_64,1,9.75,0.554342397866,False
gemm_191.c,xczu7ev-ffvc1156-2-e,10,8.31685,1122,0,0,38,57,unroll_16,unroll_32,pipeline_1,1,23.75,0.224531139904,False
gemm_224.c,xczu7ev-ffvc1156-2-e,10,8.32581,71,0,0,5,7,unroll_16,unroll_4,pipeline_1,1,3,0.660873437639,False
gemm_115.c,xczu7ev-ffvc1156-2-e,10,9.63141,124.5,0,0,8.5,13.5,unroll_16,unroll_8,pipeline_1,2,5.5,0.553409061809,False
gemm_138.c,xczu7ev-ffvc1156-2-e,10,14.30085,827,0,0,5,16,unroll_16,unroll_8,unroll_16,1,5.25,0.327051064073,False
gemm_267.c,xczu7ev-ffvc1156-2-e,10,1.73125,3119,0,1,20,38,unroll_16,unroll_8,unroll_64,1,14.75,0.634597274429,False
gemm_150.c,xczu7ev-ffvc1156-2-e,10,15.44773,273,0,0,4,12,unroll_16,unroll_8,unroll_8,1,4,0.280442483009,False
gemm_118.c,xczu7ev-ffvc1156-2-e,10,1.52129,37,0,1,6,5,unroll_2,pipeline_1,pipeline_1,4,3,1,True
gemm_63.c,xczu7ev-ffvc1156-2-e,10,1.52129,40,0,1,6,5,unroll_2,pipeline_1,unroll_16,2,3,1,True
gemm_109.c,xczu7ev-ffvc1156-2-e,10,1.52129,40,0,1,6,5,unroll_2,pipeline_1,unroll_2,2,3,1,True
gemm_131.c,xczu7ev-ffvc1156-2-e,10,1.52129,43.5,0,1,6,5,unroll_2,pipeline_1,unroll_32,2,3,1,True
gemm_134.c,xczu7ev-ffvc1156-2-e,10,1.52129,38.5,0,1,6,5,unroll_2,pipeline_1,unroll_4,2,3,1,True
gemm_129.c,xczu7ev-ffvc1156-2-e,10,1.52129,40,0,1,6,5,unroll_2,pipeline_1,unroll_64,2,3,1,True
gemm_156.c,xczu7ev-ffvc1156-2-e,10,1.52129,37,0,1,6,5,unroll_2,pipeline_1,unroll_8,2,3,1,True
gemm_0.c,xczu7ev-ffvc1156-2-e,10,9.62913,38,0,0,2,3,unroll_2,unroll_16,pipeline_1,2,1.25,1,True
gemm_154.c,xczu7ev-ffvc1156-2-e,10,14.29857,108,0,0,1,8,unroll_2,unroll_16,unroll_16,1,2.25,0.339359552017,False
gemm_122.c,xczu7ev-ffvc1156-2-e,10,22.32673,34,0,0,0,3,unroll_2,unroll_16,unroll_2,1,0.75,0.104577618639,False
gemm_39.c,xczu7ev-ffvc1156-2-e,10,17.73921,43,0,0,1,3,unroll_2,unroll_16,unroll_4,1,1,0.195150107661,False
gemm_132.c,xczu7ev-ffvc1156-2-e,10,1.37057,311,0,2,4,14,unroll_2,unroll_16,unroll_64,1,5,1,True
gemm_218.c,xczu7ev-ffvc1156-2-e,10,15.44545,69,0,0,1,5,unroll_2,unroll_16,unroll_8,1,1.5,0.284283439771,False
gemm_211.c,xczu7ev-ffvc1156-2-e,10,9.64705,26.5,0,0,0,0,unroll_2,unroll_2,pipeline_1,2,0,1,True
gemm_104.c,xczu7ev-ffvc1156-2-e,10,14.31649,34,0,0,0,2,unroll_2,unroll_2,unroll_16,1,0.5,0.337872696277,False
gemm_186.c,xczu7ev-ffvc1156-2-e,10,22.34465,24,0,0,0,0,unroll_2,unroll_2,unroll_2,1,0,0.104379981896,False
gemm_287.c,xczu7ev-ffvc1156-2-e,10,13.74305,40,0,0,0,3,unroll_2,unroll_2,unroll_32,1,0.75,0.368237047262,False
gemm_269.c,xczu7ev-ffvc1156-2-e,10,17.75713,26,0,0,0,1,unroll_2,unroll_2,unroll_4,1,0.25,0.194335568019,False
gemm_152.c,xczu7ev-ffvc1156-2-e,10,6.73889,50,0,1,2,5,unroll_2,unroll_2,unroll_64,1,2,1,True
gemm_79.c,xczu7ev-ffvc1156-2-e,10,15.46337,27,0,0,0,1,unroll_2,unroll_2,unroll_8,1,0.25,0.282673397916,False
gemm_121.c,xczu7ev-ffvc1156-2-e,10,9.62785,61.5,0,0,4,6,unroll_2,unroll_32,pipeline_1,2,2.5,0.615635135145,False
gemm_288.c,xczu7ev-ffvc1156-2-e,10,14.29729,246,0,0,2,10,unroll_2,unroll_32,unroll_16,1,3,0.338003054799,False
gemm_102.c,xczu7ev-ffvc1156-2-e,10,22.32545,48,0,0,1,4,unroll_2,unroll_32,unroll_2,1,1.25,0.104595371097,False
gemm_291.c,xczu7ev-ffvc1156-2-e,10,17.73793,66,0,0,1,6,unroll_2,unroll_32,unroll_4,1,1.75,0.195457024126,False
gemm_188.c,xczu7ev-ffvc1156-2-e,10,1.35137,856,0,3,5,20,unroll_2,unroll_32,unroll_64,1,7,1,True
gemm_272.c,xczu7ev-ffvc1156-2-e,10,15.44417,110,0,0,2,9,unroll_2,unroll_32,unroll_8,1,2.75,0.283648937661,False
gemm_212.c,xczu7ev-ffvc1156-2-e,10,9.63681,27.5,0,0,0,1,unroll_2,unroll_4,pipeline_1,2,0.25,1,True
gemm_286.c,xczu7ev-ffvc1156-2-e,10,14.30625,40,0,0,0,3,unroll_2,unroll_4,unroll_16,1,0.75,0.33851919147,False
gemm_277.c,xczu7ev-ffvc1156-2-e,10,22.33441,27,0,0,0,1,unroll_2,unroll_4,unroll_2,1,0.25,0.104483134521,False
gemm_270.c,xczu7ev-ffvc1156-2-e,10,13.73281,59,0,0,0,5,unroll_2,unroll_4,unroll_32,1,1.25,0.369366559951,False
gemm_254.c,xczu7ev-ffvc1156-2-e,10,17.74689,33,0,0,0,1,unroll_2,unroll_4,unroll_4,1,0.25,0.194665771925,False
gemm_233.c,xczu7ev-ffvc1156-2-e,10,3.40065,81,0,1,3,7,unroll_2,unroll_4,unroll_64,1,2.75,1,True
gemm_136.c,xczu7ev-ffvc1156-2-e,10,9.62593,128,0,0,8,13.5,unroll_2,unroll_64,pipeline_1,2,5.375,0.556327350089,False
gemm_19.c,xczu7ev-ffvc1156-2-e,10,14.29537,1006,0,0,4,25,unroll_2,unroll_64,unroll_16,1,7.25,0.310920340125,False
gemm_187.c,xczu7ev-ffvc1156-2-e,10,22.32353,79,0,0,3,9,unroll_2,unroll_64,unroll_2,1,3,0.104560050057,False
gemm_3.c,xczu7ev-ffvc1156-2-e,10,17.73601,142,0,0,3,13,unroll_2,unroll_64,unroll_4,1,4,0.193556775847,False
gemm_98.c,xczu7ev-ffvc1156-2-e,10,15.44225,294,0,0,3,17,unroll_2,unroll_64,unroll_8,1,5,0.276648495587,False
gemm_182.c,xczu7ev-ffvc1156-2-e,10,9.63169,32,0,0,1,1.5,unroll_2,unroll_8,pipeline_1,2,0.625,1,True
gemm_196.c,xczu7ev-ffvc1156-2-e,10,22.32929,29,0,0,0,1,unroll_2,unroll_8,unroll_2,1,0.25,0.104519197031,False
gemm_302.c,xczu7ev-ffvc1156-2-e,10,17.74177,33,0,0,0,2,unroll_2,unroll_8,unroll_4,1,0.5,0.194962489205,False
gemm_172.c,xczu7ev-ffvc1156-2-e,10,1.73153,124,0,1,3,10,unroll_2,unroll_8,unroll_64,1,3.5,0.966526460016,False
gemm_142.c,xczu7ev-ffvc1156-2-e,10,1.52069,314.5,0,1,92,65,unroll_32,pipeline_1,pipeline_1,4,39.5,0.101666012787,False
gemm_127.c,xczu7ev-ffvc1156-2-e,10,1.52069,332.5,0,1,92,65,unroll_32,pipeline_1,unroll_16,2,39.5,0.101666012787,False
gemm_173.c,xczu7ev-ffvc1156-2-e,10,1.52069,313,0,1,92,65,unroll_32,pipeline_1,unroll_2,2,39.5,0.101666012787,False
gemm_183.c,xczu7ev-ffvc1156-2-e,10,1.52069,332.5,0,1,92,65,unroll_32,pipeline_1,unroll_32,2,39.5,0.101666012787,False
gemm_234.c,xczu7ev-ffvc1156-2-e,10,1.52069,335,0,1,92,65,unroll_32,pipeline_1,unroll_4,2,39.5,0.101666012787,False
gemm_206.c,xczu7ev-ffvc1156-2-e,10,1.52069,364,0,1,92,65,unroll_32,pipeline_1,unroll_64,2,39.5,0.101666012787,False
gemm_160.c,xczu7ev-ffvc1156-2-e,10,1.52069,317,0,1,92,65,unroll_32,pipeline_1,unroll_8,2,39.5,0.101666012787,False
gemm_30.c,xczu7ev-ffvc1156-2-e,10,9.62883,1188,0,0,34.5,51,unroll_32,unroll_16,pipeline_1,2,21.375,0.225143391305,False
gemm_140.c,xczu7ev-ffvc1156-2-e,10,22.32643,478,0,0,12,22,unroll_32,unroll_16,unroll_2,1,8.5,0.102291891487,False
gemm_252.c,xczu7ev-ffvc1156-2-e,10,9.64675,67.5,0,0,4.5,7,unroll_32,unroll_2,pipeline_1,2,2.875,0.607578972881,False
gemm_279.c,xczu7ev-ffvc1156-2-e,10,14.31619,261,0,0,2,13,unroll_32,unroll_2,unroll_16,1,3.75,0.334504607564,False
gemm_204.c,xczu7ev-ffvc1156-2-e,10,22.34435,51,0,0,1,5,unroll_32,unroll_2,unroll_2,1,1.5,0.10447680678,False
gemm_278.c,xczu7ev-ffvc1156-2-e,10,17.75683,70,0,0,1,7,unroll_32,unroll_2,unroll_4,1,2,0.194835947167,False
gemm_237.c,xczu7ev-ffvc1156-2-e,10,6.73859,2034,0,1,34,32,unroll_32,unroll_2,unroll_64,1,16.75,0.402448137516,False
gemm_290.c,xczu7ev-ffvc1156-2-e,10,22.32515,1869,0,0,23,34,unroll_32,unroll_32,unroll_2,1,14.25,0.1,False
gemm_295.c,xczu7ev-ffvc1156-2-e,10,17.74659,133,0,0,3,11,unroll_32,unroll_4,unroll_4,1,3.5,0.194014862259,False
gemm_296.c,xczu7ev-ffvc1156-2-e,10,8.32067,315,0,0,19,30,unroll_32,unroll_8,pipeline_1,1,12.25,0.435375816992,False
gemm_244.c,xczu7ev-ffvc1156-2-e,10,22.32899,187,0,0,6,14,unroll_32,unroll_8,unroll_2,1,5,0.104011649498,False
gemm_117.c,xczu7ev-ffvc1156-2-e,10,1.52097,54.5,0,1,12,9,unroll_4,pipeline_1,pipeline_1,4,5.5,0.920368629797,False
gemm_128.c,xczu7ev-ffvc1156-2-e,10,1.52097,51.5,0,1,12,9,unroll_4,pipeline_1,unroll_16,2,5.5,0.920368629797,False
gemm_105.c,xczu7ev-ffvc1156-2-e,10,1.52097,56.5,0,1,12,9,unroll_4,pipeline_1,unroll_2,2,5.5,0.920368629797,False
gemm_51.c,xczu7ev-ffvc1156-2-e,10,1.52097,56.5,0,1,12,9,unroll_4,pipeline_1,unroll_32,2,5.5,0.920368629797,False
gemm_261.c,xczu7ev-ffvc1156-2-e,10,1.52097,50.5,0,1,12,9,unroll_4,pipeline_1,unroll_4,2,5.5,0.920368629797,False
gemm_59.c,xczu7ev-ffvc1156-2-e,10,1.52097,56,0,1,12,9,unroll_4,pipeline_1,unroll_64,2,5.5,0.920368629797,False
gemm_101.c,xczu7ev-ffvc1156-2-e,10,1.52097,55.5,0,1,12,9,unroll_4,pipeline_1,unroll_8,2,5.5,0.920368629797,False
gemm_215.c,xczu7ev-ffvc1156-2-e,10,9.62897,63,0,0,4,6,unroll_4,unroll_16,pipeline_1,2,2.5,0.61559293478,False
gemm_82.c,xczu7ev-ffvc1156-2-e,10,14.29841,246,0,0,2,10,unroll_4,unroll_16,unroll_16,1,3,0.337946176267,False
gemm_29.c,xczu7ev-ffvc1156-2-e,10,22.32657,49,0,0,1,4,unroll_4,unroll_16,unroll_2,1,1.25,0.104587403164,False
gemm_91.c,xczu7ev-ffvc1156-2-e,10,13.72497,856,0,0,3,13,unroll_4,unroll_16,unroll_32,1,4,0.363574680634,False
gemm_85.c,xczu7ev-ffvc1156-2-e,10,17.73905,65,0,0,1,6,unroll_4,unroll_16,unroll_4,1,1.75,0.195420678494,False
gemm_61.c,xczu7ev-ffvc1156-2-e,10,1.37041,811,0,2,7,21,unroll_4,unroll_16,unroll_64,1,7.5,0.87212508926,False
gemm_55.c,xczu7ev-ffvc1156-2-e,10,15.44529,122,0,0,2,9,unroll_4,unroll_16,unroll_8,1,2.75,0.283598723507,False
gemm_120.c,xczu7ev-ffvc1156-2-e,10,9.64689,25.5,0,0,0,1,unroll_4,unroll_2,pipeline_1,2,0.25,0.635031197189,False
gemm_168.c,xczu7ev-ffvc1156-2-e,10,14.31633,43,0,0,0,3,unroll_4,unroll_2,unroll_16,1,0.75,0.338003141938,False
gemm_195.c,xczu7ev-ffvc1156-2-e,10,22.34449,26,0,0,0,1,unroll_4,unroll_2,unroll_2,1,0.25,0.104412558565,False
gemm_107.c,xczu7ev-ffvc1156-2-e,10,13.74289,65,0,0,0,5,unroll_4,unroll_2,unroll_32,1,1.25,0.368817709399,False
gemm_178.c,xczu7ev-ffvc1156-2-e,10,6.73873,77,0,1,5,8,unroll_4,unroll_2,unroll_64,1,3.5,0.724804635547,False
gemm_90.c,xczu7ev-ffvc1156-2-e,10,15.46321,34,0,0,0,2,unroll_4,unroll_2,unroll_8,1,0.5,0.282875596012,False
gemm_12.c,xczu7ev-ffvc1156-2-e,10,9.62769,122,0,0,8,12.5,unroll_4,unroll_32,pipeline_1,2,5.125,0.561687169437,False
gemm_92.c,xczu7ev-ffvc1156-2-e,10,14.29713,912,0,0,5,15,unroll_4,unroll_32,unroll_16,1,5,0.328868336908,False
gemm_46.c,xczu7ev-ffvc1156-2-e,10,22.32529,79,0,0,3,7,unroll_4,unroll_32,unroll_2,1,2.5,0.104600743588,False
gemm_86.c,xczu7ev-ffvc1156-2-e,10,17.73777,128,0,0,3,10,unroll_4,unroll_32,unroll_4,1,3.25,0.194620260091,False
gemm_220.c,xczu7ev-ffvc1156-2-e,10,1.35121,2758,0,3,9,32,unroll_4,unroll_32,unroll_64,1,11,1,True
gemm_111.c,xczu7ev-ffvc1156-2-e,10,15.44401,300,0,0,3,12,unroll_4,unroll_32,unroll_8,1,3.75,0.281398356674,False
gemm_1.c,xczu7ev-ffvc1156-2-e,10,9.63665,33.5,0,0,1,1.5,unroll_4,unroll_4,pipeline_1,2,0.625,0.636885102031,False
gemm_197.c,xczu7ev-ffvc1156-2-e,10,3.40049,141,0,1,5,12,unroll_4,unroll_4,unroll_64,1,4.5,0.857940227186,False
gemm_161.c,xczu7ev-ffvc1156-2-e,10,9.62577,341.5,0,0,17,28,unroll_4,unroll_64,pipeline_1,2,11.25,0.421335905401,False
gemm_222.c,xczu7ev-ffvc1156-2-e,10,22.32337,201,0,0,5,17,unroll_4,unroll_64,unroll_2,1,5.5,0.103853530327,False
gemm_271.c,xczu7ev-ffvc1156-2-e,10,17.73585,356,0,0,6,21,unroll_4,unroll_64,unroll_4,1,6.75,0.185795763901,False
gemm_60.c,xczu7ev-ffvc1156-2-e,10,15.44209,1042,0,0,7,29,unroll_4,unroll_64,unroll_8,1,9,0.249119938706,False
gemm_151.c,xczu7ev-ffvc1156-2-e,10,9.63153,41.5,0,0,2,3.5,unroll_4,unroll_8,pipeline_1,2,1.375,0.636705119579,False
