Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
md_kernel_1.c,xczu7ev-ffvc1156-2-e,10,0.02465,37,0,15,9,10,pipeline_1,pipeline_1,4,8.5,1,True
md_kernel_19.c,xczu7ev-ffvc1156-2-e,10,0.02465,37.5,0,15,9,10,pipeline_1,unroll_16,2,8.5,1,True
md_kernel_29.c,xczu7ev-ffvc1156-2-e,10,0.02465,35.5,0,15,9,10,pipeline_1,unroll_2,2,8.5,1,True
md_kernel_14.c,xczu7ev-ffvc1156-2-e,10,0.02465,38,0,15,9,10,pipeline_1,unroll_4,2,8.5,1,True
md_kernel_28.c,xczu7ev-ffvc1156-2-e,10,0.02465,36,0,15,9,10,pipeline_1,unroll_8,2,8.5,1,True
md_kernel_40.c,xczu7ev-ffvc1156-2-e,10,0.36881,51.5,0,2,7,7.5,unroll_16,pipeline_1,2,4.125,1,True
md_kernel_17.c,xczu7ev-ffvc1156-2-e,10,0.03489,187,0,21,19,30,unroll_16,unroll_16,1,17.5,0.332951307996,False
md_kernel_8.c,xczu7ev-ffvc1156-2-e,10,1.82801,52,0,4,2,5,unroll_16,unroll_2,1,2.75,0.107144806311,False
md_kernel_18.c,xczu7ev-ffvc1156-2-e,10,1.01905,78,0,5,3,6,unroll_16,unroll_4,1,3.5,0.413245990227,False
md_kernel_44.c,xczu7ev-ffvc1156-2-e,10,0.61457,126,0,7,4,8,unroll_16,unroll_8,1,4.75,0.707753707286,False
md_kernel_22.c,xczu7ev-ffvc1156-2-e,10,0.36993,26.5,0,2,1,2,unroll_2,pipeline_1,2,1.25,1,True
md_kernel_10.c,xczu7ev-ffvc1156-2-e,10,0.20353,45,0,11,4,7,unroll_2,unroll_16,1,5.5,1,True
md_kernel_5.c,xczu7ev-ffvc1156-2-e,10,1.82913,27,0,4,1,3,unroll_2,unroll_2,1,2,0.107151504333,False
md_kernel_32.c,xczu7ev-ffvc1156-2-e,10,1.02017,30,0,4,1,3,unroll_2,unroll_4,1,2,0.417083026378,False
md_kernel_0.c,xczu7ev-ffvc1156-2-e,10,0.61569,35,0,6,2,4,unroll_2,unroll_8,1,3,0.733995082958,False
md_kernel_11.c,xczu7ev-ffvc1156-2-e,10,0.36873,75,0,2,14.5,14.5,unroll_32,pipeline_1,2,7.75,0.692548701909,False
md_kernel_23.c,xczu7ev-ffvc1156-2-e,10,0.02833,404,0,24,21,46,unroll_32,unroll_16,1,22.75,0.189495742684,False
md_kernel_46.c,xczu7ev-ffvc1156-2-e,10,1.82793,86,0,4,4,6,unroll_32,unroll_2,1,3.5,0.10694885807,False
md_kernel_31.c,xczu7ev-ffvc1156-2-e,10,1.01897,134,0,5,5,8,unroll_32,unroll_4,1,4.5,0.408629379143,False
md_kernel_37.c,xczu7ev-ffvc1156-2-e,10,0.61449,236,0,7,6,12,unroll_32,unroll_8,1,6.25,0.665507705766,False
md_kernel_2.c,xczu7ev-ffvc1156-2-e,10,0.36929,32,0,2,2,3,unroll_4,pipeline_1,2,1.75,1,True
md_kernel_43.c,xczu7ev-ffvc1156-2-e,10,0.10305,60,0,12,6,9,unroll_4,unroll_16,1,6.75,1,True
md_kernel_33.c,xczu7ev-ffvc1156-2-e,10,1.82849,27,0,4,1,4,unroll_4,unroll_2,1,2.25,0.107175787656,False
md_kernel_12.c,xczu7ev-ffvc1156-2-e,10,1.01953,36,0,4,1,4,unroll_4,unroll_4,1,2.25,0.416930642178,False
md_kernel_38.c,xczu7ev-ffvc1156-2-e,10,0.61505,48,0,6,2,5,unroll_4,unroll_8,1,3.25,0.730756163939,False
md_kernel_35.c,xczu7ev-ffvc1156-2-e,10,0.36869,139,0,2,29.5,28,unroll_64,pipeline_1,2,14.875,0.406556964235,False
md_kernel_47.c,xczu7ev-ffvc1156-2-e,10,0.02505,919,0,27,29,69,unroll_64,unroll_16,1,31.25,0.1,False
md_kernel_34.c,xczu7ev-ffvc1156-2-e,10,1.82789,198,0,4,8,10,unroll_64,unroll_2,1,5.5,0.106100573052,False
md_kernel_21.c,xczu7ev-ffvc1156-2-e,10,1.01893,306,0,5,8,13,unroll_64,unroll_4,1,6.5,0.389537573163,False
md_kernel_24.c,xczu7ev-ffvc1156-2-e,10,0.61445,622,0,7,10,19,unroll_64,unroll_8,1,9,0.561976400087,False
md_kernel_13.c,xczu7ev-ffvc1156-2-e,10,0.36897,36,0,2,4,4.5,unroll_8,pipeline_1,2,2.625,1,True
md_kernel_30.c,xczu7ev-ffvc1156-2-e,10,0.05281,107,0,17,12,16,unroll_8,unroll_16,1,11.25,0.586907376492,False
md_kernel_42.c,xczu7ev-ffvc1156-2-e,10,1.82817,40,0,4,2,4,unroll_8,unroll_2,1,2.5,0.107171437103,False
md_kernel_4.c,xczu7ev-ffvc1156-2-e,10,1.01921,49,0,4,2,5,unroll_8,unroll_4,1,2.75,0.416102021445,False
md_kernel_25.c,xczu7ev-ffvc1156-2-e,10,0.61473,64,0,7,3,6,unroll_8,unroll_8,1,4,0.721624484294,False
