Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,Replicate_Count,Area,Weight,is_pareto
ss_sort_434.c,xczu7ev-ffvc1156-2-e,10,2.15393,26,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,1,1.25,0.983730433731,False
ss_sort_416.c,xczu7ev-ffvc1156-2-e,10,2.15353,29,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_4,unroll_4,3,1.25,0.984296796005,False
ss_sort_367.c,xczu7ev-ffvc1156-2-e,10,2.15353,27,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_4,1,1.25,0.984296796005,False
ss_sort_751.c,xczu7ev-ffvc1156-2-e,10,2.31793,28,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,unroll_4,1,1.25,0.766807955117,False
ss_sort_472.c,xczu7ev-ffvc1156-2-e,10,2.15423,28,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,pipeline_1,unroll_8,unroll_2,unroll_4,1,1.25,0.983305781087,False
ss_sort_483.c,xczu7ev-ffvc1156-2-e,10,2.15423,30,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_16,unroll_4,pipeline_1,unroll_4,1,1.25,0.983305781087,False
ss_sort_709.c,xczu7ev-ffvc1156-2-e,10,2.15349,24,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_4,unroll_2,unroll_4,1,1.25,0.984353442211,False
ss_sort_332.c,xczu7ev-ffvc1156-2-e,10,2.15402,28.5,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,unroll_4,2,1.25,0.983603027223,False
ss_sort_496.c,xczu7ev-ffvc1156-2-e,10,2.15425,28,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,pipeline_1,unroll_4,unroll_4,1,1.25,0.983277474539,False
ss_sort_508.c,xczu7ev-ffvc1156-2-e,10,2.15425,30,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_4,pipeline_1,unroll_4,1,1.25,0.983277474539,False
ss_sort_438.c,xczu7ev-ffvc1156-2-e,10,2.15379,28,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_4,unroll_4,unroll_4,1,1.25,0.98392863989,False
ss_sort_441.c,xczu7ev-ffvc1156-2-e,10,2.15425,28,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_4,1,1.25,0.983277474539,False
ss_sort_365.c,xczu7ev-ffvc1156-2-e,10,2.15919,34,1,1,1,3,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_32,unroll_16,unroll_4,unroll_4,unroll_4,1,1.5,0.963604616227,False
ss_sort_87.c,xczu7ev-ffvc1156-2-e,10,2.40451,33,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_2,1,1.25,0.736200173219,False
ss_sort_207.c,xczu7ev-ffvc1156-2-e,10,2.40451,34,1,1,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_2,unroll_2,1,1.25,0.736200173219,False
ss_sort_378.c,xczu7ev-ffvc1156-2-e,10,2.15875,35,1,1,1,3,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_8,unroll_16,unroll_16,unroll_2,unroll_4,1,1.5,0.964100757028,False
