Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
ellpack_1.c,xczu7ev-ffvc1156-2-e,10,0.02528,26.5,1,1,1,1,pipeline_1,pipeline_1,4,1,1,True
ellpack_10.c,xczu7ev-ffvc1156-2-e,10,0.02528,26.5,1,1,1,1,pipeline_1,unroll_10,2,1,1,True
ellpack_27.c,xczu7ev-ffvc1156-2-e,10,0.02528,26,1,1,1,1,pipeline_1,unroll_2,2,1,1,True
ellpack_17.c,xczu7ev-ffvc1156-2-e,10,0.02528,25,1,1,1,1,pipeline_1,unroll_4,2,1,1,True
ellpack_26.c,xczu7ev-ffvc1156-2-e,10,0.2268,32.5,1,1,1,2,unroll_16,pipeline_1,2,1.25,0.428460616816,False
ellpack_8.c,xczu7ev-ffvc1156-2-e,10,0.04252,42,1,1,1,5,unroll_16,unroll_10,1,2,0.628159042305,False
ellpack_18.c,xczu7ev-ffvc1156-2-e,10,0.45692,29,1,1,1,2,unroll_16,unroll_2,1,1.25,0.122800360957,False
ellpack_29.c,xczu7ev-ffvc1156-2-e,10,0.44442,36,1,1,1,3,unroll_16,unroll_4,1,1.5,0.128281329385,False
ellpack_21.c,xczu7ev-ffvc1156-2-e,10,0.23713,24,1,1,1,1,unroll_2,pipeline_1,2,1,0.411482357597,False
ellpack_3.c,xczu7ev-ffvc1156-2-e,10,0.14327,27,1,1,1,1,unroll_2,unroll_10,1,1,0.634581834972,False
ellpack_13.c,xczu7ev-ffvc1156-2-e,10,0.45696,26,1,1,1,1,unroll_2,unroll_2,1,1,0.123352872027,False
ellpack_0.c,xczu7ev-ffvc1156-2-e,10,0.44214,27,1,1,1,1,unroll_2,unroll_4,1,1,0.132450188372,False
ellpack_22.c,xczu7ev-ffvc1156-2-e,10,0.24142,40,1,1,2.5,4,unroll_32,pipeline_1,2,2.125,0.330206553082,False
ellpack_31.c,xczu7ev-ffvc1156-2-e,10,0.02827,52,1,1,1,8,unroll_32,unroll_10,1,2.75,0.418385135063,False
ellpack_37.c,xczu7ev-ffvc1156-2-e,10,0.47149,38,1,1,1,4,unroll_32,unroll_2,1,1.75,0.112033196948,False
ellpack_30.c,xczu7ev-ffvc1156-2-e,10,0.45851,52,1,1,1,5,unroll_32,unroll_4,1,2,0.114473825922,False
ellpack_24.c,xczu7ev-ffvc1156-2-e,10,0.23499,25.5,1,1,1,1,unroll_4,pipeline_1,2,1,0.415901839329,False
ellpack_25.c,xczu7ev-ffvc1156-2-e,10,0.14203,30,1,1,1,1,unroll_4,unroll_10,1,1,0.637930068126,False
ellpack_11.c,xczu7ev-ffvc1156-2-e,10,0.45761,27,1,1,1,1,unroll_4,unroll_2,1,1,0.122988046024,False
ellpack_23.c,xczu7ev-ffvc1156-2-e,10,0.44307,27,1,1,1,1,unroll_4,unroll_4,1,1,0.1318353963,False
ellpack_28.c,xczu7ev-ffvc1156-2-e,10,0.24182,62.5,1,1,5.5,7,unroll_64,pipeline_1,2,3.625,0.161197072313,False
ellpack_39.c,xczu7ev-ffvc1156-2-e,10,0.02643,97,1,1,2,15,unroll_64,unroll_10,1,4.75,0.115623264526,False
ellpack_16.c,xczu7ev-ffvc1156-2-e,10,0.47205,52,1,1,2,6,unroll_64,unroll_2,1,2.5,0.103787749894,False
ellpack_19.c,xczu7ev-ffvc1156-2-e,10,0.46451,93,1,1,2,9,unroll_64,unroll_4,1,3.25,0.1,False
ellpack_2.c,xczu7ev-ffvc1156-2-e,10,0.23133,28,1,1,1,1,unroll_8,pipeline_1,2,1,0.423532547132,False
ellpack_38.c,xczu7ev-ffvc1156-2-e,10,0.07197,32,1,1,1,2,unroll_8,unroll_10,1,1.25,0.816697125385,False
ellpack_4.c,xczu7ev-ffvc1156-2-e,10,0.45707,27,1,1,1,1,unroll_8,unroll_2,1,1,0.123290930338,False
ellpack_20.c,xczu7ev-ffvc1156-2-e,10,0.44321,29,1,1,1,2,unroll_8,unroll_4,1,1.25,0.131050811015,False
