Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
stencil_114.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,16,1.75,1,True
stencil_111.c,xczu7ev-ffvc1156-2-e,10,0.12105,44.5,1,3,1,2,pipeline_1,pipeline_1,pipeline_1,unroll_3,8,1.75,1,True
stencil_131.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,pipeline_1,unroll_3,pipeline_1,7,1.75,1,True
stencil_116.c,xczu7ev-ffvc1156-2-e,10,0.12105,46.5,1,3,1,2,pipeline_1,pipeline_1,unroll_3,unroll_3,4,1.75,1,True
stencil_143.c,xczu7ev-ffvc1156-2-e,10,0.12105,44,1,3,1,2,pipeline_1,unroll_16,pipeline_1,pipeline_1,7,1.75,1,True
stencil_133.c,xczu7ev-ffvc1156-2-e,10,0.12105,45.5,1,3,1,2,pipeline_1,unroll_16,pipeline_1,unroll_3,4,1.75,1,True
stencil_16.c,xczu7ev-ffvc1156-2-e,10,0.12105,44.5,1,3,1,2,pipeline_1,unroll_16,unroll_3,pipeline_1,4,1.75,1,True
stencil_4.c,xczu7ev-ffvc1156-2-e,10,0.12105,44,1,3,1,2,pipeline_1,unroll_16,unroll_3,unroll_3,2,1.75,1,True
stencil_112.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,unroll_2,pipeline_1,pipeline_1,8,1.75,1,True
stencil_13.c,xczu7ev-ffvc1156-2-e,10,0.12105,46,1,3,1,2,pipeline_1,unroll_2,pipeline_1,unroll_3,4,1.75,1,True
stencil_128.c,xczu7ev-ffvc1156-2-e,10,0.12105,46,1,3,1,2,pipeline_1,unroll_2,unroll_3,pipeline_1,4,1.75,1,True
stencil_108.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,unroll_2,unroll_3,unroll_3,2,1.75,1,True
stencil_109.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,unroll_4,pipeline_1,pipeline_1,8,1.75,1,True
stencil_181.c,xczu7ev-ffvc1156-2-e,10,0.12105,46,1,3,1,2,pipeline_1,unroll_4,pipeline_1,unroll_3,4,1.75,1,True
stencil_142.c,xczu7ev-ffvc1156-2-e,10,0.12105,47,1,3,1,2,pipeline_1,unroll_4,unroll_3,pipeline_1,3,1.75,1,True
stencil_252.c,xczu7ev-ffvc1156-2-e,10,0.12105,45,1,3,1,2,pipeline_1,unroll_4,unroll_3,unroll_3,2,1.75,1,True
stencil_110.c,xczu7ev-ffvc1156-2-e,10,0.12105,48,1,3,1,2,pipeline_1,unroll_62,pipeline_1,pipeline_1,8,1.75,1,True
stencil_119.c,xczu7ev-ffvc1156-2-e,10,0.12105,48.5,1,3,1,2,pipeline_1,unroll_62,pipeline_1,unroll_3,4,1.75,1,True
stencil_102.c,xczu7ev-ffvc1156-2-e,10,0.12105,52,1,3,1,2,pipeline_1,unroll_62,unroll_3,pipeline_1,4,1.75,1,True
stencil_26.c,xczu7ev-ffvc1156-2-e,10,0.12105,48.5,1,3,1,2,pipeline_1,unroll_62,unroll_3,unroll_3,2,1.75,1,True
stencil_162.c,xczu7ev-ffvc1156-2-e,10,0.12105,43.5,1,3,1,2,pipeline_1,unroll_8,pipeline_1,pipeline_1,6,1.75,1,True
stencil_127.c,xczu7ev-ffvc1156-2-e,10,0.12105,44.5,1,3,1,2,pipeline_1,unroll_8,pipeline_1,unroll_3,4,1.75,1,True
stencil_104.c,xczu7ev-ffvc1156-2-e,10,0.12105,47.5,1,3,1,2,pipeline_1,unroll_8,unroll_3,pipeline_1,4,1.75,1,True
stencil_17.c,xczu7ev-ffvc1156-2-e,10,0.12105,44,1,3,1,2,pipeline_1,unroll_8,unroll_3,unroll_3,2,1.75,1,True
stencil_68.c,xczu7ev-ffvc1156-2-e,10,0.35313,39,1,25,1,5,unroll_16,pipeline_1,pipeline_1,unroll_3,1,8,0.678480171671,False
stencil_62.c,xczu7ev-ffvc1156-2-e,10,0.74431,140,1,44,3,27,unroll_16,unroll_8,pipeline_1,pipeline_1,1,18.75,0.291435183655,False
stencil_34.c,xczu7ev-ffvc1156-2-e,10,0.74431,138,1,44,3,27,unroll_16,unroll_8,pipeline_1,unroll_3,1,18.75,0.291435183655,False
