Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
stencil3d_293.c,xczu7ev-ffvc1156-2-e,10,0.22218,259.5,0,20,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_15,4,10.5,1,True
stencil3d_379.c,xczu7ev-ffvc1156-2-e,10,0.22218,252,0,21,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_15,1,10.75,0.985431617264,False
stencil3d_576.c,xczu7ev-ffvc1156-2-e,10,0.22218,285,0,20,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_15,1,10.75,0.985431617264,False
stencil3d_617.c,xczu7ev-ffvc1156-2-e,10,0.22218,254,0,22,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_15,1,11,0.970982108477,False
stencil3d_501.c,xczu7ev-ffvc1156-2-e,10,0.22218,268.5,0,20,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_31,pipeline_1,unroll_15,2,10.75,0.985431617264,False
stencil3d_390.c,xczu7ev-ffvc1156-2-e,10,0.22218,284.5,0,20,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_15,2,10.5,1,True
stencil3d_469.c,xczu7ev-ffvc1156-2-e,10,0.22218,283.5,0,20,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_15,4,10.75,0.985431617264,False
stencil3d_721.c,xczu7ev-ffvc1156-2-e,10,0.22218,262,0,35,2,26,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,1,15.75,0.755956794321,False
stencil3d_651.c,xczu7ev-ffvc1156-2-e,10,0.22218,260,0,21,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_2,unroll_15,1,10.75,0.985431617264,False
stencil3d_712.c,xczu7ev-ffvc1156-2-e,10,0.22218,300,0,61,3,35,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_2,unroll_2,unroll_4,1,24.75,0.387534295878,False
stencil3d_386.c,xczu7ev-ffvc1156-2-e,10,0.22218,256,0,20,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_31,pipeline_1,unroll_15,1,10.75,0.985431617264,False
stencil3d_380.c,xczu7ev-ffvc1156-2-e,10,0.22218,270,0,22,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_31,unroll_4,unroll_15,2,11.25,0.95665147364,False
stencil3d_648.c,xczu7ev-ffvc1156-2-e,10,0.22218,288,0,22,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_15,1,11,0.970982108477,False
stencil3d_214.c,xczu7ev-ffvc1156-2-e,10,0.22218,278,0,22,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_31,pipeline_1,unroll_15,1,11.25,0.95665147364,False
stencil3d_687.c,xczu7ev-ffvc1156-2-e,10,0.22218,252,0,22,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_15,1,11.25,0.95665147364,False
stencil3d_534.c,xczu7ev-ffvc1156-2-e,10,0.22218,286,0,21,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_15,1,10.75,0.985431617264,False
stencil3d_581.c,xczu7ev-ffvc1156-2-e,10,0.22218,255,0,21,1,21,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_2,unroll_15,1,10.75,0.985431617264,False
stencil3d_295.c,xczu7ev-ffvc1156-2-e,10,0.22218,284,0,22,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_31,pipeline_1,unroll_15,1,11.25,0.95665147364,False
stencil3d_269.c,xczu7ev-ffvc1156-2-e,10,0.22218,251,0,22,1,22,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_31,pipeline_1,unroll_15,1,11.25,0.95665147364,False
stencil3d_376.c,xczu7ev-ffvc1156-2-e,10,0.34486,37,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_15,4,1.25,1,True
stencil3d_657.c,xczu7ev-ffvc1156-2-e,10,0.34486,33,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_440.c,xczu7ev-ffvc1156-2-e,10,0.28981,44.5,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_15,2,4,1,True
stencil3d_585.c,xczu7ev-ffvc1156-2-e,10,0.53731,32,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1,0.5,0.283848976708,False
stencil3d_626.c,xczu7ev-ffvc1156-2-e,10,0.53251,69,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_31,unroll_2,1,2.25,0.272637473289,False
stencil3d_706.c,xczu7ev-ffvc1156-2-e,10,0.51451,121,0,1,1,11,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_31,unroll_4,1,3.25,0.289494957214,False
stencil3d_395.c,xczu7ev-ffvc1156-2-e,10,0.34486,35.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_15,8,1.25,1,True
stencil3d_163.c,xczu7ev-ffvc1156-2-e,10,0.34486,36,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,3,1.75,0.599393770069,False
stencil3d_301.c,xczu7ev-ffvc1156-2-e,10,0.28981,43,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_15,7,4,1,True
stencil3d_462.c,xczu7ev-ffvc1156-2-e,10,0.53731,32,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,2,0.5,0.283848976708,False
stencil3d_558.c,xczu7ev-ffvc1156-2-e,10,0.50131,31,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,1,0.75,1,True
stencil3d_357.c,xczu7ev-ffvc1156-2-e,10,0.34486,37,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_31,pipeline_1,unroll_15,4,1.25,1,True
stencil3d_397.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_31,unroll_2,unroll_15,2,4,1,True
stencil3d_524.c,xczu7ev-ffvc1156-2-e,10,0.53251,74,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_31,unroll_31,unroll_2,1,2.25,0.272637473289,False
stencil3d_461.c,xczu7ev-ffvc1156-2-e,10,0.34486,38.5,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_15,2,1.25,1,True
stencil3d_496.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_15,3,1.25,1,True
stencil3d_677.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_15,1,4,1,True
stencil3d_609.c,xczu7ev-ffvc1156-2-e,10,0.53731,34,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_2,1,0.5,0.283848976708,False
stencil3d_468.c,xczu7ev-ffvc1156-2-e,10,0.53251,77,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_31,unroll_2,7,2.25,0.272637473289,False
stencil3d_611.c,xczu7ev-ffvc1156-2-e,10,0.51451,106,0,1,1,11,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll_31,unroll_4,1,3.25,0.289494957214,False
stencil3d_317.c,xczu7ev-ffvc1156-2-e,10,0.34486,37,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_15,5,1.25,1,True
stencil3d_490.c,xczu7ev-ffvc1156-2-e,10,0.34486,33,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_2,3,1.75,0.599393770069,False
stencil3d_715.c,xczu7ev-ffvc1156-2-e,10,0.34486,35,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_4,1,1.75,0.599393770069,False
stencil3d_451.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,unroll_15,3,4,1,True
stencil3d_356.c,xczu7ev-ffvc1156-2-e,10,0.53731,32,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,unroll_2,3,0.5,0.283848976708,False
stencil3d_559.c,xczu7ev-ffvc1156-2-e,10,0.50131,34,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,unroll_4,1,0.75,1,True
stencil3d_412.c,xczu7ev-ffvc1156-2-e,10,0.53251,71,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_31,unroll_2,1,2.25,0.272637473289,False
stencil3d_435.c,xczu7ev-ffvc1156-2-e,10,0.34486,36,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,pipeline_1,pipeline_1,1,1.75,0.599393770069,False
stencil3d_132.c,xczu7ev-ffvc1156-2-e,10,0.34486,38,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,pipeline_1,unroll_15,9,1.25,1,True
stencil3d_452.c,xczu7ev-ffvc1156-2-e,10,0.34486,39,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_414.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,unroll_2,unroll_15,3,4,1,True
stencil3d_495.c,xczu7ev-ffvc1156-2-e,10,0.53731,34,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,unroll_2,unroll_2,3,0.5,0.283848976708,False
stencil3d_384.c,xczu7ev-ffvc1156-2-e,10,0.53251,77.5,0,0,1,8,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,unroll_31,unroll_2,4,2.25,0.272637473289,False
stencil3d_457.c,xczu7ev-ffvc1156-2-e,10,0.51451,125,0,1,1,11,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,unroll_31,unroll_4,1,3.25,0.289494957214,False
stencil3d_427.c,xczu7ev-ffvc1156-2-e,10,0.31996,60,0,16,1,12,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_31,unroll_4,unroll_15,1,7.25,0.635355909923,False
stencil3d_400.c,xczu7ev-ffvc1156-2-e,10,0.34486,36,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_283.c,xczu7ev-ffvc1156-2-e,10,0.34486,34,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_2,1,1.75,0.599393770069,False
stencil3d_536.c,xczu7ev-ffvc1156-2-e,10,0.28981,44,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_15,1,4,1,True
stencil3d_442.c,xczu7ev-ffvc1156-2-e,10,0.53731,32,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_2,2,0.5,0.283848976708,False
stencil3d_482.c,xczu7ev-ffvc1156-2-e,10,0.50131,34,0,1,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_4,1,0.75,1,True
stencil3d_607.c,xczu7ev-ffvc1156-2-e,10,0.34486,35,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_415.c,xczu7ev-ffvc1156-2-e,10,0.53731,29.5,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,2,0.5,0.283848976708,False
stencil3d_424.c,xczu7ev-ffvc1156-2-e,10,0.31996,50,0,16,1,12,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_15,1,7.25,0.635355909923,False
stencil3d_396.c,xczu7ev-ffvc1156-2-e,10,0.34486,37,0,2,0,3,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_15,1,1.25,1,True
stencil3d_548.c,xczu7ev-ffvc1156-2-e,10,0.34486,34,0,3,0,4,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_4,1,1.75,0.599393770069,False
stencil3d_257.c,xczu7ev-ffvc1156-2-e,10,0.28981,45,0,10,0,6,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_15,1,4,1,True
stencil3d_449.c,xczu7ev-ffvc1156-2-e,10,0.53731,32,0,0,0,2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,2,0.5,0.283848976708,False
