Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
viterbi_470.c,xczu7ev-ffvc1156-2-e,10,3.04089,130,10,0,5,18,block_128_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,8.25,0.834850028873,False
viterbi_287.c,xczu7ev-ffvc1156-2-e,10,3.05483,90.5,10,0,4,12,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,2,6.5,0.879514276349,False
viterbi_599.c,xczu7ev-ffvc1156-2-e,10,3.05483,91,10,0,4,12,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,6.5,0.879514276349,False
viterbi_362.c,xczu7ev-ffvc1156-2-e,10,3.05483,93,10,0,4,12,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_63,1,6.5,0.879514276349,False
viterbi_292.c,xczu7ev-ffvc1156-2-e,10,71.63522,52,5,0,0,3,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,2,2,1,True
viterbi_488.c,xczu7ev-ffvc1156-2-e,10,72.19802,57,5,0,0,3,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,1,2,0.368808373481,False
viterbi_569.c,xczu7ev-ffvc1156-2-e,10,71.62367,66,5,0,1,5,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_8,pipeline_1,unroll_2,1,2.75,0.366385610788,False
viterbi_412.c,xczu7ev-ffvc1156-2-e,10,7.84255,53,5,0,1,3,block_128_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_4,pipeline_1,pipeline_1,1,2.25,0.999927580989,False
viterbi_267.c,xczu7ev-ffvc1156-2-e,10,3.28224,409,10,1,10,47,block_128_1,pipeline_1,unroll_2,unroll_63,pipeline_1,unroll_4,pipeline_1,unroll_63,1,17,0.545642241417,False
viterbi_382.c,xczu7ev-ffvc1156-2-e,10,22.17661,95,5,0,2,10,block_128_1,pipeline_1,unroll_2,unroll_63,unroll_2,unroll_4,pipeline_1,unroll_8,1,4.25,0.669897818182,False
viterbi_310.c,xczu7ev-ffvc1156-2-e,10,3.05507,123,10,0,4,15,block_128_1,pipeline_1,unroll_2,unroll_63,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,7.25,0.86677015122,False
viterbi_442.c,xczu7ev-ffvc1156-2-e,10,3.05419,151,10,0,6,22,block_128_1,pipeline_1,unroll_4,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,9.5,0.808741562484,False
viterbi_280.c,xczu7ev-ffvc1156-2-e,10,7.83936,58,5,0,1,4,block_128_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.5,0.99365223655,False
viterbi_361.c,xczu7ev-ffvc1156-2-e,10,22.17725,71,5,0,1,7,block_128_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,1,3.25,0.674005506765,False
viterbi_288.c,xczu7ev-ffvc1156-2-e,10,3.10923,123,10,0,4,18,block_128_1,unroll_2,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_16,unroll_63,1,8,0.845932166592,False
viterbi_327.c,xczu7ev-ffvc1156-2-e,10,7.8409,53,5,0,1,3,block_128_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.25,0.999969070691,False
viterbi_299.c,xczu7ev-ffvc1156-2-e,10,7.84338,67,5,0,2,6,block_128_1,unroll_2,unroll_4,pipeline_1,unroll_16,unroll_4,pipeline_1,pipeline_1,1,3.25,0.969153676374,False
viterbi_208.c,xczu7ev-ffvc1156-2-e,10,7.84059,59,5,0,1,4,block_128_1,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.5,0.993636816966,False
viterbi_250.c,xczu7ev-ffvc1156-2-e,10,3.04371,182,10,0,5,18,block_128_1,unroll_32,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_4,1,8.25,0.834861471578,False
viterbi_525.c,xczu7ev-ffvc1156-2-e,10,7.83975,55,5,0,1,3,block_128_1,unroll_32,unroll_2,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,1,2.25,0.999997988321,False
viterbi_323.c,xczu7ev-ffvc1156-2-e,10,8.111,60,5,0,1,4,block_128_1,unroll_32,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,pipeline_1,1,2.5,0.989383372623,False
viterbi_300.c,xczu7ev-ffvc1156-2-e,10,3.04342,248,10,0,7,28,block_128_1,unroll_32,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_4,1,11.25,0.76679980593,False
viterbi_224.c,xczu7ev-ffvc1156-2-e,10,3.04401,278,10,0,7,31,block_128_1,unroll_32,unroll_4,unroll_63,pipeline_1,pipeline_1,unroll_8,pipeline_1,1,12,0.735552861158,False
viterbi_252.c,xczu7ev-ffvc1156-2-e,10,3.05582,123,10,0,4,15,block_128_1,unroll_4,unroll_2,unroll_63,unroll_4,pipeline_1,pipeline_1,unroll_4,1,7.25,0.866765235106,False
viterbi_176.c,xczu7ev-ffvc1156-2-e,10,22.15934,384,5,0,9,45,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_8,1,14.75,0.485292469915,False
viterbi_90.c,xczu7ev-ffvc1156-2-e,10,22.17614,102,5,0,2,13,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,1,5,0.665012193016,False
viterbi_73.c,xczu7ev-ffvc1156-2-e,10,38.65274,132,5,0,3,18,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_4,unroll_63,unroll_4,1,6.5,0.381960355016,False
viterbi_376.c,xczu7ev-ffvc1156-2-e,10,7.83979,65,5,0,1,4,block_128_1,unroll_4,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.5,0.993646850303,False
viterbi_169.c,xczu7ev-ffvc1156-2-e,10,38.78898,80,5,0,2,9,block_128_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_4,unroll_8,unroll_4,1,4,0.38845715127,False
viterbi_42.c,xczu7ev-ffvc1156-2-e,10,11.40034,386,5,0,11,31,block_128_1,unroll_4,unroll_64,unroll_4,unroll_32,unroll_2,unroll_2,pipeline_1,1,11.75,0.68365813125,False
viterbi_324.c,xczu7ev-ffvc1156-2-e,10,3.61761,101,10,0,4,13,block_128_1,unroll_64,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,1,6.75,0.873501546222,False
viterbi_421.c,xczu7ev-ffvc1156-2-e,10,3.04335,257,10,0,7,28,block_128_1,unroll_64,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,11.25,0.766799618466,False
viterbi_394.c,xczu7ev-ffvc1156-2-e,10,7.84815,94,5,0,2,9,block_128_1,unroll_64,unroll_4,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,4,0.956595437857,False
viterbi_228.c,xczu7ev-ffvc1156-2-e,10,7.83937,65.5,5,0,1,5,block_128_1,unroll_64,unroll_4,pipeline_1,unroll_2,unroll_4,pipeline_1,pipeline_1,2,2.75,0.987462023643,False
viterbi_127.c,xczu7ev-ffvc1156-2-e,10,22.17537,111,5,0,2,14,block_128_1,unroll_64,unroll_4,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_8,1,5.25,0.662787026973,False
viterbi_173.c,xczu7ev-ffvc1156-2-e,10,22.17502,120,5,0,3,14,block_128_1,unroll_64,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_8,1,5.5,0.660257943735,False
viterbi_23.c,xczu7ev-ffvc1156-2-e,10,81.84195,402,5,0,9,34,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,1,12,0.18661697674,False
viterbi_113.c,xczu7ev-ffvc1156-2-e,10,81.84195,363,5,0,9,34,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline_1,unroll_4,unroll_63,unroll_2,1,12,0.18661697674,False
viterbi_119.c,xczu7ev-ffvc1156-2-e,10,71.62409,98,5,0,2,11,block_128_1,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_63,unroll_2,1,4.5,0.342248977599,False
viterbi_175.c,xczu7ev-ffvc1156-2-e,10,3.33669,196,10,0,7,29,block_128_1,unroll_8,unroll_4,pipeline_1,unroll_16,pipeline_1,unroll_4,unroll_2,1,11.5,0.756823003658,False
viterbi_221.c,xczu7ev-ffvc1156-2-e,10,3.05489,156,10,0,6,22,block_128_1,unroll_8,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,1,9.5,0.808743800561,False
viterbi_251.c,xczu7ev-ffvc1156-2-e,10,7.83939,62,5,0,1,4,block_128_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2.5,0.993651860917,False
viterbi_231.c,xczu7ev-ffvc1156-2-e,10,71.63459,68,5,0,1,6,block_128_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,1,3,0.362871962796,False
viterbi_193.c,xczu7ev-ffvc1156-2-e,10,11.32306,312,5,0,10,27,block_128_1,unroll_8,unroll_64,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline_1,1,10.5,0.713145821282,False
viterbi_104.c,xczu7ev-ffvc1156-2-e,10,11.32314,333,5,0,10,28,block_128_1,unroll_8,unroll_64,unroll_16,unroll_16,unroll_2,unroll_2,pipeline_1,1,10.75,0.707976543413,False
viterbi_124.c,xczu7ev-ffvc1156-2-e,10,3.12863,436,10,0,11,47,block_128_1,unroll_8,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,17,0.545448309386,False
viterbi_51.c,xczu7ev-ffvc1156-2-e,10,7.76228,1709,10,3,13,52,block_16_1,unroll_4,unroll_2,unroll_63,unroll_16,pipeline_1,unroll_8,unroll_63,1,19.5,0.460276884384,False
viterbi_637.c,xczu7ev-ffvc1156-2-e,10,3.02966,174,10,0,5,16,block_16_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_63,1,7.75,0.856511892879,False
viterbi_480.c,xczu7ev-ffvc1156-2-e,10,3.04334,96,10,0,4,12,block_16_2,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,6.5,0.879455249832,False
viterbi_22.c,xczu7ev-ffvc1156-2-e,10,76.7154,355,5,0,13,39,block_2_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,2,14.25,0.191026354388,False
viterbi_109.c,xczu7ev-ffvc1156-2-e,10,76.71296,312,5,0,12,36,block_2_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_4,1,13.25,0.201542140907,False
viterbi_218.c,xczu7ev-ffvc1156-2-e,10,7.01717,196,5,0,6,24,block_2_1,unroll_32,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,8.75,0.79987545028,False
viterbi_241.c,xczu7ev-ffvc1156-2-e,10,7.01717,191,5,0,6,24,block_2_1,unroll_32,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,8.75,0.79987545028,False
viterbi_126.c,xczu7ev-ffvc1156-2-e,10,7.03199,220,8,0,6,23,block_2_1,unroll_4,unroll_2,unroll_63,unroll_32,pipeline_1,pipeline_1,pipeline_1,1,9.25,0.788812457197,False
viterbi_57.c,xczu7ev-ffvc1156-2-e,10,7.05732,682,8,0,12,42,block_2_1,unroll_4,unroll_4,unroll_63,unroll_64,pipeline_1,pipeline_1,pipeline_1,1,15.5,0.595569183383,False
viterbi_213.c,xczu7ev-ffvc1156-2-e,10,3.63586,184,10,0,6,26,block_32_1,pipeline_1,unroll_4,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_4,1,10.5,0.793693298368,False
viterbi_630.c,xczu7ev-ffvc1156-2-e,10,3.04083,94,10,0,4,12,block_32_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,6.5,0.879441511601,False
viterbi_441.c,xczu7ev-ffvc1156-2-e,10,3.04083,97,10,0,4,12,block_32_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_63,1,6.5,0.879441511601,False
viterbi_160.c,xczu7ev-ffvc1156-2-e,10,3.04142,156,10,0,6,22,block_32_2,pipeline_1,unroll_4,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,1,9.5,0.808699708618,False
viterbi_84.c,xczu7ev-ffvc1156-2-e,10,3.12789,346,10,0,11,43,block_32_2,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline_1,1,16,0.580907033637,False
viterbi_38.c,xczu7ev-ffvc1156-2-e,10,3.79335,524,10,0,13,49,block_32_2,pipeline_1,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_4,pipeline_1,1,18,0.511937557496,False
viterbi_329.c,xczu7ev-ffvc1156-2-e,10,3.0587,165,10,0,6,21,block_32_2,unroll_4,unroll_2,pipeline_1,unroll_32,pipeline_1,pipeline_1,unroll_63,1,9.25,0.819541722655,False
viterbi_301.c,xczu7ev-ffvc1156-2-e,10,3.04274,175,10,0,7,24,block_32_2,unroll_64,unroll_4,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_63,1,10.25,0.798475642233,False
viterbi_725.c,xczu7ev-ffvc1156-2-e,10,3.03011,144,10,0,5,18,block_32_2,unroll_8,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,8.25,0.834805390729,False
viterbi_701.c,xczu7ev-ffvc1156-2-e,10,7.8405,126,10,0,4,13,block_32_2,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,1,6.75,0.844286782529,False
viterbi_82.c,xczu7ev-ffvc1156-2-e,10,75.79505,717,10,0,6,26,block_32_2,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_63,unroll_8,1,10.5,0.237411580447,False
