Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,10.49289,54.5,2,1,4,9,unroll_17,pipeline_1,2,4,1,True
workload_34.cpp,xczu7ev-ffvc1156-2-e,10,334.40519,417,2,2,14,33,unroll_17,unroll_16,1,12.75,0.190135858076,False
workload_7.cpp,xczu7ev-ffvc1156-2-e,10,340.79495,61,2,1,2,7,unroll_17,unroll_2,1,3,0.37617262042,False
workload_12.cpp,xczu7ev-ffvc1156-2-e,10,334.85575,1612,2,2,26,61,unroll_17,unroll_32,1,22.75,0.1,False
workload_31.cpp,xczu7ev-ffvc1156-2-e,10,343.08871,94,2,2,4,11,unroll_17,unroll_4,1,4.75,0.336939944068,False
workload_32.cpp,xczu7ev-ffvc1156-2-e,10,342.59719,158,2,2,7,18,unroll_17,unroll_8,1,7.25,0.286190120739,False
workload_1.cpp,xczu7ev-ffvc1156-2-e,10,10.49344,34,2,1,1,3,unroll_2,pipeline_1,2,1.75,1,True
workload_4.cpp,xczu7ev-ffvc1156-2-e,10,321.7896,51,2,2,2,6,unroll_2,unroll_16,1,3,0.391750970159,False
workload_25.cpp,xczu7ev-ffvc1156-2-e,10,340.79504,33,2,1,1,2,unroll_2,unroll_2,1,1.5,1,True
workload_30.cpp,xczu7ev-ffvc1156-2-e,10,306.38864,80,2,2,4,10,unroll_2,unroll_32,1,4.5,0.372591228196,False
workload_0.cpp,xczu7ev-ffvc1156-2-e,10,340.79504,37,2,1,1,3,unroll_2,unroll_4,1,1.75,0.402033461805,False
workload_33.cpp,xczu7ev-ffvc1156-2-e,10,300.32656,167,2,2,7,17,unroll_2,unroll_64,1,7,0.325950639948,False
workload_3.cpp,xczu7ev-ffvc1156-2-e,10,327.68784,40,2,2,2,5,unroll_2,unroll_8,1,2.75,0.393025145423,False
workload_2.cpp,xczu7ev-ffvc1156-2-e,10,133.70056,35,2,1,1,4.5,unroll_4,pipeline_1,2,2.125,0.52783383788,False
workload_29.cpp,xczu7ev-ffvc1156-2-e,10,328.99852,80,2,2,4,10,unroll_4,unroll_16,1,4.5,0.357113821462,False
workload_8.cpp,xczu7ev-ffvc1156-2-e,10,340.795,39,2,1,1,3,unroll_4,unroll_2,1,1.75,0.402033514307,False
workload_10.cpp,xczu7ev-ffvc1156-2-e,10,320.97036,148,2,2,7,17,unroll_4,unroll_32,1,7,0.311294858027,False
workload_27.cpp,xczu7ev-ffvc1156-2-e,10,342.10572,45,2,2,2,5,unroll_4,unroll_4,1,2.75,0.379657746966,False
workload_11.cpp,xczu7ev-ffvc1156-2-e,10,308.80524,441,2,2,14,32,unroll_4,unroll_64,1,12.5,0.209281884604,False
workload_28.cpp,xczu7ev-ffvc1156-2-e,10,336.20748,55,2,2,2,7,unroll_4,unroll_8,1,3.25,0.376206439571,False
