Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_274.cpp,xczu7ev-ffvc1156-2-e,10,301.21348,3299,46,56,20,66,block_128_1,block_2_1,complete_1,unroll_17,unroll_2,unroll_2,1,47,0.118130704456,False
workload_545.cpp,xczu7ev-ffvc1156-2-e,10,298.88406,127,47,8,3,12,block_128_1,block_4_1,complete_1,unroll_2,unroll_2,unroll_2,1,17.5,0.600075422826,False
workload_327.cpp,xczu7ev-ffvc1156-2-e,10,308.44191,58,46,4,9,20,block_128_1,cyclic_2_1,block_2_1,unroll_2,unroll_2,pipeline_1,1,19.75,0.515528192164,False
workload_374.cpp,xczu7ev-ffvc1156-2-e,10,298.88406,123,46,7,2,11,block_128_1,cyclic_2_1,complete_1,unroll_2,unroll_2,unroll_2,1,16.5,0.639772717515,False
workload_405.cpp,xczu7ev-ffvc1156-2-e,10,288.90015,95,33,28,9,16,block_16_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,1,21.5,0.465995275888,False
workload_366.cpp,xczu7ev-ffvc1156-2-e,10,292.22815,57,34,14,4,9,block_16_1,cyclic_4_1,cyclic_4_1,unroll_2,unroll_2,unroll_4,1,15.25,0.691859004139,False
workload_180.cpp,xczu7ev-ffvc1156-2-e,10,379.59855,147,39,28,8,24,block_16_1,cyclic_64_1,block_2_1,unroll_2,unroll_2,unroll_8,1,24.75,0.344450809648,False
workload_129.cpp,xczu7ev-ffvc1156-2-e,10,688.43998,301,41,1,35,81,block_2_1,block_128_1,cyclic_2_1,unroll_2,unroll_8,pipeline_1,1,39.5,0.100356388705,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10,300.55811,203,24,1,19,31,block_2_1,block_2_1,complete_1,unroll_17,unroll_2,unroll_2,1,18.75,0.552469448843,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10,14.33757,1079,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,pipeline_1,3,32,0.422948418289,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10,14.33757,1136,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_16,1,32,0.422948418289,False
workload_424.cpp,xczu7ev-ffvc1156-2-e,10,14.33757,1197,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_2,1,32,0.422948418289,False
workload_391.cpp,xczu7ev-ffvc1156-2-e,10,14.33757,1074,24,1,27,76,block_2_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,1,32,0.422948418289,False
workload_343.cpp,xczu7ev-ffvc1156-2-e,10,307.77597,41,24,1,9,16,block_2_1,block_2_1,complete_1,unroll_2,unroll_2,pipeline_1,1,12.5,0.810168500185,False
