Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_45.cpp,xczu7ev-ffvc1156-2-e,10,159.92145,660,64,10,11,26,block_128_1,block_32_1,block_16_1,cyclic_4_1,block_8_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,27.75,0.655908601583,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,10,149.43569,253,62,10,10,22,block_128_1,block_32_1,block_2_1,block_4_1,block_8_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,26,0.70056207046,False
workload_95.cpp,xczu7ev-ffvc1156-2-e,10,149.43615,344,62,10,10,21,block_128_1,block_32_1,block_2_2,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,25.75,0.709138278077,False
workload_4.cpp,xczu7ev-ffvc1156-2-e,10,149.43571,342,62,10,10,21,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,25.75,0.70913859367,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10,149.43571,495,62,10,10,21,block_128_1,block_32_1,block_4_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,25.75,0.70913859367,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10,138.9495,252,60,10,19,27,block_128_1,block_4_1,block_2_2,cyclic_4_1,block_2_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_16,1,29,0.669075749907,False
workload_437.cpp,xczu7ev-ffvc1156-2-e,10,167.94626,137,60,1,4,12,block_128_1,block_4_2,block_4_1,block_4_1,block_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,19.25,0.899642276141,False
workload_473.cpp,xczu7ev-ffvc1156-2-e,10,187.2783,155,60,0,3,12,block_128_1,block_8_2,block_2_1,block_4_1,complete_1,complete_1,unroll_2,pipeline_1,unroll_4,pipeline_1,1,18.75,0.857247560161,False
workload_151.cpp,xczu7ev-ffvc1156-2-e,10,149.43458,1344,60,23,29,42,block_128_1,cyclic_4_1,block_8_2,block_4_1,cyclic_2_1,cyclic_8_1,unroll_32,unroll_2,pipeline_1,pipeline_1,1,38.5,0.490850081952,False
workload_48.cpp,xczu7ev-ffvc1156-2-e,10,395.15063,1316,62,1,16,38,block_16_1,block_2_2,block_16_1,cyclic_2_1,complete_1,block_8_1,unroll_16,unroll_4,unroll_4,unroll_4,1,29.25,0.173151300752,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10,397.69002,1279,62,1,16,44,block_16_1,block_2_2,block_16_1,cyclic_2_1,complete_1,complete_1,unroll_16,unroll_4,unroll_4,unroll_4,1,30.75,0.161704541877,False
workload_394.cpp,xczu7ev-ffvc1156-2-e,10,138.94945,170,60,10,18,22,block_16_1,block_2_2,block_2_1,complete_1,complete_1,cyclic_2_1,unroll_16,unroll_4,pipeline_1,pipeline_1,1,27.5,0.669264426134,False
workload_429.cpp,xczu7ev-ffvc1156-2-e,10,138.94778,64,60,10,4,7,block_16_1,block_4_2,block_2_1,block_8_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_4,1,20.25,0.893459694415,False
workload_66.cpp,xczu7ev-ffvc1156-2-e,10,168.84726,136,62,2,20,39,block_16_1,block_64_1,block_2_1,block_4_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,30.75,0.624959486017,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,10,409.0365,193,62,1,6,14,block_16_1,block_64_1,block_2_1,complete_1,block_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_8,unroll_2,1,20.75,0.1865072651,False
workload_553.cpp,xczu7ev-ffvc1156-2-e,10,186.62204,59,60,0,3,9,block_16_1,block_8_2,block_4_2,cyclic_4_1,block_2_1,complete_1,unroll_2,pipeline_1,unroll_4,pipeline_1,1,18,0.880940915697,False
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,439.42912,562,64,1,8,17,block_16_1,complete_2,block_32_1,block_8_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_16,unroll_2,1,22.5,0.142335655805,False
workload_13.cpp,xczu7ev-ffvc1156-2-e,10,154.6737,492,60,13,11,23,block_16_1,cyclic_8_2,block_2_2,block_8_1,cyclic_4_1,cyclic_2_1,unroll_8,pipeline_1,unroll_8,unroll_16,1,26.75,0.671184796648,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10,138.29646,58,58,10,4,6,block_2_1,block_2_1,block_2_1,block_4_1,block_4_1,block_4_1,unroll_2,unroll_2,pipeline_1,unroll_4,1,19.5,0.921190990937,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,138.29628,64,58,10,5,7,block_2_1,block_2_1,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,unroll_16,1,20,0.90203978982,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10,138.29628,54,58,10,5,7,block_2_1,block_2_1,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,unroll_4,1,20,0.90203978982,False
