Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_5.cpp,xczu7ev-ffvc1156-2-e,10,1202.83969,98.5,1,2,15,21,unroll_16,unroll_16,pipeline_1,2,9.75,0.50082043833,False
workload_41.cpp,xczu7ev-ffvc1156-2-e,10,7606.13569,128,1,1,9,15,unroll_16,unroll_16,unroll_2,1,6.5,0.305081213374,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10,6565.42401,227,1,1,13,19,unroll_16,unroll_16,unroll_4,1,8.5,0.333742133341,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10,4383.07521,510,1,1,17,25,unroll_16,unroll_16,unroll_8,1,11,0.36047368969,False
workload_143.cpp,xczu7ev-ffvc1156-2-e,10,1202.83969,90,1,2,15,21,unroll_16,unroll_2,pipeline_1,2,9.75,0.50082043833,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10,3273.55073,1410,1,2,27,36,unroll_16,unroll_2,unroll_16,1,16.5,0.192537220201,False
workload_17.cpp,xczu7ev-ffvc1156-2-e,10,7606.13569,142,1,1,9,15,unroll_16,unroll_2,unroll_2,1,6.5,0.305081213374,False
workload_70.cpp,xczu7ev-ffvc1156-2-e,10,6565.42401,213,1,1,13,19,unroll_16,unroll_2,unroll_4,1,8.5,0.333742133341,False
workload_118.cpp,xczu7ev-ffvc1156-2-e,10,4383.07521,453,1,1,17,25,unroll_16,unroll_2,unroll_8,1,11,0.36047368969,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10,1202.83968,89.5,1,2,15,21,unroll_16,unroll_32,pipeline_1,2,9.75,0.50082043833,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10,7606.13568,137,1,1,9,15,unroll_16,unroll_32,unroll_2,1,6.5,0.30508121408,False
workload_124.cpp,xczu7ev-ffvc1156-2-e,10,6565.424,243,1,1,13,19,unroll_16,unroll_32,unroll_4,1,8.5,0.333742133983,False
workload_187.cpp,xczu7ev-ffvc1156-2-e,10,4383.0752,484,1,1,17,25,unroll_16,unroll_32,unroll_8,1,11,0.360473690044,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10,1202.83969,94.5,1,2,15,21,unroll_16,unroll_4,pipeline_1,2,9.75,0.50082043833,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10,7606.13569,130,1,1,9,15,unroll_16,unroll_4,unroll_2,1,6.5,0.305081213374,False
