Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Replicate_Count,Area,Weight,is_pareto
workload_418.cpp,xczu7ev-ffvc1156-2-e,10,1882.48337,156,73,1,4,21,block_2_1,block_128_1,block_32_1,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_2,1,24.75,0.707668745497,False
workload_250.cpp,xczu7ev-ffvc1156-2-e,10,1712.11025,190,62,1,26,29,block_2_1,block_16_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,2,29.5,0.592054826947,False
workload_445.cpp,xczu7ev-ffvc1156-2-e,10,14276.97665,156,30,0,4,13,block_2_1,block_16_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_8,unroll_8,1,11.75,0.140493930336,False
workload_334.cpp,xczu7ev-ffvc1156-2-e,10,1879.88241,202,63,1,27,31,block_2_1,block_16_1,cyclic_16_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,30.5,0.569148923479,False
workload_332.cpp,xczu7ev-ffvc1156-2-e,10,1873.63329,1416,62,1,26,62,block_2_1,block_2_1,cyclic_64_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_8,1,37.75,0.419867109599,False
workload_382.cpp,xczu7ev-ffvc1156-2-e,10,1712.11025,199,62,1,26,31,block_2_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_2,1,30,0.580570231784,False
workload_392.cpp,xczu7ev-ffvc1156-2-e,10,1712.10961,209,62,1,27,33,block_2_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,1,30.75,0.563597270543,False
workload_428.cpp,xczu7ev-ffvc1156-2-e,10,1712.10913,223,62,1,27,33,block_2_1,block_32_1,block_2_1,unroll_16,unroll_2,pipeline_1,unroll_8,unroll_2,1,30.75,0.563597269881,False
workload_361.cpp,xczu7ev-ffvc1156-2-e,10,13721.08049,540,30,0,17,34,block_2_1,block_32_1,block_2_1,unroll_32,unroll_2,unroll_2,unroll_4,unroll_2,1,20.25,0.146521451478,False
workload_256.cpp,xczu7ev-ffvc1156-2-e,10,1712.01737,389,62,1,54,61,block_2_1,block_32_1,block_2_1,unroll_32,unroll_4,pipeline_1,unroll_4,unroll_4,1,44.5,0.306477199976,False
workload_467.cpp,xczu7ev-ffvc1156-2-e,10,1712.66321,109,62,1,7,13,block_2_1,block_32_1,block_2_1,unroll_4,unroll_2,pipeline_1,unroll_4,unroll_2,1,20.75,0.81491540244,False
workload_316.cpp,xczu7ev-ffvc1156-2-e,10,1705.86385,361,62,1,24,29,block_2_1,block_32_1,block_2_1,unroll_64,unroll_2,pipeline_1,unroll_4,unroll_2,1,29,0.603664539463,False
workload_294.cpp,xczu7ev-ffvc1156-2-e,10,1712.29385,192,62,1,16,26,block_2_1,block_32_1,block_2_1,unroll_8,unroll_4,pipeline_1,unroll_4,unroll_4,1,26.25,0.670004252652,False
workload_362.cpp,xczu7ev-ffvc1156-2-e,10,1712.29281,253,62,1,16,29,block_2_1,block_32_1,block_2_1,unroll_8,unroll_4,pipeline_1,unroll_8,unroll_4,1,27,0.651508656493,False
