Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_300.cpp,xczu7ev-ffvc1156-2-e,10,15320.56645,1793,59,1,9,40,block_128_1,cyclic_4_1,block_2_1,block_4_1,complete_1,cyclic_8_1,block_4_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_2,1,27.25,0.416326125987,False
workload_250.cpp,xczu7ev-ffvc1156-2-e,10,15320.56001,1238,59,1,7,31,block_128_1,cyclic_4_1,block_2_1,block_4_1,complete_1,cyclic_8_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_2,unroll_2,unroll_16,unroll_4,pipeline_1,unroll_8,unroll_2,unroll_2,1,24.5,0.457951274886,False
workload_951.cpp,xczu7ev-ffvc1156-2-e,10,17775.78065,382,43,3,6,28,block_128_1,cyclic_4_1,block_2_1,cyclic_8_1,cyclic_2_1,block_8_1,cyclic_4_1,complete_1,block_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,pipeline_1,1,20,0.449757874069,False
workload_231.cpp,xczu7ev-ffvc1156-2-e,10,26004.23235,952,40,15,21,60,block_16_1,block_8_1,block_2_1,block_4_1,complete_1,cyclic_2_1,complete_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_8,unroll_2,unroll_16,unroll_2,unroll_8,unroll_8,unroll_4,unroll_4,unroll_2,1,34,0.184546700209,False
workload_50.cpp,xczu7ev-ffvc1156-2-e,10,25803.02659,893,40,1,18,55,block_16_1,block_8_1,block_2_1,block_4_1,cyclic_8_1,cyclic_2_1,complete_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_8,unroll_2,unroll_16,unroll_16,unroll_8,unroll_8,unroll_4,unroll_4,unroll_2,1,28.5,0.23496967057,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10,19658.49795,559,40,1,13,41,block_16_1,block_8_1,block_2_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_2,unroll_16,unroll_16,unroll_4,unroll_8,unroll_4,unroll_2,unroll_2,1,23.75,0.378820239977,False
workload_135.cpp,xczu7ev-ffvc1156-2-e,10,19658.49797,257,40,1,7,24,block_16_1,block_8_1,block_2_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_4_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_2,unroll_8,unroll_16,unroll_4,unroll_8,unroll_4,unroll_2,unroll_2,1,18,0.441345660143,False
workload_236.cpp,xczu7ev-ffvc1156-2-e,10,12643.00485,1193,40,4,20,45,block_16_1,cyclic_16_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,block_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_64,1,27.25,0.463636887939,False
workload_413.cpp,xczu7ev-ffvc1156-2-e,10,18544.85073,152,47,1,4,16,block_16_1,cyclic_32_1,block_2_1,cyclic_4_1,complete_1,block_8_1,complete_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_2,unroll_4,unroll_8,pipeline_1,1,17,0.479234192877,False
workload_534.cpp,xczu7ev-ffvc1156-2-e,10,7723.54641,157,47,2,4,17,block_16_1,cyclic_32_1,block_2_1,cyclic_4_1,complete_1,block_8_1,cyclic_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_4,unroll_4,unroll_8,pipeline_1,1,17.5,0.724772146501,False
workload_479.cpp,xczu7ev-ffvc1156-2-e,10,21648.64209,109,47,1,2,11,block_16_1,cyclic_32_1,block_2_1,cyclic_4_1,cyclic_8_1,block_8_1,cyclic_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,1,15.25,0.424590950551,False
workload_277.cpp,xczu7ev-ffvc1156-2-e,10,12643.00101,1389,39,6,23,47,block_16_1,cyclic_4_1,block_2_1,block_16_2,block_2_1,complete_1,block_8_1,cyclic_2_1,cyclic_8_1,cyclic_8_1,unroll_2,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_8,unroll_64,1,28.75,0.433481787024,False
workload_365.cpp,xczu7ev-ffvc1156-2-e,10,2391.22369,888,59,2,12,20,block_16_1,cyclic_4_1,block_2_1,complete_1,complete_1,block_8_1,block_4_1,block_4_1,block_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_8,unroll_2,pipeline_1,1,23.25,0.736564848232,False
workload_393.cpp,xczu7ev-ffvc1156-2-e,10,7723.54641,147,46,2,4,14,block_16_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,block_8_1,cyclic_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_4,unroll_4,unroll_8,pipeline_1,1,16.5,0.746335342124,False
workload_443.cpp,xczu7ev-ffvc1156-2-e,10,18331.20337,467,46,3,9,35,block_16_1,cyclic_4_1,block_2_1,cyclic_4_1,complete_1,complete_1,cyclic_4_1,block_4_1,cyclic_2_1,complete_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_4,unroll_4,unroll_8,unroll_32,1,23.25,0.410116790727,False
workload_71.cpp,xczu7ev-ffvc1156-2-e,10,17092.74321,1420,47,9,16,61,block_16_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,1,33.25,0.290202878465,False
workload_112.cpp,xczu7ev-ffvc1156-2-e,10,6056.64465,1640,48,16,20,81,block_16_1,cyclic_64_1,cyclic_32_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,complete_1,cyclic_4_1,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_2,pipeline_1,1,41.25,0.22315344957,False
workload_921.cpp,xczu7ev-ffvc1156-2-e,10,2508.51025,102,31,1,8,16,block_2_1,block_4_1,block_2_1,complete_2,block_2_1,block_8_1,complete_1,complete_1,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,14,0.937185293728,False
workload_893.cpp,xczu7ev-ffvc1156-2-e,10,2508.51025,102,31,1,8,16,block_2_1,block_4_1,block_2_1,complete_2,block_2_1,complete_1,complete_1,block_4_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,14,0.937185293728,False
workload_861.cpp,xczu7ev-ffvc1156-2-e,10,20496.83153,174,31,1,8,23,block_2_1,block_4_1,block_2_1,complete_2,block_2_1,complete_1,complete_1,block_4_1,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_32,1,15.75,0.44722369477,False
workload_793.cpp,xczu7ev-ffvc1156-2-e,10,2508.51025,103,31,1,8,16,block_2_1,block_4_1,block_2_1,complete_2,block_2_1,complete_1,complete_1,block_4_1,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,14,0.937185293728,False
workload_763.cpp,xczu7ev-ffvc1156-2-e,10,1774.70161,376,31,1,16,26,block_2_1,block_4_1,block_2_1,complete_2,block_2_1,cyclic_2_1,complete_1,block_4_1,block_2_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_8,pipeline_1,unroll_4,unroll_2,pipeline_1,1,18.5,0.791385431746,False
workload_836.cpp,xczu7ev-ffvc1156-2-e,10,1774.70161,378,31,1,16,26,block_2_1,block_4_1,block_2_1,complete_2,complete_1,block_8_1,complete_1,block_4_1,complete_1,cyclic_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,18.5,0.791385431746,False
workload_892.cpp,xczu7ev-ffvc1156-2-e,10,1774.68353,380,31,1,16,27,block_2_1,block_4_1,cyclic_4_1,complete_2,block_2_1,block_8_1,complete_1,block_4_1,complete_1,complete_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,1,18.75,0.791390376752,False
workload_844.cpp,xczu7ev-ffvc1156-2-e,10,1774.69009,357,31,1,15,25,block_2_1,block_4_1,cyclic_4_1,complete_2,block_2_1,cyclic_2_1,complete_1,block_4_1,complete_1,cyclic_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,1,18,0.801689367437,False
