Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_253.cpp,xczu7ev-ffvc1156-2-e,10,20725.89509,204,57,1,7,50,block_16_1,block_128_1,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_2,unroll_8,unroll_2,unroll_2,unroll_2,unroll_4,unroll_2,pipeline_1,1,28.75,0.41348627036,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10,17097.82213,220,58,2,7,51,block_16_1,block_128_1,block_4_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,1,29.5,0.440000478365,False
workload_75.cpp,xczu7ev-ffvc1156-2-e,10,17092.74321,619,47,9,16,61,block_16_1,cyclic_4_1,block_4_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,block_8_1,block_4_1,block_4_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,1,33.25,0.374979855859,False
workload_276.cpp,xczu7ev-ffvc1156-2-e,10,20426.42641,101,37,1,4,22,block_2_1,block_16_1,block_4_1,complete_1,complete_1,cyclic_4_1,complete_1,complete_1,complete_1,cyclic_4_1,unroll_32,unroll_4,unroll_2,unroll_16,unroll_2,unroll_8,unroll_4,unroll_2,pipeline_1,1,16,0.60059114699,False
workload_445.cpp,xczu7ev-ffvc1156-2-e,10,19389.63665,58,42,1,3,11,block_2_1,block_4_1,block_2_1,block_2_1,complete_1,block_8_1,block_8_1,block_4_1,cyclic_4_1,cyclic_4_1,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,unroll_4,unroll_4,unroll_2,pipeline_1,1,14.25,0.642219741484,False
workload_538.cpp,xczu7ev-ffvc1156-2-e,10,20324.22097,60,36,1,3,11,block_2_1,block_4_1,block_4_1,complete_1,complete_1,block_8_1,block_8_1,block_4_1,complete_1,cyclic_4_1,unroll_8,unroll_2,unroll_2,unroll_16,unroll_2,unroll_4,unroll_4,unroll_2,pipeline_1,1,12.75,0.627049848974,False
workload_442.cpp,xczu7ev-ffvc1156-2-e,10,19315.95713,162,42,1,17,47,block_2_1,block_64_1,block_2_1,block_16_2,block_2_1,complete_1,block_4_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_4,unroll_8,unroll_2,pipeline_1,1,26.75,0.463463274138,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10,28917.35105,218,45,7,21,57,block_2_1,block_64_1,block_4_1,block_8_2,block_4_1,complete_1,complete_1,block_4_1,cyclic_2_1,block_2_1,unroll_8,unroll_2,unroll_4,unroll_8,unroll_16,unroll_4,unroll_8,unroll_4,pipeline_1,1,32.5,0.268991878119,False
workload_292.cpp,xczu7ev-ffvc1156-2-e,10,1906.07557,228,32,1,15,46,block_2_1,block_64_1,block_4_1,block_8_2,block_4_1,cyclic_4_1,complete_1,block_4_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_4,unroll_4,unroll_4,unroll_2,unroll_32,1,23.5,0.707230626326,False
workload_427.cpp,xczu7ev-ffvc1156-2-e,10,1864.17601,653,32,1,15,56,block_2_1,block_64_1,block_4_1,block_8_2,block_4_1,cyclic_4_1,cyclic_4_1,block_4_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_8,unroll_8,unroll_16,unroll_4,unroll_8,unroll_2,unroll_32,1,26,0.641653497843,False
